Gene = AVL9
index = 121
Annotated 5SS: [  314 47773 49291 53430 55935 56807 58279 59108 63140 63976 74666 77930
 80584 84784 85402]
Annotated 3SS: [47651 49204 53357 55844 56739 58237 59068 63069 63439 74530 77709 80465
 84729 85312 88302]
SMsplice 5SS: [  314 29615 36259 47773 49291 53430 53643 55935 59108 63140 74666 80584
 85402]
SMsplice 3SS: [29525 36125 47651 49204 53357 53577 55844 59068 63069 74530 80465 85312
 88302]
top_k =  1000
Partition function (log Z): -44.967979573565714

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9731953347860276
Position 9025: 0.23473398622668573
Position 560: 0.19512610271557665
Position 841: 0.09462145179571901
Position 721: 0.05694624978866079
Position 12437: 0.03135837739002466
Position 11287: 0.02946708862399742
Position 567: 0.02385012485378875
Position 13886: 0.0225716555936624
Position 4470: 0.02199436604743846
Position 9051: 0.021069703536773978
Position 9320: 0.016232487741883097
Position 6478: 0.01365414654674669
Position 6881: 0.013083486811791991
Position 9055: 0.012658864443919402
Position 9124: 0.011715639369168774
Position 5586: 0.011478114277525835
Position 4474: 0.010585312205930146
Position 9663: 0.007387115522085088
Position 11009: 0.005901374538591796
Position 156: 0.005571172684774142
Position 924: 0.0030427446786428316
Position 6735: 0.002928423211448287
Position 5534: 0.0024046026234703305
Position 11148: 0.002003196623743145
Position 564: 0.0019394379707279139
Position 8337: 0.0016140468961411188
Position 4229: 0.0012399761654828109
Position 4812: 0.000930543696710447
Position 7373: 0.0005757055617180537
Position 7: 0.0003457212325452449
Position 98: 0.0002535811606353267
Position 571: 0.0002443311139062004
Position 758: 0.00023203771046830717
Position 5403: 9.700281927693365e-05
Position 550: 6.16931580812572e-05
Position 4522: 6.148880277445297e-05
Position 530: 5.680725653209459e-05
Position 2700: 5.628237831521506e-05
Position 1150: 5.2912507102369574e-05
Position 2105: 4.8818639517555075e-05
Position 1654: 3.45734052948783e-05
Position 5212: 3.3476316717886214e-05
Position 135: 2.579387146922524e-05
Position 665: 2.353981999906943e-05
Position 3890: 2.2864413838128398e-05
Position 646: 1.9359756398517858e-05
Position 5620: 1.90300612460401e-05
Position 284: 1.7622586059194472e-05
Position 111: 1.6193424588196815e-05
Position 278: 1.450593797890231e-05
Position 161: 1.3174967343969404e-05
Position 2049: 1.1991337918205483e-05
Position 198: 1.0644840958060557e-05
Position 1323: 1.0239419895612263e-05
Position 345: 9.26857540536559e-06
Position 192: 7.452853048243304e-06
Position 353: 6.196496284230253e-06
Position 281: 4.574775329323134e-06
Position 590: 3.4438287205303273e-06
Position 164: 2.611369325427508e-06
Position 2442: 1.697686686600906e-06
Position 667: 1.3039658628658248e-06
Position 684: 1.1998604754754013e-06
Position 558: 1.075843015677102e-06
Position 266: 9.219207015685918e-07
Position 595: 8.951111246098474e-07
Position 388: 7.596413972268263e-07
Position 186: 3.801892788408903e-07
Position 116: 1.1475412784740212e-07
Position 733: 5.4080484232465665e-08
Position 390: 4.4311924495245595e-08
Position 251: 4.2452049533223136e-08
Position 836: 3.52095035907291e-08
Position 1505: 3.1841698842462335e-08
Position 636: 3.1164844257044123e-08
Position 1686: 2.7547001067394404e-08
Position 783: 2.2397003859564988e-08
Position 980: 1.7512857252003423e-08
Position 846: 1.3599563470588436e-08
Position 1874: 1.302076324304262e-08
Position 699: 1.2104800835827432e-08
Position 1966: 1.1731962858314926e-08
Position 1515: 1.0874927156386578e-08
Position 1808: 9.56736174156666e-09
Position 195: 8.997729784370214e-09
Position 1137: 7.093855228620822e-09
Position 1588: 7.0136665357971885e-09
Position 1876: 5.981522697295591e-09
Position 1058: 5.2219417196972425e-09
Position 51: 1.295678804898732e-09
Position 967: 8.476284739984961e-10
Position 411: 2.7123172343460007e-10
Position 1143: 1.640673757807461e-10
Position 403: 1.3184881141125614e-11
Position 406: 3.822609619196715e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 13731: 0.5312654312777524
Position 8834: 0.18261701024019417
Position 464: 0.1490973905681918
Position 11096: 0.13235536508948514
Position 397: 0.1018656219897846
Position 8977: 0.08557174474674313
Position 757: 0.05249574601494911
Position 21722: 0.046688265093260024
Position 6318: 0.03236903830178275
