Gene = TMEM167A
index = 1417
Annotated 5SS: [  176 12489 15620]
Annotated 3SS: [12378 15584 20341]
SMsplice 5SS: [  176 12489]
SMsplice 3SS: [12399 20341]
top_k =  1000
Partition function (log Z): -10.757714843075714

Sorted 5' Splice Sites (High to Low Probability):
Position 176: 0.9865146576583277
Position 12489: 0.576088906833736
Position 15620: 0.44496427338421896
Position 12542: 0.39430267236337746
Position 11484: 0.2488367311768935
Position 8266: 0.17077511722569688
Position 2478: 0.13301481693092762
Position 8026: 0.12507350818845872
Position 22281: 0.11848639256918633
Position 15481: 0.10505765210684105
Position 17439: 0.09408481315183256
Position 6134: 0.08844579158751968
Position 16460: 0.08159689551237016
Position 4132: 0.051972453845476864
Position 14278: 0.04168915903680962
Position 896: 0.036024952985441186
Position 19921: 0.03517438765197529
Position 11573: 0.033646346185651536
Position 987: 0.028552865315367854
Position 19251: 0.0125378413808864
Position 3145: 0.010250620948790517
Position 196: 0.010081327555315246
Position 3556: 0.007974986407684312
Position 9735: 0.0064442946387777665
Position 5524: 0.004175703498603148
Position 3202: 0.004115086923779716
Position 11994: 0.0036002295514449573
Position 14226: 0.0030704280310129258
Position 14128: 0.0022655197564957997
Position 16454: 0.0021774404437645526
Position 22535: 0.0018808844298539484
Position 360: 0.0016439085978950333
Position 15871: 0.0006812843280271226
Position 1688: 0.0006245379038885743
Position 15680: 0.0005841771259792714
Position 264: 0.00035597879158277064
Position 425: 0.0003226139623036595
Position 385: 0.0003151206578069918
Position 49: 0.000245677764521698
Position 1001: 0.00023387817296445905
Position 1403: 0.00022498162121943634
Position 142: 0.00019621179638344626
Position 3454: 0.00013405050958709968
Position 183: 0.0001171456542066292
Position 1595: 0.00011709578549673148
Position 1699: 0.0001097526001285482
Position 718: 9.239932661776862e-05
Position 1074: 8.849135484584368e-05
Position 2258: 8.516699389981906e-05
Position 887: 8.251027751892143e-05
Position 2012: 7.424281071748065e-05
Position 202: 6.021629064874317e-05
Position 9097: 5.719200751089207e-05
Position 1368: 5.7101217342461846e-05
Position 4479: 3.857083119099102e-05
Position 341: 3.444428476445189e-05
Position 9124: 3.4187595246780356e-05
Position 1535: 1.745233183357105e-05
Position 1600: 1.7339115294991085e-05
Position 698: 1.673299101809141e-05
Position 620: 1.6546691793836863e-05
Position 1361: 1.6330813613642758e-05
