Gene = SEC61G
index = 1240
Annotated 5SS: [  85 1752 3468]
Annotated 3SS: [1651 3364 6825]
SMsplice 5SS: [ 209 1752 3468]
SMsplice 3SS: [1651 3321 6825]
top_k =  1000
Partition function (log Z): -0.9361139151477005

Sorted 5' Splice Sites (High to Low Probability):
Position 3468: 0.9145690522761885
Position 1752: 0.9143824074588857
Position 209: 0.6132220047123011
Position 1278: 0.4546787868510587
Position 2957: 0.2637415986009252
Position 89: 0.2171735434962192
Position 6217: 0.1761407118537223
Position 85: 0.14058370700008987
Position 983: 0.12538337079834547
Position 6409: 0.065913265254595
Position 4004: 0.0592773484460634
Position 954: 0.0553549291665387
Position 5153: 0.049857666117783646
Position 1667: 0.04449770669503199
Position 111: 0.03445852914167445
Position 1428: 0.024760389691718267
Position 1626: 0.023699418150959696
Position 491: 0.01794383905630858
Position 6603: 0.017315147907067268
Position 807: 0.016970818258658506
Position 6261: 0.01596619873130241
Position 1318: 0.0156715109847556
Position 6475: 0.015272516883378192
Position 1949: 0.013880742603536295
Position 6462: 0.012958749864008315
Position 6708: 0.01226169369556846
Position 858: 0.010429271595531127
Position 1100: 0.006285310891351676
Position 581: 0.005722815309611563
Position 6650: 0.005284580011557758
Position 567: 0.004834319602180585
Position 2130: 0.004147271452665138
Position 3472: 0.003987640005024008
Position 2203: 0.003953636545043389
Position 1238: 0.003840210790415233
Position 107: 0.003092762020302115
Position 978: 0.002661697600747695
Position 5029: 0.00252934511408606
Position 6703: 0.002407255113066751
Position 25: 0.002324164093074381
Position 4467: 0.0022567644453931617
Position 1350: 0.0020555659367527037
Position 5322: 0.0017821943777990817
Position 4075: 0.001651142893992915
Position 76: 0.0016319606734501643
Position 5304: 0.0015798021790734886
Position 825: 0.0013058663886550753
Position 80: 0.0012871959992918347
Position 3981: 0.0012348758315727235
Position 4218: 0.001194628652619121
Position 669: 0.001029819909001253
Position 1530: 0.0007172295136055751
Position 5250: 0.0006138906361409034
Position 6361: 0.0005406288959653722
Position 74: 0.0005402543895704085
Position 4581: 0.0005367000886575216
Position 3706: 0.0004948485594200608
Position 1992: 0.0004893386065820509
Position 408: 0.00046875462283310615
Position 530: 0.0003181488216456308
Position 851: 0.0003168999605852496
Position 1721: 0.00024196727084217025
Position 1409: 0.0002259822891225246
Position 562: 0.0002009826479709299
Position 1568: 0.00019519211426457912
Position 6889: 0.00013777016313461498
Position 6883: 0.00012878046519689028
Position 6175: 0.00012493810271393306
Position 1545: 0.00012161520157230989
Position 736: 0.00011354176813812472
Position 3654: 0.000108477873907261
Position 5212: 0.00010783992534321244
Position 19: 0.00010709674038989012
Position 5720: 8.349708273611262e-05
Position 1947: 7.753304686669304e-05
Position 1047: 7.701681855738552e-05
Position 1934: 7.672113602882523e-05
Position 2944: 7.505718153810811e-05
Position 2507: 7.022385705335447e-05
Position 1608: 6.760671196250377e-05
Position 576: 6.0218664319620423e-05
Position 1981: 5.479602180158242e-05
Position 572: 5.226192450724098e-05
Position 503: 5.1788206838187284e-05
Position 1630: 4.726648800777928e-05
Position 2539: 4.661021537898517e-05
Position 2227: 3.966094985544512e-05
Position 464: 3.831538939548521e-05
Position 1031: 3.5523866177463805e-05
Position 56: 3.5522885407800805e-05
Position 1134: 3.153467425078136e-05
Position 1552: 2.6944487101432833e-05
Position 4890: 2.281859711861853e-05
Position 417: 2.2492586008797613e-05
Position 1193: 1.9140696034699664e-05
Position 1264: 1.6906412977938512e-05
Position 2192: 1.648181352347933e-05
Position 2449: 1.6419406095482067e-05
Position 178: 1.5850042679476292e-05
Position 1700: 1.5248984354186455e-05
Position 1289: 1.3425130203855914e-05
Position 424: 1.2240630711944963e-05
Position 1214: 1.1225302247218012e-05
Position 432: 5.631640858319883e-06
Position 640: 5.521760342375441e-06
Position 1336: 5.4628229950065206e-06
Position 237: 4.746528168281622e-06
Position 1599: 4.4005369968627e-06
Position 419: 4.243504214919864e-06
Position 2239: 3.939583134755549e-06
Position 3656: 3.7890373310903687e-06
Position 384: 3.1005227737845665e-06
Position 484: 2.534836098470408e-06
Position 162: 2.4133383127056004e-06
Position 313: 2.393618699159564e-06
Position 451: 2.051901485188364e-06
Position 515: 2.0304748964270103e-06
Position 534: 1.8226272797286644e-06
