Gene = VEPH1
index = 1546
Annotated 5SS: [   151   8216  33114  43247  75106  89547 122272 139125 140064 186366
 189807 216871 237902]
Annotated 3SS: [  7920  32897  43071  74938  89336 122050 138914 139665 186225 189671
 216752 237764 242056]
SMsplice 5SS: [   151   2209   5507   5841   9443  10241  33114  34537  43247  75106
  85776  89547 122272 139125 140064 162278 162629 185842 186366 189807
 196920 202215 214015 216871 237902]
SMsplice 3SS: [  2125   5408   5595   9337  10133  32897  34435  43071  74938  85668
  89336 122179 138914 139665 162155 162525 185680 186225 189701 196758
 202145 213935 216752 237764 242056]
top_k =  1000
Partition function (log Z): -103.33737034441138

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.9580545422959382
Position 2209: 0.8543448393468419
Position 10241: 0.7648277954706397
Position 5507: 0.6660112682067446
Position 9443: 0.5129728949862791
Position 8216: 0.5082736471929489
Position 5841: 0.4565085911317649
Position 5846: 0.39230228195682476
Position 4033: 0.3323967267867019
Position 4190: 0.2819014982021809
Position 4490: 0.26742851496355186
Position 4521: 0.18930505293238725
Position 14373: 0.14277239763748348
Position 9338: 0.13399400134138773
Position 9215: 0.10384483153731257
Position 4257: 0.09770910291013378
Position 7461: 0.06251958729640934
Position 988: 0.05247071568502448
Position 11416: 0.05142133921956971
Position 8041: 0.04964802567345917
Position 3794: 0.04843497531304318
Position 7382: 0.04706832584112761
Position 7978: 0.0451221058061204
Position 2570: 0.038944719218212714
Position 2343: 0.03383017398597475
Position 4594: 0.03365095255459381
Position 1853: 0.03221076537704204
Position 5679: 0.026413812194863214
Position 4466: 0.02300861907468607
Position 206: 0.021503220419775676
Position 9424: 0.018176479102318448
Position 6507: 0.01496344154317741
Position 4510: 0.012221433715805157
Position 4618: 0.011117004815619546
Position 5308: 0.010539432359058076
Position 5635: 0.009429464403072902
Position 3807: 0.009144677015600762
Position 1560: 0.009133668014778482
Position 4481: 0.009112191855130613
Position 5686: 0.007440480528104643
Position 7367: 0.0070418489706755355
Position 3370: 0.006989191789756349
Position 1888: 0.0056488538569609
Position 326: 0.00493848711081047
Position 1126: 0.004775695903898903
Position 12287: 0.0046516943268442995
Position 3374: 0.004622198932890229
Position 580: 0.004156892690903073
Position 10390: 0.0037907907867906648
Position 584: 0.0036741473720217745
Position 5114: 0.0036001464805267935
Position 3914: 0.003150073991154617
Position 12224: 0.002905672384160003
Position 1996: 0.0027186586451733467
Position 4771: 0.0026921005672159277
Position 3034: 0.002631470433892947
Position 7168: 0.002570806493277919
Position 816: 0.0025414732654965447
Position 10283: 0.00247519932781208
Position 1226: 0.0024671292005700144
Position 11949: 0.0024416537799946906
Position 833: 0.0019513822252109092
Position 3476: 0.0016209326014834373
Position 1775: 0.001511380761382345
Position 4330: 0.0010583412328507623
Position 10559: 0.0010114349879268233
Position 3812: 0.0009539800459636897
Position 4400: 0.0008693611117147077
Position 4977: 0.0007249630932869203
Position 885: 0.000662134284146681
Position 1388: 0.000657479528648108
Position 1732: 0.0005634435673886951
Position 370: 0.0005624039798976252
Position 3089: 0.0005539584654665796
Position 2960: 0.0005422545143442871
Position 5183: 0.0005010136240692158
Position 1646: 0.0004103141335020359
Position 7510: 0.0004012942960907973
