Gene = SAPCD2
index = 1224
Annotated 5SS: [ 699 4327 5067 5511 5726]
Annotated 3SS: [4213 4919 5402 5608 5800]
SMsplice 5SS: [ 699  885 4327 4847 5067 5511 5726]
SMsplice 3SS: [ 794 4213 4661 4919 5402 5608 5800]
top_k =  1000
Partition function (log Z): 5.611011567137193

Sorted 5' Splice Sites (High to Low Probability):
Position 5726: 0.9950930381326752
Position 5511: 0.9924933115184978
Position 4327: 0.937043304808171
Position 5067: 0.9292558715281724
Position 699: 0.872387718599631
Position 885: 0.5739610315604083
Position 4847: 0.5152622917429587
Position 2508: 0.11653247895220281
Position 4772: 0.08279569163804014
Position 3979: 0.05825476870272376
Position 1711: 0.04896510071530968
Position 7047: 0.020353127184973476
Position 4780: 0.01883061026720942
Position 6449: 0.012093158396456615
Position 2616: 0.010723479183517504
Position 7051: 0.009358897489150333
Position 2294: 0.008900119985066209
Position 4758: 0.00800284621522998
Position 2720: 0.007110527096674937
Position 2716: 0.007093132491074854
Position 7089: 0.006920456149153585
Position 5984: 0.0068217503033770055
Position 3886: 0.006588274086074692
Position 350: 0.005589447937541516
Position 3913: 0.005364293974199442
Position 5454: 0.0031837208300004036
Position 1662: 0.003178084169695322
Position 853: 0.0030883839182863798
Position 4125: 0.002946763987115141
Position 4776: 0.002584110586893196
Position 4184: 0.0018890229957774878
Position 527: 0.0018674847646148924
Position 5240: 0.0015418521333823803
Position 6398: 0.001367924334374812
Position 6555: 0.0013659253981909533
Position 2745: 0.001332872537030064
Position 4871: 0.0011660647494027947
Position 967: 0.0011381962308843053
Position 286: 0.0011309117235606657
Position 2591: 0.0009763406423665315
Position 2541: 0.0009745416424183933
Position 2155: 0.0008891263023497684
Position 1730: 0.0008302805308665692
Position 4833: 0.0008037251200392547
Position 4033: 0.0007507597583081213
Position 1751: 0.0007202491648120546
Position 5944: 0.0007172120958916214
Position 99: 0.0007056605053028191
Position 6220: 0.0006879794228849578
Position 5000: 0.000672106278128211
Position 329: 0.0006609646273516584
Position 3981: 0.0006502352638914229
Position 3243: 0.0005936577396157835
Position 1821: 0.0005369590301637176
Position 2940: 0.00042261995168755407
Position 5517: 0.00041130945336709864
Position 499: 0.000370036581433953
