Gene = CHTOP
index = 371
Annotated 5SS: [ 295 2605 4400 8381 9316]
Annotated 3SS: [ 2522  4245  8196  9177 11014]
SMsplice 5SS: [ 295 2605 4400 5403 6362 9316]
SMsplice 3SS: [ 2522  4245  5318  6158  9177 11014]
top_k =  1000
Partition function (log Z): 3.357894727192192

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9940127035521752
Position 9316: 0.9384146388165083
Position 295: 0.8976532051177756
Position 5403: 0.794506331730844
Position 6362: 0.7870124272112305
Position 4400: 0.6436752579099766
Position 94: 0.4765752838059596
Position 7804: 0.1955256423431603
Position 4561: 0.17225480917333588
Position 8216: 0.17000387406367273
Position 11629: 0.14421869887301794
Position 7614: 0.14325897641416155
Position 8381: 0.13528070671486847
Position 12061: 0.08457170114656411
Position 11084: 0.07254355876766222
Position 6068: 0.05588709459225482
Position 8601: 0.03982832365411938
Position 11251: 0.020933121620225956
Position 7026: 0.019784704871080864
Position 7936: 0.018039030769169326
Position 3260: 0.017488088147613292
Position 219: 0.016546572943520094
Position 2205: 0.015819185895348444
Position 10398: 0.013433779585531358
Position 328: 0.012877087885202714
Position 4975: 0.011846880587522321
Position 5668: 0.011490554424423484
Position 9256: 0.00978520347641931
Position 5415: 0.009301992250766614
Position 9842: 0.00889484956898578
Position 1554: 0.007970965174133635
Position 7769: 0.007645571134482327
Position 7568: 0.007433516159982327
Position 10542: 0.006104994255101118
Position 11015: 0.005328325578032142
Position 8238: 0.004691178492109239
Position 305: 0.004408171342726214
Position 9310: 0.003963277308891354
Position 1541: 0.003934076342671871
Position 2016: 0.00388016533958692
Position 11021: 0.0035961496633487235
Position 668: 0.0034089700230608947
Position 11717: 0.0032593095812670013
Position 5686: 0.002928953478679142
Position 1037: 0.002584385365058504
Position 5139: 0.0024976060918026556
Position 3214: 0.0022442982435264417
Position 6664: 0.002082170889777259
Position 8943: 0.0020174781470867612
Position 2984: 0.0018132876313234365
Position 568: 0.00177694073304453
Position 3386: 0.0016836525271328219
Position 3902: 0.0016825589373264135
Position 9247: 0.0016576500969250898
Position 3201: 0.0015353354530750233
Position 8572: 0.0015206951893008199
Position 6403: 0.001486528638583116
Position 1496: 0.0013401303957203251
Position 6715: 0.0013380531497237983
Position 3503: 0.0011973867814453016
Position 1081: 0.0011909681600260503
Position 2973: 0.0011605755471863618
Position 11267: 0.0009860595987095234
Position 2277: 0.0009554176118226484
Position 4144: 0.0009402508292034472
Position 492: 0.0009347972252820415
