Gene = SIMC1
index = 1258
Annotated 5SS: [  271 56896 57954 75479 84059 86391 98510 98780]
Annotated 3SS: [ 56662  57883  75323  83905  86261  98352  98694 106815]
SMsplice 5SS: [  271 19597 25136 32154 57954 70320 75479 84059 86391 98510 98780]
SMsplice 3SS: [ 19517  25049  32023  57883  70227  75323  83905  86261  98352  98694
 106815]
top_k =  1000
Partition function (log Z): -52.17531863075956

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.6808101078472683
Position 7387: 0.4235013824883785
Position 689: 0.3144381744352475
Position 4235: 0.22066363697873392
Position 2765: 0.19157345148200267
Position 3536: 0.16303138925303376
Position 5043: 0.1628790042970466
Position 1037: 0.14193758688890346
Position 3380: 0.10228235362286313
Position 3995: 0.09679531172103743
Position 1313: 0.07363310988588848
Position 1052: 0.04676520416664828
Position 5039: 0.03897917307205443
Position 3850: 0.032370954685291456
Position 3870: 0.02748122691664937
Position 1078: 0.02085912844580153
Position 275: 0.017654221320025754
Position 9334: 0.01702881105316697
Position 3991: 0.007330625104506734
Position 3353: 0.007085550015981725
Position 1085: 0.006949617635571428
Position 126: 0.0065410623343094745
Position 7352: 0.006401244189678824
Position 4167: 0.003838509582443997
Position 2369: 0.003529597768452785
Position 1448: 0.0032588158331189566
Position 4331: 0.00278356123264361
Position 7075: 0.002715197773250329
Position 5954: 0.002075604278317469
Position 1859: 0.00206070283419413
Position 5503: 0.0016489298778988274
Position 2959: 0.0015353208704367634
Position 4378: 0.0010721006809169117
Position 918: 0.0010049905578821937
Position 915: 0.0006270532623021323
Position 677: 0.0005850387020218082
Position 985: 0.0005159165591009421
Position 5047: 0.000511944665104812
Position 4543: 0.0004355451103801083
Position 2269: 0.00040864018553740796
Position 1527: 0.00040415944132609336
Position 647: 0.0003898378236904629
Position 5508: 0.0003789089988176911
Position 1024: 0.0003517621323148689
Position 3645: 0.0003147959945570394
Position 4063: 0.0003086969227867212
Position 1366: 0.000305275469892952
Position 7547: 0.0002834230779476842
Position 1686: 0.00026637303439182503
Position 1177: 0.0002565054027615792
Position 3178: 0.0002275040678214253
Position 3326: 0.00020426123415048593
Position 157: 0.0001957803981723083
