Gene = GBE1
index = 578
Annotated 5SS: [   787  56718  91324 112366 113306 115770 119381 168254 171125 176070
 180997 184237 225251 226967 263052]
Annotated 3SS: [ 56547  91207 112239 113169 115678 119170 168137 170996 175970 180885
 184064 225065 226835 262933 271697]
SMsplice 5SS: [   787   4522   8963  22478  25252  56718  65919  91324 103408 107241
 112366 113306 115770 118031 145473 168254 171125 176070 180997 184237
 200977 201163 225251 241104 253541 253808 259839]
SMsplice 3SS: [  4283   8742  22387  25133  56547  65807  91207 103288 107159 112239
 113169 115678 117900 145344 168137 170996 175970 180885 184152 200832
 201085 225065 240977 253468 253710 259752 271697]
top_k =  1000
Partition function (log Z): -115.10295245272124

Sorted 5' Splice Sites (High to Low Probability):
Position 4522: 0.9942757717510888
Position 787: 0.8856496387610722
Position 8963: 0.8830043390187853
Position 4025: 0.5350060324517335
Position 1435: 0.5246479814605417
Position 1061: 0.4540165824222153
Position 1842: 0.43786012637870947
Position 4218: 0.2962827312506539
Position 8796: 0.2936661498886817
Position 9611: 0.2699542960601901
Position 1773: 0.2004261127902769
Position 4749: 0.1964326936097472
Position 3100: 0.16794821309182972
Position 15229: 0.13349954849885798
Position 10471: 0.09687237367660187
Position 4981: 0.09602656995833214
Position 28: 0.055801831295271005
Position 8638: 0.04998269713157754
Position 1549: 0.042813876337058104
Position 362: 0.04015663916188656
Position 8813: 0.03380643238486481
Position 3755: 0.030992985837570076
Position 5604: 0.025977937725591177
Position 406: 0.023806744921102102
Position 10870: 0.02374893688181168
Position 237: 0.023663331502403732
Position 3808: 0.023088802515434322
Position 262: 0.02269525129167869
Position 5889: 0.022508983442981648
Position 210: 0.017769927879495603
Position 15390: 0.016427773588603194
Position 8112: 0.014918306380238616
Position 8266: 0.014347013308058564
Position 13280: 0.009590251332306609
Position 10780: 0.00938573690430326
Position 2176: 0.008792045112148584
Position 3354: 0.008372468569397865
Position 1194: 0.00752831015240516
Position 4234: 0.007172582515373173
Position 3178: 0.007149533477703401
Position 21: 0.006761490341219033
Position 1913: 0.006649409736532839
Position 1766: 0.005621009937749165
Position 1400: 0.005237133749482462
Position 2118: 0.005222632671366864
Position 7306: 0.0047808237194287544
Position 1172: 0.004391604019258992
Position 194: 0.004367674121730557
Position 8633: 0.00408013222676537
Position 1167: 0.0034069373056656947
Position 1128: 0.003249380767898439
Position 206: 0.003228077607394136
Position 1746: 0.0026893520102893457
Position 3255: 0.00254895522563461
Position 351: 0.0019834891878821917
Position 190: 0.0016851824614431972
Position 3812: 0.0016791756207810758
Position 3915: 0.0016639340669950822
Position 1725: 0.0013751508137555878
Position 3183: 0.0013298935804701272
Position 145: 0.001034028543407739
Position 1555: 0.0009160375948883331
Position 8318: 0.0009077576287342989
Position 1382: 0.0008631698295113301
Position 1786: 0.000818746408261219
Position 10730: 0.0008170228129567591
Position 10230: 0.000810166735803464
Position 967: 0.0006800161470229638
Position 8948: 0.0005770675884626254
Position 935: 0.0005738788084056805
Position 1820: 0.0005512757554740139
Position 1396: 0.0005351979126469293
Position 198: 0.0004493614059373623
Position 1154: 0.00044558302187501427
Position 3044: 0.00043274162758188636
Position 5578: 0.0003753668043600505
Position 2837: 0.0003503840310710075
Position 4789: 0.000325143376195006
Position 5786: 0.0003143129517862851
Position 334: 0.00025598970347101785
Position 3960: 0.0002120384524112279
Position 3949: 0.00020745042915695506
Position 1402: 0.00020069719871887489
Position 2812: 0.00015517757769166387
Position 313: 0.0001402682261437519
Position 2551: 0.00011138749278802447
Position 1237: 0.0001110864892825418
Position 384: 0.00010130595488242462
Position 1584: 9.677878174098535e-05
Position 1375: 7.071666750094049e-05
Position 184: 6.391939948600757e-05
Position 82: 5.635016635379893e-05
Position 18: 5.372731953494224e-05
Position 1463: 5.0892710731224186e-05
Position 5197: 4.014129865827392e-05
Position 1404: 3.60182966114201e-05
Position 2480: 3.555958197896359e-05
Position 4914: 3.0050491187356798e-05
Position 1491: 2.304852859426136e-05
Position 981: 2.0322314492403056e-05
Position 366: 1.8865661996262695e-05
Position 1240: 1.8106799888936607e-05
Position 169: 1.244050111851857e-05
Position 122: 1.2348498366645818e-05
Position 5191: 1.1391443917900287e-05
Position 2487: 1.0557704614983164e-05
Position 926: 9.86191237279449e-06
Position 46: 8.855043831003884e-06
Position 1219: 4.702396212057641e-06
Position 231: 4.506625408295438e-06
Position 1192: 3.975897229355395e-06
Position 1108: 3.931968311759776e-06
Position 1046: 3.8081596379549554e-06
Position 12: 2.9357543664451215e-06
Position 4995: 2.734588671848887e-06
Position 70: 2.6589751102987354e-06
Position 49: 2.6028937064074384e-06
Position 843: 8.313450598251814e-07
