Gene = HSPB11
index = 667
Annotated 5SS: [  375  5945 15891 17558 22026]
Annotated 3SS: [ 5831 15783 17488 21981 24161]
SMsplice 5SS: [  375  5945 22026]
SMsplice 3SS: [ 5831 21981 22940]
top_k =  1000
Partition function (log Z): -11.467833936212209

Sorted 5' Splice Sites (High to Low Probability):
Position 5945: 0.9783946685662699
Position 375: 0.7983273569463654
Position 4365: 0.6086664481643758
Position 22026: 0.45700963559142077
Position 16084: 0.2786448213017327
Position 15939: 0.18838840738854137
Position 23161: 0.16120259379248078
Position 15891: 0.14774454865576936
Position 15712: 0.12247021785039051
Position 344: 0.11514873137144502
Position 1910: 0.10206775639939773
Position 675: 0.07428477138654445
Position 13797: 0.05950501794699009
Position 3047: 0.03769237151143521
Position 4125: 0.03191297513810611
Position 15854: 0.02828472609625268
Position 4120: 0.025252276531472755
Position 725: 0.020184147113237374
Position 4086: 0.016944429916603002
Position 383: 0.014907976372472771
Position 391: 0.013357021706866526
Position 328: 0.01283162155563071
Position 15676: 0.011859080872347206
Position 1725: 0.011598401991332998
Position 413: 0.010652143420272894
Position 2840: 0.010381542226321898
Position 4374: 0.005936906964495647
Position 1007: 0.005523889630740868
Position 1559: 0.005333444290490137
Position 134: 0.005237796394742393
Position 4341: 0.004338714081754399
Position 292: 0.0042625804058088815
Position 8259: 0.0039092709778954385
Position 900: 0.0035515802604461945
Position 75: 0.003083432831276133
Position 2877: 0.0028806400570404326
Position 55: 0.002670105812359908
Position 1828: 0.002494181102595874
Position 1033: 0.002219634808489377
Position 670: 0.002181344488387716
Position 956: 0.0017096622881471136
Position 640: 0.0015897957095194785
Position 2806: 0.0014751418266723305
Position 3084: 0.0013937177684513018
Position 995: 0.0013814946753828842
Position 823: 0.001354288423254603
Position 1063: 0.001085164299875986
Position 5985: 0.0009721768930311514
Position 694: 0.000830778972886819
Position 4688: 0.0008253335619902188
Position 4704: 0.0005998286067558872
Position 3014: 0.000503564723290519
Position 4134: 0.0004041933550784248
Position 2893: 0.00034170340473856553
Position 4191: 0.0003147197254269929
Position 7596: 0.0003100114502362616
Position 191: 0.00022009104651400505
Position 6242: 0.00012222063965351194
Position 11778: 0.00010951474349420748
Position 529: 6.266251074456591e-05
Position 8046: 5.804471743479981e-05
Position 29: 5.2227658797529347e-05
Position 1201: 5.008977008448151e-05
Position 67: 4.317392646236824e-05
Position 6800: 3.8796554669076714e-05
Position 1847: 3.3645240300659614e-05
Position 1797: 2.349832744957004e-05
Position 7513: 2.1702839619990823e-05
Position 1148: 2.0879394087383238e-05
Position 831: 1.4051815538459311e-05
Position 484: 1.1324766535454975e-05
Position 456: 1.1250351385983506e-05
Position 1082: 1.1225865410147048e-05
Position 1980: 1.0089831353342433e-05
Position 307: 7.922943689981171e-06
Position 1708: 6.70258820060852e-06
Position 1905: 6.2719133290820584e-06
Position 682: 5.782206600364269e-06
Position 6283: 5.596873847504567e-06
Position 452: 4.90489941624148e-06
Position 1834: 4.3323399183115575e-06
Position 916: 3.4392413496930343e-06
Position 2192: 2.7518021194280797e-06
Position 658: 2.3366023579009582e-06
Position 716: 2.2493985369442353e-06
Position 1362: 1.2843406898658875e-06
Position 2522: 1.2444112462581412e-06
Position 1459: 1.1407516341200854e-06
Position 162: 1.1149333957143683e-06
Position 106: 9.35734901332691e-07
Position 6616: 3.4509149508668e-07
Position 7294: 3.401357155064438e-07
Position 481: 2.0566136158750662e-07
Position 112: 1.9239430521307383e-07
Position 2050: 1.8848820542927518e-07
Position 2429: 1.8244360253008765e-07
Position 2084: 1.429763550648964e-07
Position 233: 1.1352313771180857e-07
Position 205: 1.0748985109672131e-07
Position 637: 6.679419877155992e-08
Position 810: 3.5447401666166894e-08
Position 368: 2.060200161389801e-08
Position 473: 1.7162444915048185e-08
Position 846: 1.642887004941125e-08
Position 5998: 1.3527167551115472e-08
Position 5908: 1.1524307357531176e-08
Position 6082: 5.888049266545071e-09
Position 6230: 5.515613399594398e-09
Position 115: 3.7392163317851874e-11
Position 1158: 1.6018631542285872e-11
Position 214: 6.5330888235109215e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5831: 0.9584994109959677
Position 22940: 0.680876548728081
Position 21981: 0.5035939142512026
Position 15783: 0.31980604716848854
Position 4225: 0.31589867007948047
Position 15985: 0.31309346873897936
Position 4272: 0.24112592865017451
Position 24161: 0.1533313815483766
Position 15597: 0.14481189019676458
Position 557: 0.08819359948997153
Position 4025: 0.08453528115514691
Position 1891: 0.07413001161384365
Position 13598: 0.05625819958329027
Position 23242: 0.054996851682177605
Position 22328: 0.0543387046377874
Position 4303: 0.040518100143190475
Position 15812: 0.03521173751918961
Position 2696: 0.021946304531491448
Position 5778: 0.019015698637235717
Position 23265: 0.0185408911590495
Position 2950: 0.017979388512356694
Position 15427: 0.015115305462279039
Position 22130: 0.014691058708540969
Position 2674: 0.01150186054888868
Position 13622: 0.01097420493219474
Position 1815: 0.009997393569484035
Position 6545: 0.008654027860098274
Position 4190: 0.00846041218157418
Position 16755: 0.008084583108599911
Position 1724: 0.006581409178735581
Position 1618: 0.006231298578170943
Position 18378: 0.00606261342978742
Position 17164: 0.005880004117950324
Position 16254: 0.005457164549957159
Position 1871: 0.005352730243951528
Position 1291: 0.005186898378027906
Position 885: 0.005148644849983572
Position 8023: 0.005132415444588628
Position 1797: 0.004644583333279489
Position 10937: 0.004003873919282716
Position 16036: 0.0035404654211651718
Position 2734: 0.0032551341887794437
Position 916: 0.003189230708857387
Position 15711: 0.003089512987678794
Position 21095: 0.0025613667308769478
Position 16417: 0.0024639622668088915
Position 15938: 0.0022659098040904344
Position 8895: 0.0021807051604074506
Position 20665: 0.0021571733296359614
Position 4166: 0.001864139072852
Position 859: 0.0017786378551969744
Position 8045: 0.001480972875228138
Position 5720: 0.0014013707167895829
Position 7551: 0.0013687502408746568
Position 4573: 0.0012246137411356236
Position 1448: 0.0012141841038605286
Position 13023: 0.0011440946180916898
Position 8361: 0.0010099490878486318
Position 4069: 0.0009761169675605292
Position 14013: 0.0009402124829749922
Position 14297: 0.0008286958289161877
Position 10565: 0.0007465771441649536
Position 8079: 0.0007110545976263145
Position 1586: 0.0006909016118853271
Position 1671: 0.0006886067606280401
Position 1822: 0.0006834829956036607
Position 11292: 0.0006795813923198577
Position 1583: 0.0006778467006212351
Position 881: 0.0006776520885770959
Position 10642: 0.000621563012064551
Position 627: 0.0006082481711187636
Position 1757: 0.000503070492678038
Position 1451: 0.0005025961597749126
Position 6541: 0.0004953400561760861
Position 10779: 0.00047808152079713897
Position 5744: 0.00047304925010432946
Position 10377: 0.00045401561654687323
Position 6119: 0.0004349934631527861
Position 6474: 0.00041600707323749444
Position 5599: 0.0004060076292918117
