Gene = PLAA
index = 1034
Annotated 5SS: [  567 12451 19156 19364 21071 21639 24286 27237 28154 30367 33585 37126
 39630]
Annotated 3SS: [12256 19054 19242 20902 21502 24115 27078 27933 30297 33515 37023 39464
 41386]
SMsplice 5SS: [  567  7803 12451 19156 19364 19825 21071 21362 21639 24286 27237 28154
 30367 37126 39630 42642]
SMsplice 3SS: [ 7688 12256 19054 19242 19682 20902 21265 21502 24115 27078 27933 30214
 37023 39464 42528 42739]
top_k =  1000
Partition function (log Z): 9.12039558366439

Sorted 5' Splice Sites (High to Low Probability):
Position 19364: 0.9906672228333276
Position 19156: 0.9862882018066287
Position 24286: 0.9589391946752237
Position 27237: 0.9276434279676807
Position 7803: 0.9122506483478362
Position 12451: 0.9053239382758997
Position 21071: 0.9012013970273626
Position 39630: 0.8517560095333989
Position 21639: 0.8327346139168066
Position 19825: 0.8232174802746648
Position 28154: 0.816884869932319
Position 37126: 0.7058070226691046
Position 567: 0.6768907969893844
Position 21362: 0.6080522857050004
Position 30367: 0.5297584375165842
Position 33585: 0.42900960869351396
Position 20679: 0.3799003451660156
Position 30308: 0.3309273474117506
Position 438: 0.3152293839413794
Position 3267: 0.2914684880395633
Position 42642: 0.27083431284490295
Position 27611: 0.25262256562131313
Position 37333: 0.21940051726432266
Position 40306: 0.1386705882341302
Position 38745: 0.12096105189558669
Position 908: 0.1024319727773007
Position 1203: 0.09913624946540602
Position 1314: 0.09905265728994617
Position 39832: 0.08883779070967494
Position 21632: 0.07393729381223488
Position 13268: 0.06830043653466733
Position 3213: 0.0597002072702832
Position 9216: 0.05104035477185353
Position 7336: 0.050921344898594935
Position 28411: 0.0492257968013572
Position 41914: 0.04908315329429305
Position 4030: 0.048365749318094134
Position 478: 0.04737449174976288
Position 28724: 0.04112222735086276
Position 30843: 0.03986705211972499
Position 6496: 0.038509632708474933
Position 24721: 0.03738117351831211
Position 16505: 0.034070727434468956
Position 722: 0.026555733697325543
Position 21422: 0.02583950233397853
Position 21314: 0.02539219365424004
Position 21628: 0.02497802748089146
Position 25128: 0.021000963990261814
Position 903: 0.020571081720735563
Position 23804: 0.020381016343766267
Position 18840: 0.02030819805264229
Position 6500: 0.019880086654665962
Position 25983: 0.018351678345792145
Position 21443: 0.01737942237446015
Position 29103: 0.017015956189730667
Position 16632: 0.015888184641826064
Position 21617: 0.015113831305554708
Position 1042: 0.01499479639090556
Position 5820: 0.01441436057357498
Position 6653: 0.013581536381708897
Position 6754: 0.012325238130170911
Position 20092: 0.011992123251228818
Position 10861: 0.01162796039237421
Position 23340: 0.010111601419500882
Position 21594: 0.009264008259649743
Position 30071: 0.009090725693790817
Position 3777: 0.009072994378715038
Position 25688: 0.00906749982322817
Position 3986: 0.00831805689608258
Position 20712: 0.00782659317341619
Position 29984: 0.007688352950533508
Position 27158: 0.0076728510882518915
Position 30002: 0.0075230462944466
Position 11432: 0.007413061906023482
Position 1727: 0.0074032842539497054
Position 23864: 0.007138613799652397
Position 37609: 0.0067712790758558804
Position 6479: 0.006615967340154471
Position 4046: 0.006542532041856306
Position 55: 0.006338904312508912
Position 21920: 0.006321638255289016
Position 22106: 0.00603708603121426
Position 27831: 0.005969159312643557
Position 27293: 0.00531596272496059
Position 7103: 0.004312589847314437
Position 27172: 0.00407553742853203
Position 28106: 0.004065543622149318
Position 27836: 0.004033384937900074
Position 9891: 0.003936389523167525
Position 19346: 0.003839918605442285
Position 36: 0.003780838267801603
Position 38450: 0.0037541654348303044
Position 19915: 0.0037147911312545505
Position 4274: 0.003400723404775553
Position 21392: 0.003400429407615025
Position 27193: 0.0030651348554005743
Position 21339: 0.003062016201791887
Position 20985: 0.002913458853049077
Position 21428: 0.0028492772041973256
Position 23598: 0.002795500957659511
Position 156: 0.002616255777639977
Position 20831: 0.0026125368944254763
Position 20277: 0.0025338367973022045
Position 23619: 0.0025159669682582987
Position 22348: 0.002491208259811733
Position 21295: 0.0024433738965193596
Position 5107: 0.0024059347808549074
Position 24638: 0.002360526865733437
Position 29689: 0.002188872488266706
Position 19375: 0.001976239527420603
Position 23503: 0.00186311277825152
Position 27144: 0.001729813776448934
Position 22282: 0.0016938041528509794
Position 22533: 0.001642587699958922
Position 20310: 0.0016135122334263023
Position 20142: 0.001551112914477491
Position 23373: 0.0015462696765210183
Position 30463: 0.0013337074828860375
Position 21013: 0.001320582309704357
Position 490: 0.0012626874818545632
Position 23123: 0.0011715268271154909
Position 25314: 0.0011665399577924045
Position 3888: 0.0011099595605288148
Position 25747: 0.0009697091122177843
Position 2976: 0.0009434042986131846
Position 23697: 0.000938834851255643
Position 20666: 0.000909672981474334
Position 760: 0.0008466298315905569
Position 20267: 0.0007359321756382715
Position 24683: 0.0007137400994405166
Position 20626: 0.0006871543842266141
Position 19715: 0.0006505328403057071
Position 3000: 0.0006234002703660244
Position 25619: 0.000575436979465483
Position 218: 0.0005702442893147776
