Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  752 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  1000
Partition function (log Z): 9.526693298515195

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.9909346360048551
Position 1496: 0.9753584714396726
Position 519: 0.9589587605377001
Position 177: 0.8770178903085916
Position 728: 0.4858602216284393
Position 752: 0.4759660574889365
Position 1658: 0.32912600009960963
Position 1674: 0.2419858975090113
Position 215: 0.07817242038794077
Position 3592: 0.058024965288519845
Position 383: 0.022602517603935852
Position 747: 0.021113759630203295
Position 2170: 0.014630290032763085
Position 2134: 0.013600511119044282
Position 3718: 0.01357597977969891
Position 4028: 0.010778496449064782
Position 2628: 0.010335935295443669
Position 3845: 0.010194320470306517
Position 1763: 0.009939458265032697
Position 767: 0.007668205095936618
Position 365: 0.006654316033671262
Position 1771: 0.006105438847842548
Position 371: 0.005258049885557398
Position 199: 0.0040041891557154085
Position 263: 0.003805134471180857
Position 1260: 0.0036551526058954064
Position 732: 0.0035922497926633885
Position 1525: 0.002861964799721614
Position 2600: 0.0025324137275536955
Position 5006: 0.002444422159235525
Position 1102: 0.002242590740848547
Position 3095: 0.002186032859601082
Position 367: 0.00211190613729933
Position 63: 0.0018276893851038073
Position 3039: 0.0014774134726945466
Position 2596: 0.0014622672917703166
Position 3272: 0.0013875740445590523
Position 1242: 0.0010666585759967196
Position 2194: 0.0010308082602516941
Position 2568: 0.0009948123799051085
Position 539: 0.0008471623446155127
Position 388: 0.0008370013282995748
Position 1216: 0.00047879876823489823
Position 1728: 0.0004321759440289897
Position 1227: 0.00038578781207365454
Position 760: 0.0003846374453657503
Position 552: 0.0003791100943979771
Position 4581: 0.00023087663560628443
Position 5505: 0.0001864338669594019
Position 1782: 0.00016559925431324976
Position 5772: 0.0001532266329966594
Position 2472: 0.00014829109450947468
Position 1474: 0.00014121096461946984
Position 770: 0.00013846898934180752
Position 1460: 0.00011965703710799606
Position 1774: 0.00010950499323036795
Position 773: 0.00010580247247234281
Position 3051: 9.660349185286373e-05
Position 1869: 9.308902190854604e-05
Position 1467: 6.88032783095905e-05
Position 2239: 5.708775541220839e-05
Position 1611: 5.683729815354953e-05
Position 2608: 5.572979726518349e-05
Position 792: 5.539588365859049e-05
Position 2040: 4.251241724146227e-05
Position 260: 4.25062650422677e-05
Position 802: 4.2181582605962885e-05
