Gene = FOXL2NB
index = 563
Annotated 5SS: [ 231 2406]
Annotated 3SS: [2285 3030]
SMsplice 5SS: [774]
SMsplice 3SS: [2030]
top_k =  1000
Partition function (log Z): -7.369314159583075

Sorted 5' Splice Sites (High to Low Probability):
Position 774: 0.6318158557579876
Position 2154: 0.5472802796385485
Position 231: 0.5074011070068923
Position 1834: 0.4382475519131168
Position 1618: 0.20128499551770945
Position 4481: 0.16625441756810827
Position 2615: 0.12945390942052334
Position 4344: 0.09628664386693783
Position 2550: 0.09622617395688542
Position 1171: 0.08967232963782981
Position 583: 0.08747116145173961
Position 813: 0.0676539279461329
Position 103: 0.06475314954783577
Position 3800: 0.0631298391333167
Position 3186: 0.048649691279634304
Position 2146: 0.04657005043551672
Position 4239: 0.03957621820304268
Position 2578: 0.03607171763403527
Position 2451: 0.030687155705365968
Position 791: 0.028152903545221725
Position 1573: 0.027930157569035493
Position 146: 0.016420769576535113
Position 735: 0.015109534898099103
Position 4966: 0.01339488265417782
Position 2160: 0.012326048796179507
Position 2142: 0.012071601550855593
Position 2140: 0.011838452245038128
Position 334: 0.010577007383001715
Position 2972: 0.009785327563029701
Position 5573: 0.008182620777060253
Position 1332: 0.006956777344334814
Position 394: 0.006861207817306196
Position 2166: 0.0065078595213130825
Position 610: 0.006008951026022241
Position 5217: 0.005648110769867501
Position 747: 0.005599974792407718
Position 2164: 0.005481223528864865
Position 2168: 0.005317964586132167
Position 2158: 0.005159824563275594
Position 2162: 0.005139699671953545
Position 4205: 0.00426044522541228
Position 1935: 0.003857202740213794
Position 2170: 0.0038558138841090356
Position 1143: 0.003213569245052118
Position 1825: 0.0031137314411581675
Position 2172: 0.003038279151934336
Position 2174: 0.0025018274536901214
Position 2178: 0.0023241400978886435
Position 2635: 0.0023011311209139387
Position 2176: 0.0022437387844683678
Position 2063: 0.002229038532222133
Position 590: 0.0018909936983053093
Position 386: 0.0017728542495284332
Position 555: 0.0015948248379920493
Position 675: 0.0014722139721835682
Position 2182: 0.0014186505872770994
Position 976: 0.0012061099744998627
Position 571: 0.0011772209766572172
Position 1087: 0.0011547981864970963
Position 339: 0.001115741194173692
Position 2378: 0.0010839699989746584
Position 151: 0.0009114246263725006
Position 1843: 0.0008894130678360425
Position 1244: 0.0008147929765459256
Position 2081: 0.0007582435160575508
Position 784: 0.0006805790137385615
Position 1919: 0.0004944662099780162
Position 793: 0.0004127301185385796
Position 1505: 0.00040064470129624104
Position 2300: 0.0003898375554162906
Position 1510: 0.00035596959109730617
Position 3932: 0.0003318974921143194
Position 3735: 0.0002685104431925106
Position 437: 0.00021212061964272192
Position 864: 0.00016841659227054457
Position 2188: 0.00016069155043808213
Position 1294: 0.0001479139613085894
Position 260: 0.00012467856134101653
Position 577: 0.00011292385564200975
Position 679: 9.652440330804358e-05
Position 2079: 8.918724795112618e-05
Position 753: 7.758746917549853e-05
Position 1677: 6.798904578203679e-05
Position 370: 5.5587485438601705e-05
Position 1570: 5.4379297872987766e-05
Position 856: 5.327332035419333e-05
Position 592: 4.827429542722253e-05
Position 840: 3.8106591870498586e-05
Position 1838: 2.936279640383911e-05
Position 1641: 1.9420321499283786e-05
Position 2349: 1.8344881162890442e-05
Position 7: 1.2963912415956678e-05
Position 1186: 1.1368679187748154e-05
Position 388: 5.7716579528129865e-06
Position 553: 5.090518601007629e-06
Position 481: 4.114872605584911e-06
Position 530: 2.1598089820471643e-06
Position 870: 1.9331777111373406e-06
Position 484: 1.7951763163567686e-06
Position 681: 3.396304782345458e-07
Position 835: 2.8439277281213134e-07
Position 877: 2.6599211775325096e-07
Position 2076: 1.1817270530124258e-08
Position 755: 4.517529833354488e-09
