Gene = FLAD1
index = 559
Annotated 5SS: [  39  708 5491 6349 6899 7170 9428]
Annotated 3SS: [ 482 4745 6200 6799 6979 9353 9542]
SMsplice 5SS: [  39 6899 7170 9428]
SMsplice 3SS: [6799 6979 9353 9542]
top_k =  1000
Partition function (log Z): -6.1716458682696365

Sorted 5' Splice Sites (High to Low Probability):
Position 6899: 0.7566113031082764
Position 5491: 0.5971243721089432
Position 9428: 0.5701960220784801
Position 7170: 0.4489252286844383
Position 6349: 0.41104624111741755
Position 39: 0.33163815682608105
Position 275: 0.2888003755399398
Position 708: 0.28023890086707914
Position 191: 0.17788051549305456
Position 4839: 0.11659517024070391
Position 9315: 0.09975329768560118
Position 9454: 0.08514300303819551
Position 222: 0.08390750543435423
Position 4809: 0.0737203113476072
Position 5340: 0.06102195919861823
Position 1045: 0.05508739509920913
Position 4242: 0.04850669847058201
Position 6433: 0.04025102380964694
Position 6980: 0.03995298491049138
Position 6916: 0.02978736453748879
Position 5290: 0.028286912005400542
Position 207: 0.02692169133200761
Position 6633: 0.02384125561358966
Position 1039: 0.020510570851491584
Position 9409: 0.01635712258617361
Position 4249: 0.014104826483346882
Position 4667: 0.00855553361020763
Position 9434: 0.007489976956387126
Position 4860: 0.004572279963742984
Position 5163: 0.00455619139184309
Position 790: 0.004259866459031484
Position 6699: 0.004023954304321202
Position 6626: 0.003430210262042233
Position 6228: 0.0033359876071154936
Position 6460: 0.0032945352536928275
Position 2529: 0.002626111676699396
Position 279: 0.0013901794479142056
Position 18: 0.0012791875697915896
Position 1997: 0.0005513773044514448
Position 7102: 0.0005195001799636191
Position 7030: 0.0004956186470136336
Position 5880: 0.000488496453242978
Position 2085: 0.0004704718516390737
Position 404: 0.0004431747056743559
Position 5884: 0.00041672392169038013
Position 9416: 0.00040486672167875444
Position 5461: 0.0003992453007831836
Position 6731: 0.0003980921546351443
Position 483: 0.00034285390667631677
Position 577: 0.00021804035420507967
Position 959: 0.00021791371219771484
Position 9300: 0.00019996252314526117
Position 800: 0.00018925968348672883
Position 2603: 0.00010589534860010596
Position 985: 0.00010072750090270004
Position 4711: 8.928967544533315e-05
Position 7519: 6.503750685137436e-05
Position 1649: 6.390179605469484e-05
Position 141: 5.938638476884496e-05
Position 75: 4.5360701982591894e-05
Position 272: 4.0469680714515024e-05
Position 60: 2.8803915850769387e-05
Position 340: 1.8157681338925213e-05
Position 820: 1.3716135602523956e-05
Position 105: 1.3321075481053465e-05
Position 148: 5.1084920365945e-06
Position 120: 4.065655469227554e-06
Position 1440: 3.4963618860363416e-06
Position 297: 3.2600488937752214e-06
Position 1404: 2.3599747609701587e-06
Position 420: 1.4534336445585644e-06
Position 358: 1.187860930223405e-06
Position 583: 5.183621589494274e-07
Position 534: 4.523971820892324e-07
Position 1079: 1.7648956824599325e-07
Position 2139: 1.7413772969581286e-07
Position 2328: 1.4729549246210963e-07
Position 527: 1.4629246569161428e-07
Position 506: 1.4349077991039908e-07
Position 666: 1.2962831549304547e-07
Position 385: 7.677891306950133e-08
Position 980: 6.361629668297506e-08
Position 1291: 5.6854695028298114e-08
Position 1047: 4.782863839051288e-08
Position 687: 4.7221671474865194e-08
Position 392: 3.6971075648524603e-08
Position 45: 1.987126676882706e-08
Position 1424: 1.05327105378403e-08
Position 1216: 5.209046295587314e-09
Position 1030: 4.986247302771301e-09
Position 710: 3.1245194381009614e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 9542: 0.8558415842661992
Position 6799: 0.7741756285389827
Position 9353: 0.5877662322469305
Position 5417: 0.527948999922133
Position 6979: 0.5037495092672258
Position 6200: 0.2738517983612605
Position 9205: 0.18489111188159485
Position 482: 0.13272917524537683
Position 4745: 0.11092397625388963
Position 6338: 0.09240454057964052
Position 5098: 0.07891140931021953
Position 4106: 0.060350456729213346
Position 6830: 0.05545342376273
Position 4711: 0.05473521606465804
Position 5139: 0.04709140993394432
Position 6156: 0.04011022803744637
Position 9289: 0.033274441815516614
Position 6220: 0.03174082759077729
Position 4606: 0.030111328897866326
Position 5326: 0.029523470740170782
Position 899: 0.022414253868904443
Position 664: 0.021745401009725107
Position 605: 0.021641098296448082
Position 6094: 0.01730990990837875
Position 6532: 0.017000058479197923
Position 7105: 0.016180471975874196
Position 637: 0.012284274889355368
Position 513: 0.012092827862873422
Position 759: 0.011928495572894974
Position 368: 0.011850543010705969
Position 7120: 0.010228984374562662
Position 6393: 0.00930512650649683
Position 823: 0.00889035576666415
Position 6992: 0.005206035322629631
Position 6847: 0.005182899818072962
Position 5073: 0.005027521964674706
Position 5293: 0.004283400673597698
Position 820: 0.004159827945062373
Position 6262: 0.004108059515386571
Position 9118: 0.0040638588671076115
Position 537: 0.003050746403320439
Position 4650: 0.0030491092498420116
Position 6552: 0.0030403300660318644
Position 6267: 0.0025497148972924806
Position 786: 0.0024521213969356955
Position 4611: 0.0023378795594776384
Position 4666: 0.0023269284406044026
Position 2390: 0.002280314964946819
Position 9594: 0.0022072826474897242
Position 980: 0.001819653597028271
Position 432: 0.0016248274658857843
Position 8295: 0.0015345637144071125
Position 9392: 0.0014759907710350446
Position 7458: 0.001420491705496814
Position 527: 0.0014169415112253014
Position 1893: 0.001320907301784041
Position 9691: 0.0012498550318258766
Position 7604: 0.0011024564549386258
Position 4645: 0.0010942240957823035
Position 7040: 0.0010091649401724387
Position 4007: 0.0009582346695391453
Position 7505: 0.000850371697425533
Position 5727: 0.000684002894180594
Position 497: 0.000661705130960357
Position 2411: 0.0006424667905614828
Position 977: 0.0006359742927689236
Position 4080: 0.0006333533107401177
Position 904: 0.000592141950976281
Position 1915: 0.0005553595727436841
Position 9631: 0.0004992850855489148
Position 7055: 0.0004650167830956682
Position 7549: 0.0004219794060242923
Position 798: 0.0003629657342871397
Position 946: 0.0003442921150119565
Position 6774: 0.0003387164721713407
Position 5759: 0.0003233471999265615
Position 4153: 0.0003060780225847383
Position 929: 0.0002889173522968026
Position 4180: 0.00026485539206057843
Position 6744: 0.00024161772799897955
Position 7582: 0.00021239903457455779
Position 8837: 0.0002099322182256936
Position 4899: 0.00020441760574469413
Position 3933: 0.00018648987718925566
Position 722: 0.00017310242235225073
Position 613: 0.0001593109473076572
Position 8501: 0.0001561247491878618
Position 927: 0.00011416711092136879
Position 1550: 0.00011124742558706186
Position 374: 0.00011112939719629997
Position 546: 0.00010994950946044594
Position 7914: 8.122041303998626e-05
Position 595: 7.927647420006823e-05
Position 2386: 7.867255643498562e-05
Position 7134: 7.59922706820241e-05
Position 397: 7.178726361346078e-05
Position 7566: 5.220946901453888e-05
Position 3697: 3.561512834830904e-05
Position 1897: 3.493417198954377e-05
Position 4800: 3.197983210448865e-05
Position 408: 2.311244727901744e-05
Position 7418: 1.963190827416943e-05
Position 5697: 1.9186196544256404e-05
Position 693: 1.7692021534599403e-05
Position 1106: 1.6050115205161834e-05
Position 436: 1.550295490800433e-05
Position 1708: 1.3749470238954172e-05
Position 3262: 1.2907058936698943e-05
Position 2878: 1.161984604809917e-05
Position 958: 1.1433683635739856e-05
Position 370: 9.87654666095191e-06
Position 2084: 7.0398633366678145e-06
Position 3423: 6.902308477654178e-06
Position 171: 6.320206491994547e-06
Position 1600: 5.9714798316213255e-06
Position 178: 5.18452523141716e-06
Position 1526: 4.194213083064975e-06
Position 607: 3.855498337826858e-06
Position 221: 3.0877420824523495e-06
Position 1017: 2.442664817003246e-06
Position 618: 2.4121586072823142e-06
Position 842: 2.3976883085709403e-06
Position 153: 2.2945701308091954e-06
Position 103: 1.7320856625718343e-06
Position 1066: 1.3879908712554718e-06
Position 931: 1.2849140180962846e-06
Position 204: 9.464123704706817e-07
Position 155: 6.927816489216492e-07
Position 184: 5.35396496740753e-07
Position 110: 5.251668352646717e-07
Position 123: 4.978631230423795e-07
Position 225: 4.6299039656433697e-07
Position 698: 4.419060217783456e-07
Position 413: 4.0798208181485613e-07
Position 707: 3.341190785686832e-07
Position 622: 3.097482725214058e-07
Position 615: 2.6011808562835214e-07
Position 190: 2.1544764361643314e-07
Position 99: 2.0188313643422167e-07
Position 230: 1.6865041302946887e-07
Position 727: 1.563529064277837e-07
Position 227: 1.3619505423621334e-07
Position 332: 1.3232955518662692e-07
Position 247: 1.2636261517710404e-07
Position 418: 1.0421995309214398e-07
Position 278: 8.88629505103302e-08
Position 1320: 6.578498145648408e-08
Position 194: 6.390783998344986e-08
Position 310: 4.6921612548420386e-08
Position 113: 4.142876581076978e-08
Position 82: 4.109086153757996e-08
Position 127: 3.997457889878329e-08
Position 2225: 3.5827283886059786e-08
Position 1235: 3.144938454946241e-08
Position 1246: 3.016905554855277e-08
Position 1284: 2.7795399076997565e-08
Position 120: 2.7711033447815576e-08
Position 789: 2.7580713140464468e-08
Position 988: 2.7119115837736006e-08
Position 1403: 2.5493563502096977e-08
Position 85: 2.5235453736857614e-08
Position 2228: 2.099562392483441e-08
Position 410: 2.0583909566752136e-08
Position 2138: 1.948982215932639e-08
Position 262: 1.8831477503361993e-08
Position 382: 1.8444213060146623e-08
Position 385: 1.4715219054180269e-08
Position 272: 1.4164073735660533e-08
Position 305: 1.0788290027579118e-08
Position 294: 9.235334473151819e-09
Position 239: 7.686519802684426e-09
Position 242: 7.617086781627681e-09
Position 252: 5.765939965616102e-09
Position 129: 5.349224443256349e-09
Position 995: 3.874774432389071e-09
Position 1123: 3.839055371215731e-09
Position 312: 2.106776358184438e-09
Position 297: 1.93245469875511e-09
Position 287: 8.376228086323072e-10
Position 291: 7.371389523331176e-11
Position 289: 3.264898063104831e-11
Position 317: 2.976151536956315e-11
Position 321: 1.983893587711174e-11
