Gene = MEGF9
index = 833
Annotated 5SS: [   713  55097  91855 102075 106730]
Annotated 3SS: [ 54894  91714 101930 106459 108828]
SMsplice 5SS: [   713   1112  10077  16172  17584  36396  55097  69746  91855 102075
 106631]
SMsplice 3SS: [   969  10003  16024  17486  36228  54894  69622  91714 101930 106459
 108828]
top_k =  1000
Partition function (log Z): -50.41288128772691

Sorted 5' Splice Sites (High to Low Probability):
Position 713: 0.9902421056992643
Position 1112: 0.8638644185231151
Position 17584: 0.8130091259075887
Position 10077: 0.7598811474091584
Position 16172: 0.32075250645998155
Position 11503: 0.19670258723351605
Position 16792: 0.13401038113091734
Position 7049: 0.12222858656178963
Position 3782: 0.1168131177962555
Position 8810: 0.10824561625678059
Position 10097: 0.08781751156757191
Position 15561: 0.08503279153355622
Position 8755: 0.07177409290101329
Position 18338: 0.070643895534698
Position 15542: 0.04808013258249563
Position 8802: 0.042685964064370356
Position 262: 0.03663779649038026
Position 7761: 0.02398327580107803
Position 7896: 0.016700652857332087
Position 8447: 0.016465635905969406
Position 4911: 0.01575970547129332
Position 8773: 0.013591541124382038
Position 17: 0.011858937068436822
Position 8767: 0.011456239211307853
Position 7486: 0.010681091279798232
Position 3035: 0.009923127946669906
Position 4547: 0.008496527832518955
Position 8690: 0.008384471287224455
Position 4374: 0.00793758511622087
Position 10053: 0.006760343406725397
Position 1699: 0.006282266388140612
Position 7090: 0.005888531999511939
Position 5582: 0.00586041126852324
Position 3621: 0.005417610747630591
Position 9722: 0.005019315653751076
Position 3189: 0.004650104518413128
Position 2962: 0.004641347841179714
Position 4400: 0.004195109658158247
Position 8417: 0.0037674350007184973
Position 10043: 0.0036578012992766
Position 4017: 0.002611901084253879
Position 2948: 0.0025223903079072004
Position 10109: 0.002051599061079454
Position 4640: 0.0019449802390727185
Position 4328: 0.0019048189325614514
Position 1771: 0.0019002343221448661
Position 7168: 0.0014047606587834847
Position 1331: 0.001353296902036449
Position 239: 0.0012695936478390466
Position 1204: 0.0011217146094558254
Position 850: 0.0010197759825130183
Position 8880: 0.0009069847777679667
Position 7426: 0.0008278112290695859
Position 285: 0.0008004532844866584
Position 6215: 0.0007652053606743963
Position 4260: 0.0007507803212377864
Position 823: 0.000730459712050719
Position 2340: 0.000714811099777415
Position 5469: 0.0006858208111595775
Position 8: 0.0006650481529504646
Position 6189: 0.0006003055485904682
Position 62: 0.00033705538720188243
Position 589: 0.0003127816519005132
Position 44: 0.0002467386835070739
Position 601: 0.00020646752683035736
Position 773: 0.00018617860109446856
Position 1021: 0.00013825106104438953
Position 717: 8.523572670390452e-05
Position 904: 6.133465496707487e-05
Position 859: 5.757495330016835e-05
Position 26: 5.0315423892298157e-05
Position 2779: 4.711635987197705e-05
Position 171: 4.235993669367947e-05
Position 2598: 3.331610404700246e-05
Position 3143: 3.328996318983367e-05
Position 3535: 2.890475301510332e-05
Position 1165: 2.4827777468508848e-05
Position 1313: 2.4099356296809345e-05
Position 32: 2.3410712513743814e-05
Position 890: 2.074627204406671e-05
Position 798: 1.7051524502998264e-05
Position 2971: 1.643946334344613e-05
Position 1193: 1.1521244797740694e-05
Position 174: 1.122354665222428e-05
Position 2083: 9.672856734919847e-06
Position 3099: 9.45132219221874e-06
Position 1178: 8.745430029412941e-06
Position 2050: 5.612209615603299e-06
Position 4304: 5.5309188800328095e-06
Position 1562: 5.518610460086635e-06
Position 2173: 5.412253796447578e-06
Position 232: 4.4612578950834745e-06
Position 1098: 4.315845335209895e-06
Position 4387: 3.3203164929942645e-06
Position 1184: 2.9424671536006742e-06
Position 370: 2.6624532315519218e-06
Position 2563: 2.646693152177209e-06
Position 3375: 2.2699722530565525e-06
Position 405: 1.919623692181706e-06
Position 2594: 1.8455180111593648e-06
Position 1016: 1.7664343089208511e-06
Position 2565: 1.7477850360266537e-06
Position 270: 1.6433256792450514e-06
Position 1180: 1.533469315864365e-06
Position 2624: 1.5008661730048733e-06
Position 1207: 1.3212337993320465e-06
Position 3708: 7.132949298628208e-07
Position 2628: 5.6005982184777e-07
Position 2632: 5.443938578051714e-07
Position 897: 5.365122863477526e-07
Position 1137: 4.6591870055851217e-07
Position 1410: 2.741067043109321e-07
Position 1525: 2.391048757297637e-07
Position 2024: 2.2280409864590301e-07
Position 2602: 1.9933593595798596e-07
Position 2604: 1.9498426643064524e-07
Position 205: 1.6744120014226512e-07
Position 2606: 1.6665425837286765e-07
Position 1602: 1.6074374982814566e-07
Position 1317: 1.3766059496255227e-07
Position 2608: 1.3454200411113935e-07
Position 1048: 1.1687917668087775e-07
Position 911: 4.133539780911513e-08
Position 1145: 3.5674504503764674e-08
Position 1234: 2.194070643915529e-08
Position 1061: 1.4911589322518776e-08
Position 1078: 1.4695926635264036e-08
Position 929: 1.968506640618825e-09
Position 940: 1.5723368327190667e-10
Position 1278: 2.1718487301048894e-11
Position 1231: 1.5186331066512785e-11
Position 802: 4.4636754190534174e-13
Position 664: 6.80123625070824e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 10003: 0.8780038866560785
Position 17486: 0.8711243036935511
Position 969: 0.8093425649820274
Position 16024: 0.3219737473620633
Position 8666: 0.22750805568950092
