Gene = SHQ1
index = 1255
Annotated 5SS: [  283  4122  6201  7436 16112 24057 31251 33131 35810 55565]
Annotated 3SS: [ 4056  6077  7280 15998 23928 31095 33076 35685 55443 97643]
SMsplice 5SS: [  283  4122  7436 16112 24057 30552 31251 39413 40586 40829 55565 65512
 68357 81868]
SMsplice 3SS: [ 4056  7280 15998 23928 30432 31095 39297 40455 40672 55443 65340 68298
 81759 97643]
top_k =  1000
Partition function (log Z): -18.46438237179564

Sorted 5' Splice Sites (High to Low Probability):
Position 16112: 0.9970142326542331
Position 31251: 0.9898809031492979
Position 24057: 0.9871694251554826
Position 7436: 0.9810924232987277
Position 4122: 0.9381525304329191
Position 40586: 0.8077199190777208
Position 30552: 0.6394358245066758
Position 39413: 0.6134896727987116
Position 40990: 0.5728512467790183
Position 132: 0.4748519197264715
Position 35810: 0.4371281105042274
Position 40829: 0.40339698243281624
Position 6201: 0.34888229504125995
Position 36697: 0.3243011808258512
Position 4506: 0.3082309642597092
Position 16287: 0.29213771177415526
Position 442: 0.28862751688644406
Position 13443: 0.24730902879275118
Position 6573: 0.21485416043956612
Position 39557: 0.1958911344025879
Position 40780: 0.19346162153084578
Position 4724: 0.18150269599560886
Position 26855: 0.1746390053639058
Position 40574: 0.16633440423987578
Position 4719: 0.16354416844600195
Position 44790: 0.1510564264237443
Position 28180: 0.13017129844019995
Position 26235: 0.12127629601867089
Position 44772: 0.11737718306752215
Position 1439: 0.1061487770408102
Position 16445: 0.10450927873206649
Position 45001: 0.10029136702774467
Position 13002: 0.09587579561034591
Position 35852: 0.08615454407812985
Position 44531: 0.08173991922391524
Position 8857: 0.08110720076565024
Position 22587: 0.07868995535065311
Position 21799: 0.06854678210607267
Position 244: 0.06277357262362497
Position 43495: 0.0579090375171193
Position 35288: 0.054829891783539336
Position 2519: 0.05173459279383633
Position 32686: 0.05007664530007905
Position 1607: 0.044373621081839815
Position 36214: 0.043837025024298586
Position 30590: 0.04042970944240886
Position 4838: 0.03916893307749611
Position 47928: 0.03858443808175732
Position 17283: 0.03737478543372442
Position 46548: 0.03624284347024948
