Gene = CAMLG
index = 275
Annotated 5SS: [ 292 3023 5552]
Annotated 3SS: [ 2561  5485 12257]
SMsplice 5SS: [292]
SMsplice 3SS: [13203]
top_k =  1000
Partition function (log Z): -7.412692903092248

Sorted 5' Splice Sites (High to Low Probability):
Position 292: 0.9993980161513617
Position 5552: 0.5076881217106745
Position 2702: 0.24125107407387172
Position 10287: 0.09860080986280347
Position 1328: 0.06278778074661187
Position 3023: 0.0443167737271675
Position 12991: 0.025403913117115876
Position 1670: 0.015002407420016387
Position 878: 0.013416424206818574
Position 11211: 0.012654154857519292
Position 3430: 0.010067062940666434
Position 3455: 0.009765337062795173
Position 1064: 0.007970222027181584
Position 615: 0.007362371125658554
Position 919: 0.004899304121089025
Position 893: 0.004898118132365725
Position 673: 0.0034971878279399333
Position 887: 0.003146547864270035
Position 1232: 0.002963691521565387
Position 3387: 0.0024886576007805434
Position 1518: 0.0024431725143743534
Position 505: 0.002298889799603341
Position 2660: 0.0017436647675094874
Position 8119: 0.001625698169600703
Position 5882: 0.0015651502609477115
Position 2642: 0.0015297742475163126
Position 8121: 0.0012499674325851245
Position 5136: 0.0010485940737392872
Position 2436: 0.0009573114303987383
Position 2652: 0.0009100003291802468
Position 5224: 0.0009098794204639485
Position 181: 0.0004899179894369029
Position 1672: 0.0002444139963884131
Position 7707: 0.0001530575981140456
Position 553: 0.0001316196389325299
Position 680: 0.00010205121118691868
Position 797: 7.800122194837925e-05
Position 1558: 6.187805649246153e-05
Position 1378: 5.004463865043721e-05
Position 2505: 4.232720749410228e-05
Position 2197: 3.806998437045095e-05
Position 2387: 3.341414266273117e-05
Position 1556: 3.0379936042782955e-05
Position 735: 1.477481366585702e-05
Position 2664: 1.3413050101427156e-05
Position 2969: 1.2845991545877882e-05
Position 2691: 1.075361226659345e-05
Position 5630: 1.0442895859449968e-05
Position 1182: 2.083370718855351e-06
Position 940: 1.4289496795585995e-06
Position 125: 1.3001974784296454e-06
Position 926: 1.27515711941775e-06
Position 978: 1.2128100464713042e-06
Position 828: 9.703847603746986e-07
Position 969: 9.048616088853871e-07
Position 966: 8.59317005366294e-07
Position 795: 7.154157915579386e-07
Position 430: 5.104908393899866e-07
Position 315: 4.884249762791553e-07
Position 709: 4.772628314614346e-07
Position 834: 3.887133464473515e-07
Position 8: 3.2248844209186653e-07
Position 345: 2.914985221734972e-07
Position 108: 2.7731380331622076e-07
Position 744: 6.814097865532419e-08
Position 165: 4.5969738887646036e-08
Position 15: 4.140077676868947e-08
Position 52: 1.981955521600589e-08
Position 199: 8.533046823695114e-09
Position 214: 7.384184785045734e-09
Position 473: 6.25636007387494e-09
Position 442: 5.5278583374287864e-09
Position 135: 4.6153283612141975e-09
Position 185: 3.6207384860535814e-09
Position 695: 3.3415293132337536e-09
Position 558: 1.7976918841803445e-09
Position 633: 8.664306612949448e-10
Position 612: 4.452728669739949e-10
Position 628: 3.182175400091886e-10
Position 466: 1.2420705225744632e-10
Position 416: 7.373213869104763e-11
Position 733: 3.95688373481182e-12

Sorted 3' Splice Sites (High to Low Probability):
