Gene = BNIP1
index = 137
Annotated 5SS: [  115  2444  9899 14331 15537]
Annotated 3SS: [ 2350  9806 14228 15417 19209]
SMsplice 5SS: [  115  9899 15537]
SMsplice 3SS: [ 9806 15417 19209]
top_k =  1000
Partition function (log Z): -2.691317256717918

Sorted 5' Splice Sites (High to Low Probability):
Position 9899: 0.9586057575282575
Position 115: 0.9146449802257453
Position 15537: 0.9069501880721101
Position 2444: 0.4233065433800663
Position 7180: 0.42328556950600593
Position 14331: 0.32383484137596846
Position 10691: 0.292291410221538
Position 17631: 0.2597232067387861
Position 17896: 0.2582489828936064
Position 1681: 0.23457399146336616
Position 2072: 0.10478349148844296
Position 8330: 0.10358266340746937
Position 11584: 0.10160762187894226
Position 494: 0.09899290678957101
Position 16520: 0.09230845408673652
Position 5885: 0.08826913475821477
Position 6174: 0.08662820462300012
Position 97: 0.07405423117871938
Position 9404: 0.0646150515889618
Position 10579: 0.05241602137945117
Position 2213: 0.035337314115396284
Position 8348: 0.03480765023397898
Position 4948: 0.033803462692534425
Position 15503: 0.03112177937998377
Position 14097: 0.028739248804368553
Position 17700: 0.028074412409858394
Position 7190: 0.024119640318221985
Position 11737: 0.02354557176128317
Position 17851: 0.022602516894472242
Position 16250: 0.021251450003635236
Position 8356: 0.01960844920042798
Position 650: 0.01894264674189128
Position 7525: 0.01853309451395354
Position 2709: 0.01791709033244713
Position 10560: 0.017103824432399137
Position 17455: 0.015718997705666225
Position 2246: 0.014082123683326227
Position 668: 0.013837703012343095
Position 631: 0.013601460377524419
Position 1737: 0.012585510361561988
Position 2677: 0.012324247456557365
Position 18552: 0.008669494409238969
Position 1824: 0.008492636223319975
Position 1903: 0.007896372210930121
Position 18943: 0.007416768782733341
Position 18099: 0.006914693257307608
Position 1991: 0.006757987484607098
Position 17671: 0.006749830704673773
Position 2242: 0.006732507845266458
Position 18701: 0.006663902412101194
Position 17653: 0.006092434882371748
Position 19417: 0.004735370362777384
Position 9951: 0.004566398954948137
Position 6464: 0.004374873858219518
Position 577: 0.0037213096351322024
Position 170: 0.0029857045520224196
Position 13268: 0.0026308276377154495
Position 174: 0.0022804231294598558
Position 4648: 0.0018413768940421854
Position 11520: 0.0016565503584266025
Position 588: 0.001478114220414028
Position 16145: 0.0013456888957125417
Position 1788: 0.0012742080422458479
Position 14386: 0.0012621707490980483
Position 15765: 0.0011813166757547399
Position 4643: 0.0011690404046795129
Position 9964: 0.0011567385798500016
Position 2285: 0.0011145247622227285
Position 15554: 0.001109513561210763
Position 280: 0.001102258104675564
Position 10405: 0.00090809248116373
Position 65: 0.0008912385345578726
Position 10678: 0.0008356844203250966
Position 10633: 0.0008066921044421521
Position 2591: 0.0007834521351259839
Position 19365: 0.0007628924809023117
Position 12730: 0.000756629656218666
Position 5602: 0.0007409211867576026
Position 2761: 0.0007174747761164663
Position 12703: 0.0006826733254155534
Position 309: 0.0006006380449596766
Position 17981: 0.0005013102871464278
Position 1168: 0.0004898369762090126
Position 2487: 0.0004366775846895599
Position 3862: 0.00037731056987533405
Position 789: 0.00036101688045711333
Position 19782: 0.00026865217127402315
Position 10285: 0.00025309782382072765
Position 499: 0.00019845385523864644
Position 1999: 0.00018651414683991882
Position 4538: 0.000163143067963713
Position 2448: 0.00014940355373681356
Position 55: 0.00014852570630002014
Position 410: 8.568548950218553e-05
Position 2405: 8.234769594989465e-05
Position 15955: 8.145209332409481e-05
Position 2180: 6.878240233628146e-05
Position 1486: 6.716970423103313e-05
Position 2260: 6.110881493600957e-05
