Gene = PRELID1
index = 1070
Annotated 5SS: [ 304 1077 2211 2403]
Annotated 3SS: [ 850 2096 2323 2647]
SMsplice 5SS: [ 304 1077 2211 2403]
SMsplice 3SS: [ 850 2096 2323 2680]
top_k =  1000
Partition function (log Z): -5.978560258629189

Sorted 5' Splice Sites (High to Low Probability):
Position 2211: 0.8270649251576874
Position 1077: 0.7028873255037931
Position 2403: 0.6781077984467965
Position 304: 0.6597811077074719
Position 80: 0.16430174892216812
Position 2415: 0.10274749107914592
Position 412: 0.09038590015955687
Position 657: 0.08516730544937756
Position 992: 0.04584025267988438
Position 115: 0.0321901072597129
Position 452: 0.028365166209980548
Position 364: 0.02553535858453526
Position 286: 0.01812155932884382
Position 2473: 0.01681467123237007
Position 465: 0.016743015827697584
Position 3067: 0.011801594738038034
Position 1968: 0.006764697734378077
Position 501: 0.006555321151167849
Position 88: 0.005908137987856742
Position 888: 0.005883271406660879
Position 311: 0.005362192594130558
Position 2787: 0.005065738974872854
Position 215: 0.004927214494373758
Position 375: 0.0033815960163973754
Position 2793: 0.0032303385567881105
Position 117: 0.0017174966986062174
Position 523: 0.0013431031128410577
Position 186: 0.0009715341020948496
Position 220: 0.0009560052331794959
Position 1194: 0.0008647381845380988
Position 741: 0.0008330829522710945
Position 1478: 0.0006438128268040487
Position 1306: 0.0005247465489320298
Position 3045: 0.0005188785710612829
Position 3019: 0.0004217058959362515
Position 85: 0.00039588602658286034
Position 3081: 0.00024611049928921887
Position 265: 0.00022003581059763618
Position 2909: 0.00017280871326612242
Position 544: 0.00012482121319446767
Position 627: 9.365630315177011e-05
Position 308: 5.954638119503975e-05
Position 610: 5.8817349999456917e-05
Position 479: 3.207082896803758e-05
Position 710: 2.4210410056738744e-05
Position 476: 1.4699757601219792e-05
Position 263: 7.28215053408345e-06
Position 876: 3.99628118300182e-06
Position 2974: 1.6456801659531625e-06
Position 20: 1.5784729746730134e-06
Position 2598: 1.4753757932661685e-06
Position 2279: 1.0292761159643456e-06
Position 2532: 9.179172164545845e-07
Position 3: 5.296009263071719e-07
Position 2521: 4.2275721951440933e-07
Position 150: 3.6854626801318684e-07
Position 552: 1.283525027339299e-07
Position 661: 1.282481796666167e-07
Position 1094: 9.778542814282377e-08
Position 990: 6.819786788093982e-08
Position 5: 4.96240133502358e-08
Position 239: 1.4490640911847577e-08
Position 482: 7.590945598702077e-09
Position 675: 5.3612917477374074e-09
Position 249: 2.6504053173012827e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2323: 0.8323609160568007
Position 2096: 0.6851589755456229
Position 2680: 0.4502715647717175
Position 850: 0.4276456953305095
Position 2647: 0.22107134904323164
Position 1025: 0.18654162025761553
Position 2610: 0.15185165805623116
Position 160: 0.1083389543316639
Position 2140: 0.06434956174199763
Position 870: 0.04324651271565406
Position 1889: 0.04071042279993745
Position 303: 0.029266429012459613
Position 518: 0.02924681934315458
Position 2597: 0.02881610072978899
Position 932: 0.018801684742844937
Position 1955: 0.01798203140263288
Position 940: 0.017385884265309206
Position 2998: 0.014552367486877634
Position 2021: 0.01373903082607757
Position 3176: 0.013381406503133547
Position 2623: 0.013360310579570293
Position 2182: 0.013190058013036287
Position 1004: 0.012265450556298992
Position 2888: 0.010161496850736593
Position 2941: 0.009434679527148444
Position 722: 0.009370453947653281
Position 2349: 0.009192683655098297
Position 283: 0.008440355335918399
Position 2200: 0.007773096395264636
Position 3131: 0.0076209387853748275
Position 902: 0.006793876582333972
Position 3044: 0.006062343216217879
Position 2676: 0.005933074930239819
Position 2927: 0.004346851493989187
Position 235: 0.003666779945013045
Position 876: 0.0034412102999144966
Position 1252: 0.003405903167422133
Position 2550: 0.0033993806284833648
Position 2728: 0.0033377171113934804
Position 411: 0.003108510479691752
Position 2627: 0.0026516492773411703
Position 2027: 0.0019865505187462917
Position 492: 0.001547952216418001
Position 2973: 0.0015473387399430848
Position 375: 0.0012168586868885989
Position 2435: 0.0011976105554621164
Position 1755: 0.0010638965318487692
Position 499: 0.0010244091537668894
Position 2048: 0.0009849195188365095
Position 2283: 0.0007119344769584226
Position 766: 0.0006485551767951721
Position 641: 0.0006237343127830623
Position 1295: 0.0006099150048643442
Position 809: 0.0005760940814768722
Position 2722: 0.0005556234926646547
Position 1614: 0.0005175245995613869
Position 1867: 0.0005033655805371901
Position 1373: 0.0004705770351720089
Position 1031: 0.0004533832195664164
Position 1973: 0.00041516542149337997
Position 2251: 0.00040898294357924264
Position 220: 0.0003633558956417208
Position 1895: 0.0003632026107399047
Position 2295: 0.00033268481495305884
Position 1392: 0.0003230280668793891
Position 801: 0.00032139423844948674
Position 1332: 0.0003111528651889235
Position 1193: 0.00029309960438476316
Position 740: 0.00024702862077361886
Position 1696: 0.00019951159468628593
Position 2750: 0.0001835906298688291
Position 237: 0.0001765827709539111
Position 2035: 0.0001590963652667139
Position 351: 0.00013675006291873114
Position 387: 0.00012399776603186
Position 3138: 0.0001043359308571069
Position 2685: 0.00010040606156831925
Position 2495: 8.423577021494177e-05
Position 644: 6.808520743330894e-05
Position 1809: 6.408371684035685e-05
Position 321: 5.769012210375369e-05
Position 887: 5.7335422998833334e-05
Position 1534: 4.779527466758682e-05
Position 2202: 3.861567405813315e-05
Position 1829: 3.4288082457121156e-05
Position 505: 3.165882653325332e-05
Position 263: 2.7670388629480398e-05
Position 1619: 2.7375338301904815e-05
Position 249: 1.9053543389295473e-05
Position 527: 1.800072773855232e-05
Position 532: 1.5765471741115293e-05
Position 415: 1.1918183497024951e-05
Position 437: 1.177048306249148e-05
Position 535: 1.0984880055116845e-05
Position 816: 9.355925647105324e-06
Position 193: 9.305286020675985e-06
Position 391: 8.458423920271348e-06
Position 1873: 8.06812505666893e-06
Position 2395: 7.688513986946202e-06
Position 1869: 7.401646098935527e-06
Position 559: 6.167093114438761e-06
Position 626: 6.0718998999390665e-06
Position 323: 4.9937564222284025e-06
Position 430: 2.723222388209454e-06
Position 460: 2.2889215150661664e-06
Position 544: 2.2556715060861573e-06
Position 648: 1.7821549189699506e-06
Position 451: 1.7632432092100403e-06
Position 2816: 1.6428326730836288e-06
Position 464: 1.6423839755657464e-06
Position 3048: 1.2313712874475482e-06
Position 751: 7.712094094308978e-07
Position 774: 6.939052774318674e-07
Position 570: 4.4504971092275985e-07
Position 1346: 1.8579826395133977e-07
Position 1217: 1.684873759466421e-07
Position 1133: 1.5359077493878138e-07
Position 1189: 1.4660155819436128e-07
Position 537: 1.4047548523392568e-07
Position 442: 6.186274780210449e-08
Position 1129: 2.709656967322045e-09
Position 552: 7.739768289259766e-10
Position 66: 2.2566228350482267e-11
