Gene = NAPEPLD
index = 911
Annotated 5SS: [  422 20750 29656 34173 45809]
Annotated 3SS: [20439 29008 34057 45677 46109]
SMsplice 5SS: [  872 20516 29656 34173]
SMsplice 3SS: [20439 29561 34057 46168]
top_k =  1000
Partition function (log Z): -27.736371677638445

Sorted 5' Splice Sites (High to Low Probability):
Position 872: 0.5608871532589592
Position 1413: 0.4831882719812584
Position 310: 0.36613718693862285
Position 1272: 0.13972296919174373
Position 12063: 0.09998443883228877
Position 238: 0.09110922687946635
Position 13664: 0.07155732072251433
Position 9785: 0.07023858518438063
Position 189: 0.058364816354632726
Position 534: 0.05152251432945622
Position 7528: 0.049727458514352396
Position 930: 0.03368498197115133
Position 444: 0.016416507292765524
Position 422: 0.016121950069731657
Position 113: 0.006961831889433592
Position 12095: 0.00524414390104333
Position 843: 0.004057104557299533
Position 2691: 0.00381176556282426
Position 395: 0.0036452409878810687
Position 5630: 0.0035523267399656245
Position 1249: 0.0032212703250411936
Position 5162: 0.0029139362233212727
Position 448: 0.0026760244781451
Position 278: 0.0023843058350215035
Position 11772: 0.0019629644832495595
Position 153: 0.001503387114638493
Position 876: 0.0014772359154877266
Position 9569: 0.001341786228704265
Position 349: 0.0011996566636943023
Position 87: 0.0010199245827546236
Position 63: 0.0008852950376349497
Position 689: 0.0007684651682626291
Position 1278: 0.0006691902337663857
Position 2593: 0.00044920359022841493
Position 150: 0.0004443445264621832
Position 1222: 0.0004223736317641625
Position 4952: 0.00041021276475626604
Position 562: 0.00040952228607552785
Position 22: 0.00035837579747896673
Position 3558: 0.0002477317903002771
Position 2548: 0.0002206549864492784
Position 173: 0.0001447800217804064
Position 881: 0.00014243698029294503
Position 3286: 0.00013538624967092473
Position 460: 0.00013072427751499447
Position 797: 0.00012595764810412432
Position 847: 0.00012235125630451188
Position 37: 0.00012206822908195504
Position 2555: 0.00011992125501463923
Position 193: 0.00011598150342837406
Position 426: 0.00010526577072889216
Position 1779: 9.733029563910538e-05
Position 901: 8.081291190269201e-05
Position 20: 7.661949616421661e-05
Position 1177: 7.473137312665521e-05
Position 441: 6.812836023302063e-05
Position 355: 6.309672603434405e-05
Position 80: 5.2763278051875615e-05
Position 715: 4.973225623579416e-05
Position 727: 4.1603486348161466e-05
Position 2490: 3.7710192955525184e-05
Position 2544: 3.682866669258054e-05
Position 626: 3.300107389299462e-05
Position 1654: 2.4623989761609725e-05
Position 43: 2.232410407105965e-05
Position 974: 2.0338671889676556e-05
Position 639: 2.0282883519506877e-05
Position 1036: 1.955324180448804e-05
Position 697: 1.7561593119799497e-05
Position 1182: 1.5396867766132462e-05
Position 666: 1.4234699891218131e-05
Position 34: 1.1232682806782371e-05
Position 505: 9.583099016282901e-06
