Gene = HSDL2
index = 666
Annotated 5SS: [  244 24222 25786 29085 37008 39022 58689 61834 74226 79641]
Annotated 3SS: [24057 25686 28969 36903 38922 58493 61761 74075 79511 90494]
SMsplice 5SS: [  244 14561 14781 24222 25786 29085 37008 39022 58689 58876 61510 61834
 74226 79641]
SMsplice 3SS: [14406 14719 24057 25686 28969 36903 38922 58493 58805 61414 61761 74075
 79511 90494]
top_k =  500
Partition function (log Z): 4.036364712553482

Sorted 5' Splice Sites (High to Low Probability):
Position 39022: 1.0000000000000038
Position 58689: 0.999999999999487
Position 61834: 0.9999999907748963
Position 24222: 0.9999990446291983
Position 79641: 0.9999435291024116
Position 29085: 0.9919225428939961
Position 14781: 0.9345021288949784
Position 61510: 0.9045129056861126
Position 74226: 0.8770490554977323
Position 14561: 0.8716379251656854
Position 58876: 0.85764892928323
Position 244: 0.7838536245430673
Position 25786: 0.7672463950342217
Position 23612: 0.529931251399128
Position 2732: 0.47003899706959645
Position 37008: 0.46249662755916576
Position 37015: 0.43055547310713455
Position 27937: 0.4131907342209155
Position 67710: 0.29026574567761404
Position 88314: 0.2655837323505876
Position 30101: 0.19442281857642124
Position 90546: 0.19436391406895606
Position 45347: 0.19226159506669438
Position 416: 0.17665017288827164
Position 20369: 0.14785434291507782
Position 81873: 0.1468926215553698
Position 30126: 0.13247349904440164
Position 25833: 0.12161306387935836
Position 76085: 0.11970605218582715
Position 14588: 0.11600100381832587
Position 28351: 0.11437406929198873
Position 7426: 0.10290753567226024
Position 571: 0.09594864315664875
Position 90648: 0.07814177117887966
Position 37027: 0.07559486233810835
Position 73787: 0.07072205362248556
Position 34076: 0.06885838228391306
Position 34100: 0.06756786437346168
Position 34421: 0.06640850107179394
Position 85612: 0.06549124566045
Position 83306: 0.05716983360957193
Position 86823: 0.05406322699182074
Position 19288: 0.0513954247001769
Position 61530: 0.049271525452536206
Position 37605: 0.040888875790023184
Position 20300: 0.03848558206377024
Position 78668: 0.03674473743181348
Position 25822: 0.03211445848285688
Position 14977: 0.031218087515177427
Position 76406: 0.028930510045392675
Position 17938: 0.025232149461639465
Position 27581: 0.024347277883752304
Position 33400: 0.024062720501284916
Position 15500: 0.02402086004275138
Position 14847: 0.023796806932129728
Position 80751: 0.02285794097240335
Position 16075: 0.022729810559347696
Position 61423: 0.01973172880168077
Position 27623: 0.019281248730478515
Position 37022: 0.018895910031082735
Position 33217: 0.017898845077563116
Position 30131: 0.016586350254759723
Position 485: 0.01649623606412382
Position 81778: 0.016004017020492315
Position 85616: 0.011492693321392132
Position 3414: 0.010685811592871044
Position 81284: 0.010272643965676365
Position 31397: 0.009881686249768222
Position 37038: 0.007579537299957657
Position 31321: 0.007379902411880528
Position 34009: 0.007272426187554046
Position 20036: 0.007246709004086959
Position 30342: 0.0068660373657822805
Position 954: 0.005410470193678461
Position 34444: 0.005230478633605798
Position 1063: 0.00507782719892704
Position 80714: 0.004596987080088502
Position 29893: 0.004503953395002906
Position 252: 0.003980052110666669
Position 82075: 0.0026287193832728686
Position 949: 0.002301161038328865
Position 81737: 0.001921049329155741
Position 2651: 0.0018476644368535392
Position 1056: 0.001595953867771001
Position 81422: 0.001500199859128823
Position 382: 0.000993523042437581
Position 1697: 0.0009240419479792289
Position 83242: 0.0008614033765027989
Position 79824: 0.0007990881032285573
Position 589: 0.0007926106794102895
Position 5350: 0.0007901234040594363
Position 29767: 0.0006679469588292967
Position 4756: 0.000650165976253683
Position 4300: 0.0005277645421483944
Position 582: 0.00046739066116636415
Position 347: 0.00039955384815786325
Position 549: 0.00032608795276181
Position 2455: 0.000239423330941897
Position 300: 0.00021609939312549974
Position 29117: 0.0002106787419095644
Position 82053: 0.00019888399337684526
Position 24689: 0.0001612458512389982
Position 25635: 0.00015413635348794598
Position 29490: 8.482538964609782e-05
Position 29662: 8.184931722369432e-05
Position 26011: 5.256001625466755e-05
Position 79939: 4.2308491079116704e-05
Position 80581: 1.4994310834670986e-05
Position 80679: 1.3099526492217136e-05
Position 713: 8.162237722491268e-06
Position 650: 8.162012778106675e-06
Position 97: 7.202028717684551e-06
Position 2747: 7.031023230826661e-06
Position 224: 3.6042624885692013e-06
Position 421: 3.4157429896497024e-06
Position 340: 3.260326967909582e-06
Position 161: 1.046140522246721e-06
Position 423: 8.792254909854296e-07
Position 294: 5.6916099120102e-07
Position 278: 2.008979919965103e-07
Position 229: 1.5905055520944866e-07
Position 466: 6.776248813556834e-08
Position 62573: 5.675871579655091e-08
Position 398: 4.355474181841062e-08
Position 445: 2.22565001938503e-08
Position 960: 1.9045995603425453e-08
Position 762: 1.454142737305461e-08
Position 79884: 1.4399484325012394e-08
Position 195: 1.3461623471596994e-08
Position 609: 9.591795046549122e-09
Position 62274: 6.989774921713093e-11
Position 464: 1.1520295445760065e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 38922: 1.000000000000002
Position 58493: 0.999999999999487
Position 79511: 0.9999891945375405
Position 36903: 0.9951224103354499
Position 14406: 0.9890982790459735
Position 61414: 0.9735161601016872
Position 61761: 0.9569031994247785
Position 24057: 0.9367665796080882
Position 28969: 0.9032995724908186
Position 74075: 0.8770490554977322
Position 58805: 0.85764892928323
Position 90494: 0.8360685018222014
Position 14719: 0.7243978032610014
Position 25686: 0.711803853789373
Position 27853: 0.38154224615260823
Position 2564: 0.3522644863320157
Position 30006: 0.3437246121817938
Position 88158: 0.26885373581448657
Position 14644: 0.25570603251306495
Position 67591: 0.20214207238887077
Position 20131: 0.186339924978848
Position 23437: 0.18590811807735227
Position 45224: 0.14643992656532828
Position 90840: 0.14604883878275657
Position 33865: 0.14369867284492882
Position 23464: 0.1414739917214367
Position 25596: 0.13821975970648265
Position 81734: 0.1353320239056481
Position 85216: 0.1172939564764547
Position 91263: 0.11130593720496589
Position 28182: 0.10988349111936058
Position 23362: 0.105878416415705
Position 75852: 0.10433313944340808
Position 7307: 0.10290753567226027
Position 23434: 0.09667072518463402
Position 453: 0.07939278562002822
Position 73480: 0.07072205362248556
Position 34319: 0.06935580446551146
Position 92416: 0.06897637925913297
Position 86699: 0.06087537408529027
Position 24089: 0.059995287123533414
Position 27504: 0.059858217639329026
Position 83163: 0.05310717555046909
Position 67458: 0.048592460429666764
Position 29006: 0.04819848623856388
Position 2582: 0.047435866433225976
Position 45093: 0.04582166850136611
Position 28997: 0.039089398799530564
Position 25695: 0.03674950233124277
Position 78407: 0.03674473743181348
Position 37402: 0.030128499653635423
Position 2618: 0.029858514307861826
Position 76314: 0.028940317600929848
Position 19210: 0.027058889256905437
Position 17772: 0.02523214946163948
Position 81679: 0.02463025683526061
Position 2605: 0.02158444125878998
Position 15386: 0.021231365937008063
Position 25512: 0.02099559589249383
Position 19187: 0.020842075384070943
Position 33265: 0.018569215083978016
Position 80493: 0.018317143456359045
Position 67688: 0.01665793382264107
Position 61725: 0.01609288343130935
Position 27860: 0.015418797043209016
Position 75819: 0.01537291274241907
Position 33128: 0.014424468858330295
Position 67346: 0.01436009182629958
Position 15977: 0.013818114211097472
Position 25547: 0.013359342030332295
Position 81737: 0.012651531695371025
Position 81184: 0.012191335092641396
Position 61779: 0.01151808046996236
Position 31248: 0.008947208720866497
Position 67366: 0.008513187210135834
Position 85592: 0.008239712078755129
Position 37406: 0.008009580791722608
Position 61700: 0.008002994514740193
Position 2658: 0.007998022823811412
Position 14722: 0.007703327203556824
Position 80394: 0.007654561910682846
Position 19905: 0.007246709004086959
Position 87803: 0.006916077982631731
Position 2366: 0.006609000394789516
Position 2530: 0.00638278431012848
Position 83117: 0.0060863598681733695
Position 33293: 0.005493505417306895
Position 31156: 0.0049829646543346
Position 82899: 0.004910314330088969
Position 15986: 0.0045211466483336335
Position 15852: 0.004390549699916587
Position 28285: 0.004048434293989249
Position 81159: 0.003951821481219452
Position 61663: 0.0039449982308437746
Position 87621: 0.003630202605960677
Position 18950: 0.0034944600592005143
Position 33083: 0.003474376219232821
Position 490: 0.0033187321762064587
Position 23820: 0.003237177897576654
Position 794: 0.003191182561785332
Position 29653: 0.0031694095410562755
Position 521: 0.003018025514271476
Position 83381: 0.0030092228132574082
Position 80198: 0.0028612018999370718
Position 80650: 0.0028276529082083713
Position 30024: 0.0027947081633587847
Position 15302: 0.00278949410574331
Position 837: 0.002704568687423679
Position 3317: 0.0025521833784433695
Position 3157: 0.002488556769249731
Position 31074: 0.002486904817195524
Position 3231: 0.0022972846659818345
Position 34398: 0.0022831752398882435
Position 88474: 0.0022805985051383417
Position 61791: 0.002108366221586297
Position 85750: 0.0020175307530821782
Position 30257: 0.0020164061262576867
Position 85212: 0.001976295206389811
Position 30210: 0.0018086076826484016
Position 86884: 0.0017420584118176753
Position 3090: 0.0016915521606494996
Position 37302: 0.0016485912837885873
Position 29810: 0.0015769247537384074
Position 28856: 0.0015457641069923735
Position 86321: 0.0015312357039552662
Position 61616: 0.0014294766788022532
Position 81054: 0.0014133251729481163
Position 82589: 0.0010721241739864705
Position 80353: 0.0010618127579347441
Position 867: 0.000856583645189347
Position 31077: 0.0008445104692520959
Position 352: 0.0008211591421709469
Position 81922: 0.0008166663582759085
Position 37587: 0.0006471405483540647
Position 5123: 0.0005886939929486826
Position 3320: 0.0005802398941764696
Position 3022: 0.0005609928634649277
Position 3181: 0.0005150018609052139
Position 80580: 0.0005079264179770781
Position 4147: 0.00046380212332030804
Position 79727: 0.0004619554298993104
Position 37235: 0.0004550635125225172
Position 28042: 0.0004421438786389275
Position 83768: 0.0004189822443771244
Position 29754: 0.0003964066010918019
Position 953: 0.0003830744799278407
Position 82825: 0.00036770132468365405
Position 1600: 0.00036326420164257197
Position 80035: 0.00035343769472953883
Position 79745: 0.0003510875542067278
Position 4613: 0.0003476687467658643
Position 81502: 0.0003438405026483351
Position 1445: 0.0003187375356796868
Position 848: 0.0002982918329588629
Position 79817: 0.00029148145867927605
Position 84419: 0.00026704413851516936
Position 80405: 0.00026602944212474836
Position 14780: 0.0002505103026998597
Position 80530: 0.00023574066552614712
Position 83685: 0.00021846389989816853
Position 80047: 0.00020242981958985232
Position 79748: 0.00019833828038261673
Position 80350: 0.00018986982884152597
Position 4563: 0.00017415509906405015
Position 24399: 0.00016124585123899823
Position 806: 0.00016096428216574242
Position 4473: 0.00012834213042376867
Position 5097: 0.00012480935374543968
Position 79964: 0.00012182245721008972
Position 82413: 0.00011716623835239092
Position 809: 0.00011470596772671615
Position 29605: 0.00011321698081112186
Position 80521: 0.00011202676689743044
Position 80381: 9.940267958921931e-05
Position 988: 8.675441813273375e-05
Position 1469: 8.54746940917847e-05
Position 83078: 7.789923354333365e-05
Position 5072: 7.662005736531425e-05
Position 819: 7.633386592478968e-05
Position 543: 7.60147885834086e-05
Position 4251: 6.39624188280863e-05
Position 1274: 4.79103774239323e-05
Position 29347: 4.6532606968139304e-05
Position 1605: 4.6177484864682945e-05
Position 25916: 4.3645854135309416e-05
Position 1345: 4.132540654081502e-05
Position 29297: 3.8292782677958535e-05
Position 346: 2.186463824916094e-05
Position 1015: 2.0692670744601274e-05
Position 1505: 1.0842041543875421e-05
Position 1535: 1.0310206191880986e-05
Position 25869: 8.914162119358079e-06
Position 538: 4.376132630142267e-06
Position 30034: 2.162881664428965e-06
Position 82052: 3.066695005304096e-07
Position 65616: 2.439374117833238e-07
Position 62789: 2.120847062394262e-07
Position 63451: 2.1148483874373512e-07
Position 62453: 1.244615711060608e-07
Position 687: 8.058318520474904e-08
Position 430: 6.69445456336658e-08
Position 65342: 6.547953810939196e-08
Position 64296: 6.185783422068861e-08
Position 62675: 2.7894041747523386e-08
Position 62963: 2.386055134981834e-08
Position 64337: 2.2732498979980434e-08
Position 63023: 2.1804006718482188e-08
Position 63585: 1.3871744489566076e-08
Position 62421: 1.1870636293848596e-08
Position 62026: 2.85961576184505e-09
Position 62526: 9.510854511779648e-10
Position 62481: 8.222859080112356e-10
Position 62487: 3.6630642291363155e-10
Position 62076: 3.786507672199395e-11
Position 39756: 5.166211167613398e-13
Position 38973: 6.380496353068026e-16
Position 38777: 3.931057203882798e-16
Position 31361: 3.048039600615975e-17
