Gene = IQCC
index = 713
Annotated 5SS: [  63  637 1101 1460]
Annotated 3SS: [ 492  847 1340 1578]
SMsplice 5SS: [  63  637 1101 1460]
SMsplice 3SS: [ 492  847 1340 1578]
top_k =  500
Partition function (log Z): -1.723501253208832

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.9293894831242967
Position 1101: 0.927360523711214
Position 1460: 0.8203787323105879
Position 637: 0.7264076188211303
Position 1452: 0.15467973504208432
Position 48: 0.0207060154880424
Position 559: 0.019694703273860057
Position 568: 0.01457860560643509
Position 546: 0.0088512451245603
Position 389: 0.006730325742594873
Position 39: 0.00290981919451454
Position 927: 0.00157809526216626
Position 1670: 0.0012445940759596358
Position 965: 0.0009381627999983169
Position 887: 0.0008888128912656163
Position 514: 0.0007102700428346561
Position 82: 0.0002330896702087129
Position 1503: 0.0002249482928196249
Position 976: 0.00014355347954177013
Position 1509: 0.00013559598522046813
Position 152: 0.00011499020920032145
Position 455: 9.936058935336954e-05
Position 1558: 7.92607444030304e-05
Position 2174: 7.921022664126508e-05
Position 1238: 7.251565437329919e-05
Position 1496: 6.521900820688396e-05
Position 594: 5.508167619802028e-05
Position 50: 5.464293974533913e-05
Position 789: 4.808618751306833e-05
Position 384: 4.7020597593093554e-05
Position 499: 4.604164610279217e-05
Position 681: 2.5325618695938535e-05
Position 1771: 1.6969821138100518e-05
Position 1551: 1.4323902568534054e-05
Position 116: 1.1550975496863386e-05
Position 1143: 7.3616752528305215e-06
Position 700: 5.461027839889607e-06
Position 729: 4.72287640474536e-06
Position 428: 2.533908572957381e-06
Position 320: 1.434649330241265e-06
Position 774: 1.3469435974924487e-06
Position 157: 9.980637090600834e-07
Position 121: 8.868547786901976e-07
Position 11: 6.464063735027216e-07
Position 247: 5.92654938536173e-07
Position 195: 5.190099382886752e-07
Position 1167: 1.3042356603331316e-07
Position 330: 7.59621772926732e-08
Position 1426: 3.975583537438579e-09
Position 1393: 2.247576353662533e-09
Position 809: 2.58595122219745e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1340: 0.976976760349342
Position 1578: 0.8192394305025477
Position 847: 0.5828568552259694
Position 492: 0.5565326033035503
