Gene = UTS2
index = 1543
Annotated 5SS: [ 125  531 2620 3792]
Annotated 3SS: [ 507 2508 3747 5548]
SMsplice 5SS: [ 125 2620]
SMsplice 3SS: [2508 3852]
top_k =  500
Partition function (log Z): -8.617288421787254

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.8734084088504709
Position 2620: 0.6094799964389183
Position 531: 0.3881887147532667
Position 3792: 0.26873346552940064
Position 2897: 0.22908712780334908
Position 2696: 0.06012747883893665
Position 1865: 0.03116961347403676
Position 3009: 0.02582831441825909
Position 4518: 0.02078883168152789
Position 796: 0.01940942892100983
Position 1893: 0.009964677462352921
Position 2878: 0.0070768126160106
Position 1787: 0.002448595473388214
Position 1432: 0.002297446492626372
Position 2339: 0.002206605415908768
Position 2062: 0.0017139747530927956
Position 1550: 0.0016397021943197478
Position 2429: 0.001013042270476589
Position 2587: 0.0004077769900331551
Position 1045: 0.0003160579172550868
Position 255: 0.00016263176662011068
Position 324: 0.0001516928783584168
Position 204: 0.00011179858754201748
Position 348: 9.884406544020326e-05
Position 430: 5.945928130024221e-05
Position 62: 3.2620842949310996e-05
Position 739: 1.6246465340018116e-05
Position 1002: 1.4111321716212672e-05
Position 12: 1.1029329717514085e-05
Position 2819: 1.0355276687795429e-05
Position 2865: 9.845509592714826e-06
Position 319: 9.525246637149515e-06
Position 555: 6.405174899029439e-06
Position 702: 5.7366512332154065e-06
Position 372: 2.115381940253052e-06
Position 705: 1.7340133053807554e-06
Position 1123: 1.5754570439119336e-06
Position 379: 1.428063864572456e-06
Position 184: 9.170375249417392e-07
Position 129: 7.085430615900282e-07
Position 161: 6.457681917468824e-07
Position 594: 6.026066509853246e-07
Position 450: 3.117000849578819e-07
Position 419: 2.8028224368927497e-07
Position 1774: 2.6913929594050713e-07
Position 33: 1.384486270912625e-07
Position 215: 2.073949276541336e-08
Position 226: 2.0709113185914424e-08
Position 410: 2.817924673980062e-10
Position 781: 9.18725432879998e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2508: 0.6204046884354212
Position 3747: 0.25628784566794843
Position 464: 0.22534528887029848
Position 5482: 0.14921218473755152
Position 2793: 0.14619309949705253
Position 3852: 0.13425727146015878
Position 2790: 0.13021796854559994
Position 4999: 0.1118215266405019
Position 5548: 0.11008487104466283
Position 1773: 0.06763080382250344
Position 2690: 0.05316125620511215
Position 2982: 0.04937997524024319
Position 3695: 0.043043602822634815
Position 4367: 0.0393357214129791
Position 2643: 0.033743727848802106
Position 2360: 0.032500046705993595
Position 4420: 0.031291841952234396
Position 5554: 0.028372477268183833
