Gene = PTGES2
index = 1097
Annotated 5SS: [1024 3219 3971 4761 5529 6101]
Annotated 3SS: [3020 3911 4610 5327 5982 7188]
SMsplice 5SS: [1024 3219 3971 4761 5529 6101]
SMsplice 3SS: [3020 3911 4610 5327 5982 7188]
top_k =  500
Partition function (log Z): 4.597104127274964

Sorted 5' Splice Sites (High to Low Probability):
Position 4761: 0.9095752351569716
Position 6101: 0.90375218434808
Position 3971: 0.8265004067326779
Position 3219: 0.6979500666268796
Position 1024: 0.6328380071412443
Position 785: 0.26268779714003027
Position 5642: 0.21100356986473717
Position 2233: 0.20187771858983905
Position 3994: 0.14233084308091792
Position 3183: 0.12774297571733695
Position 3087: 0.10685102537573385
Position 789: 0.10273483762110822
Position 3684: 0.09756775792792304
Position 408: 0.06404334496817664
Position 5533: 0.06283129799409601
Position 2567: 0.061501190466726516
Position 391: 0.06035481601494784
Position 3135: 0.04802879499721436
Position 5478: 0.04741058572616105
Position 215: 0.046677138403292684
Position 4742: 0.034478316609317446
Position 4737: 0.030326188218822058
Position 3126: 0.026023808381882972
Position 766: 0.025309600657462163
Position 2237: 0.0252517361867605
Position 450: 0.024935697373274942
Position 245: 0.021898764458081754
Position 899: 0.020121800044467987
Position 233: 0.017264487858000385
Position 529: 0.016894365913363133
Position 400: 0.015922380205120542
Position 2523: 0.01526620100735373
Position 301: 0.013707352139997075
Position 6120: 0.012238518132990178
Position 7269: 0.01077755170127072
Position 4678: 0.010602596487115647
Position 6034: 0.010462343541745953
Position 5448: 0.008296365126756213
Position 4304: 0.007944238570005289
Position 5535: 0.007214865068325618
Position 151: 0.006680647659445998
Position 5486: 0.006183328188694046
Position 3633: 0.006175334356519638
Position 7069: 0.00570833555418069
Position 5465: 0.00514507007944125
Position 173: 0.005025886956837529
Position 1864: 0.00473255324885779
Position 5589: 0.0045717307645940985
Position 4698: 0.004480929571861768
Position 1272: 0.0038752165524464574
Position 1095: 0.0038535409873673163
Position 3144: 0.003658118828667761
Position 2480: 0.0030105836435078822
Position 6318: 0.002730400078469177
Position 6435: 0.002488310748712502
Position 4148: 0.0021412686376546413
Position 6305: 0.0021228738996537377
Position 5574: 0.002104044871921552
Position 6812: 0.0018494468119450022
Position 6990: 0.001841391113092791
Position 294: 0.0017849940905893904
Position 5499: 0.0016833778235174962
Position 193: 0.0015056525667379327
Position 335: 0.0015027944050098106
Position 347: 0.0013408083754032005
Position 7642: 0.0011342138995841134
Position 306: 0.0010768108484924591
Position 763: 0.0009907095232321581
Position 3331: 0.0009613429440587827
Position 4790: 0.0009554556023087544
Position 2087: 0.0008894551335467037
Position 1546: 0.0008826316233141151
Position 6161: 0.0008649740178647658
Position 5434: 0.0008537021759930515
Position 2580: 0.0008530640803045453
Position 3362: 0.000690174618928285
Position 5253: 0.0006378850431973866
Position 5391: 0.0006170474267105525
Position 4986: 0.0005812058865366951
Position 1361: 0.0005466753768279144
Position 2343: 0.0005142230329664157
Position 2631: 0.0004707659911606658
Position 489: 0.0004213283682979103
Position 4010: 0.00038101307570648425
Position 5537: 0.0003613066517014407
Position 6440: 0.00034527499042744233
Position 54: 0.00032211149442445584
Position 6969: 0.0003098358639685053
Position 239: 0.0002547368743200388
Position 4548: 0.0002465838295101707
Position 7404: 0.00021841402122276237
Position 5876: 0.00021547614853947668
Position 4735: 0.00018382258668865972
Position 5368: 0.00016938999903410662
Position 2079: 0.00016016214083432761
Position 3965: 0.00015620047802449906
Position 2321: 0.00014730131079729197
Position 5140: 0.00012090225019108897
Position 3963: 8.961808510625021e-05
Position 3486: 8.757655831298153e-05
Position 3068: 8.401356381931605e-05
Position 5057: 7.015773901962912e-05
Position 3856: 6.162011380780505e-05
Position 4686: 5.462677597834467e-05
Position 196: 4.093030716370086e-05
Position 3195: 3.6943119379885075e-05
Position 4842: 3.601666520344295e-05
Position 1866: 3.229069149015047e-05
Position 4793: 2.7269568811581996e-05
Position 465: 2.5391638421016042e-05
Position 4817: 1.4927398675185654e-05
Position 4765: 1.3403368150205342e-05
Position 4901: 1.0577110170560314e-05
Position 309: 3.4650919566598265e-06
Position 371: 1.644769192773422e-06
Position 33: 1.4494097087745222e-06
Position 6123: 8.73561355845736e-07
Position 325: 7.236405060392842e-07
Position 4083: 2.8363385146803843e-07
Position 621: 1.5710118625561515e-07
Position 374: 2.147845300196354e-08
Position 412: 2.397523523302554e-10
Position 414: 4.978708786550693e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 4610: 0.9676283262620127
Position 5982: 0.9623529517029291
Position 3911: 0.9483598137375319
Position 3020: 0.9384373609102816
Position 7188: 0.4069566092112845
Position 5327: 0.3654269958637535
Position 895: 0.2778386901100876
Position 2201: 0.23280775303407866
Position 6915: 0.14780579267427113
Position 6201: 0.11173591049188668
Position 3590: 0.1007999801878146
Position 6233: 0.07039955905027992
Position 7469: 0.05367322116216024
Position 2435: 0.04479854687286857
Position 7331: 0.042288312236979486
Position 843: 0.027607383354942873
Position 7585: 0.021857271160516632
Position 7116: 0.020822125985955075
Position 3125: 0.020314124596808588
Position 2306: 0.01799963306226973
Position 3178: 0.01738794127313774
Position 4614: 0.015515582673636116
Position 440: 0.015478121003736748
Position 3034: 0.014853694581285038
Position 6552: 0.014161563294470809
Position 6767: 0.013298743326340418
Position 7248: 0.012059464578804286
Position 993: 0.011141585366278918
Position 3943: 0.009870522800652065
Position 3082: 0.009483070971004044
Position 7157: 0.008484323420303093
Position 3811: 0.007269086014736127
Position 3762: 0.006643276027400917
Position 5913: 0.005701196732204048
