Gene = URB2
index = 1535
Annotated 5SS: [  123  1526  6212 12014 17460 19736 21519 25089 28155]
Annotated 3SS: [ 1386  6034  8682 17298 19624 21275 25000 28014 32865]
SMsplice 5SS: [  171   433  1526  6212  9697 10183 10567 12014 21519 25089 28155]
SMsplice 3SS: [  256  1386  6034  9357 10076 10285 11947 21275 25000 28014 32865]
top_k =  500
Partition function (log Z): 7.147823676060833

Sorted 5' Splice Sites (High to Low Probability):
Position 21519: 0.9770695281159231
Position 1526: 0.9685227287990962
Position 12014: 0.9608883432487366
Position 10567: 0.9222582359916869
Position 9697: 0.907901768698847
Position 10183: 0.8388697380997627
Position 25089: 0.7952676622665017
Position 6212: 0.766201800637585
Position 433: 0.7087600258872286
Position 171: 0.6651788470638523
Position 28155: 0.5663838620329511
Position 29830: 0.5450719534895057
Position 30754: 0.4454465370764433
Position 123: 0.31815274740554605
Position 23006: 0.29815788154035094
Position 19736: 0.294208782727405
Position 22782: 0.25714104942626925
Position 8844: 0.24707163173162333
Position 16771: 0.24250991365359112
Position 28146: 0.2177218652687301
Position 28133: 0.21429976475511092
Position 10967: 0.19211181201190608
Position 30483: 0.16917054898415715
Position 8592: 0.16257664704222952
Position 27451: 0.1510112279359011
Position 17460: 0.13446081913053548
Position 18268: 0.1287758717427135
Position 25137: 0.11312840967581353
Position 27338: 0.0931321251617346
Position 11650: 0.09203097600350778
Position 3235: 0.0887123260350423
Position 27330: 0.08108524704654789
Position 2744: 0.07782901038493113
Position 32630: 0.06663714406332434
Position 1289: 0.06540399065355863
Position 12618: 0.05862255261378369
Position 29790: 0.056377420792414895
Position 12568: 0.049341186288246804
Position 23482: 0.0449791440824425
Position 8893: 0.042256242056109165
Position 6321: 0.04164302809513088
Position 24926: 0.03856656988332001
Position 13667: 0.03818306621949665
Position 24824: 0.037432961045297364
Position 10818: 0.030653905829131214
Position 29373: 0.027428955206830117
Position 8941: 0.024602409861021177
Position 31283: 0.024277149180370088
Position 28906: 0.02100708237277348
Position 31147: 0.01990119508389545
Position 8875: 0.019521823984641327
Position 5896: 0.017578774896677276
Position 774: 0.017484579184343246
Position 32003: 0.017151412537055908
Position 10482: 0.016623598850596732
Position 8551: 0.016261105581668978
Position 19990: 0.0157591504311326
Position 561: 0.014886688768678049
Position 25455: 0.014094927063379142
Position 24965: 0.013756169491296676
Position 32148: 0.012715529605556277
Position 21531: 0.012580294686280705
Position 763: 0.011349774394458681
Position 11765: 0.011209355493001269
Position 163: 0.010728659950463728
Position 30548: 0.008989254313839918
Position 8818: 0.007767666405268275
Position 9061: 0.007229571761713169
Position 10388: 0.007086035675289021
Position 27476: 0.0057164857457660785
Position 31820: 0.005573853804506609
Position 26663: 0.005384487547597095
Position 32570: 0.0052060146140933015
Position 1225: 0.0050957484172199485
Position 11279: 0.004687587190796543
Position 24707: 0.004428536446151862
Position 918: 0.004187602579617082
Position 4946: 0.0035570896004082806
Position 868: 0.003506640853788529
Position 1056: 0.0032063055986659367
Position 872: 0.003202135632105811
Position 141: 0.003062111396732664
Position 6232: 0.003053533155492328
Position 366: 0.0028656556790012306
Position 5877: 0.0021953434492075746
Position 29967: 0.001845599320315478
Position 352: 0.0013447648149947549
Position 907: 0.0012208155788147842
Position 1034: 0.000997753937089967
Position 1316: 0.0009024535505218778
Position 8134: 0.0008034954374037126
Position 3044: 0.000626698198825202
Position 12117: 0.0005036092090101995
Position 840: 0.0004820547022898518
Position 7347: 0.00045717379856717767
Position 577: 0.00043764404324619374
Position 11274: 0.0003835845567715652
Position 25001: 0.00032839766999737536
Position 492: 0.00032219970817083134
Position 2796: 0.00024730144282546007
Position 3199: 0.00017412652520968833
Position 1303: 0.00016386165876125134
Position 442: 0.00015885382090803296
Position 661: 0.00012582249562023636
Position 508: 0.00012162674682396449
Position 6676: 0.00010184317357077152
Position 3040: 0.00010180340460045289
Position 1690: 0.00010134028924719378
Position 757: 9.904193862768238e-05
Position 1004: 9.237350769024818e-05
Position 6471: 8.460217296335755e-05
Position 656: 8.10130996413999e-05
Position 1061: 7.943940091123778e-05
Position 2756: 7.389591132670935e-05
Position 767: 6.031710314518858e-05
Position 2919: 1.0129406615258981e-05
Position 553: 4.868851698781435e-06
Position 194: 2.6646965186294013e-06
Position 501: 2.6515409291201127e-06
Position 262: 1.6777669551953253e-06
Position 175: 1.4347066424468744e-06
Position 535: 1.2923836349956796e-06
Position 127: 8.746210760234398e-07
Position 86: 3.394495367130615e-07
Position 523: 2.727693570025474e-07
Position 358: 2.3397986952689699e-07
Position 388: 2.3268229881078032e-07
Position 407: 1.3486761690034234e-07
Position 402: 4.798297530472759e-08
Position 740: 2.816289112399908e-08
Position 13: 1.9974948895986216e-08
Position 256: 6.832810991773149e-09
Position 541: 5.261092345767415e-09
Position 72: 6.47240380070834e-11
Position 62: 3.7435569528720894e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 28014: 0.9925031134307053
Position 1386: 0.9275731289928468
Position 11947: 0.900969490290343
Position 21275: 0.868703696829796
Position 32865: 0.8505749507405488
Position 25000: 0.8186380330840054
