Gene = SAPCD2
index = 1224
Annotated 5SS: [ 699 4327 5067 5511 5726]
Annotated 3SS: [4213 4919 5402 5608 5800]
SMsplice 5SS: [ 699  885 4327 4847 5067 5511 5726]
SMsplice 3SS: [ 794 4213 4661 4919 5402 5608 5800]
top_k =  500
Partition function (log Z): 5.6043371220250435

Sorted 5' Splice Sites (High to Low Probability):
Position 5726: 0.9952414687996658
Position 5511: 0.9926065188217783
Position 4327: 0.9430915317226387
Position 5067: 0.9362848743547348
Position 699: 0.8769127900112255
Position 885: 0.5735131059566007
Position 4847: 0.5236817761270668
Position 2508: 0.12319792871179737
Position 4772: 0.08186449719789388
Position 3979: 0.06302310107957537
Position 1711: 0.05014649907184594
Position 4780: 0.018135269367267646
Position 7047: 0.017364344269167626
Position 2616: 0.01075359740223229
Position 2294: 0.008231711391076563
Position 6449: 0.007921911662924745
Position 4758: 0.00754722268680693
Position 7051: 0.007430379471749454
Position 2720: 0.007071766163608427
Position 2716: 0.007069642596475185
Position 3886: 0.006069622793668355
Position 5984: 0.005506239416884809
Position 350: 0.00547179155106257
Position 7089: 0.0049621033846411
Position 3913: 0.004859557611576422
Position 5454: 0.0034772102264946734
Position 853: 0.002980974164355394
Position 1662: 0.0027158548981637445
Position 4776: 0.002269063286015698
Position 527: 0.0018173651029820674
Position 5240: 0.0015062177051695486
Position 4184: 0.001346045386493343
Position 286: 0.0011664296636353605
Position 4125: 0.0009362555678962401
Position 4871: 0.0009142171198863565
Position 99: 0.0007097260359959541
Position 329: 0.0007027882943417402
Position 4833: 0.0006654345729547585
Position 5000: 0.0006018743574252759
Position 5944: 0.0004521713991177444
Position 5517: 0.0004052899127481768
Position 499: 0.0003472359130283075
Position 25: 0.0003340918438025471
Position 967: 0.00026829400519329515
Position 4956: 0.0002269824207865773
Position 266: 0.00022641823889881407
Position 2155: 0.00018449111948324077
Position 1730: 0.00012611319478338939
Position 497: 0.00011873308899102962
Position 1751: 0.00010795331100140772
Position 73: 0.00010684094512402551
Position 5463: 8.94360330960676e-05
Position 5471: 7.942206979579624e-05
Position 6555: 7.593980846457134e-05
Position 1248: 7.384773911454675e-05
Position 1821: 7.301604638062801e-05
Position 2277: 5.7137601438354644e-05
