Gene = CDA
index = 333
Annotated 5SS: [  336 16092 24952]
Annotated 3SS: [15979 24893 29503]
SMsplice 5SS: [  336 16092 29398]
SMsplice 3SS: [15979 29341 29503]
top_k =  500
Partition function (log Z): -14.876104385323437

Sorted 5' Splice Sites (High to Low Probability):
Position 16092: 0.9974426909627526
Position 336: 0.6227114269560282
Position 989: 0.5112595829157434
Position 4770: 0.2870591252116016
Position 6557: 0.24317029792982672
Position 2549: 0.18120384661834574
Position 19418: 0.12122503092958084
Position 342: 0.11624168345333333
Position 3317: 0.04052981255696648
Position 3334: 0.033413860240110206
Position 21021: 0.02723090216409116
Position 21012: 0.024983158383511197
Position 19368: 0.023082762558477445
Position 2026: 0.020727310554303824
Position 19089: 0.014578366174611848
Position 3539: 0.009886202720201088
Position 17713: 0.00942260184036767
Position 5463: 0.009019311365740038
Position 1862: 0.00572308879726984
Position 4567: 0.0056701996812117935
Position 2838: 0.005638801771414181
Position 239: 0.004646526592931238
Position 262: 0.004006375371593543
Position 5441: 0.0036692737054208986
Position 1152: 0.0033586540433798505
Position 2209: 0.002947540543447594
Position 220: 0.0028600922460496362
Position 771: 0.0026843582594507126
Position 381: 0.0017608186528990197
Position 960: 0.0016043355780662196
Position 174: 0.0010228676165440573
Position 4838: 0.0009082051048021123
Position 67: 0.0006527246592011164
Position 222: 0.0006060787723315129
Position 4470: 0.0005850136622547193
Position 1903: 0.000572085432267107
Position 790: 0.0004067586543957674
Position 2561: 0.0003820254095386681
Position 1894: 0.00037822259125541035
Position 2554: 0.00037712403950513663
Position 3270: 0.0003168155841018638
Position 761: 0.00023101902599090087
Position 640: 0.0001450557017571982
Position 385: 0.00013031719498621236
Position 4487: 0.00011780212648440418
Position 3733: 0.00011140304181248893
Position 293: 9.185039701117887e-05
Position 224: 9.175150252405761e-05
Position 3779: 8.896157745107387e-05
Position 1329: 5.39789732395035e-05
Position 530: 5.3240313458850055e-05
Position 1273: 4.826425671172931e-05
Position 828: 3.622524824740987e-05
Position 1469: 3.3152847909285255e-05
Position 1075: 3.1726440777800504e-05
Position 809: 3.0132788020772e-05
Position 623: 2.2421566692010013e-05
Position 1239: 2.123394760979725e-05
Position 514: 1.553149400774875e-05
Position 282: 1.538102044187515e-05
Position 398: 1.4181004123290968e-05
Position 1909: 1.110254612614948e-05
Position 110: 9.727037040330167e-06
Position 567: 9.670400732304418e-06
Position 1184: 4.086067520151583e-06
Position 1194: 3.992058065293307e-06
Position 108: 3.795755739027493e-06
Position 145: 3.5694412684852765e-06
Position 907: 3.3750239584070143e-06
Position 1162: 2.2140200643049444e-06
Position 1828: 2.1435115897191076e-06
Position 1144: 1.5178491238759192e-06
Position 806: 8.040182864304274e-07
Position 886: 3.3310075218650714e-07
Position 356: 1.1395777709970755e-07
Position 378: 6.750124432330114e-08
Position 50: 4.8148810612183165e-08
Position 462: 2.7279640988089143e-10
Position 666: 1.8911448898710077e-10
Position 195: 3.852583948755839e-14
Position 952: 7.126545592383004e-15
Position 911: 6.3947735503787295e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 15979: 0.9986905925619021
Position 22939: 0.3269226652145029
Position 19234: 0.19288668793225247
Position 4648: 0.17648287764036136
Position 21870: 0.14390649341354675
Position 6246: 0.13625087032137617
Position 871: 0.13179507847857322
Position 746: 0.11563026234756804
Position 2519: 0.103347568191005
Position 4566: 0.10312559226148424
Position 6505: 0.09001154115334103
Position 3231: 0.07700655840785454
Position 20704: 0.07164531046834267
Position 25001: 0.06904028023789004
Position 20079: 0.06130549902410536
Position 23668: 0.06103715067781396
Position 2476: 0.054818486467399175
Position 20934: 0.04304443804845915
Position 24893: 0.029912857211507833
Position 18773: 0.029881955954790092
Position 1990: 0.029475893016748838
Position 17458: 0.02932104469085872
Position 24300: 0.025703781446467365
Position 21374: 0.017289938531330117
Position 6502: 0.017120314616157654
Position 17873: 0.015568428673631052
Position 16350: 0.013389821100319851
Position 5335: 0.012758348594743335
Position 18896: 0.0107687884887703
Position 22328: 0.008633237851536328
Position 17985: 0.008081670329123412
Position 17613: 0.007777821910941493
Position 16981: 0.007738565483261676
Position 2143: 0.007647209387796497
Position 18752: 0.007572154010355563
Position 21911: 0.0071023736341572895
Position 462: 0.00703492724989445
Position 18988: 0.006949863269127758
Position 4652: 0.006860527934597868
Position 19506: 0.006712350111917475
Position 20769: 0.006394681777676425
Position 881: 0.005657107735335627
Position 2111: 0.005349808410392135
Position 1735: 0.0050537564669598176
Position 4373: 0.00442276157840745
Position 789: 0.00416340051649824
Position 3419: 0.004044811632538053
Position 4544: 0.003919503940909899
Position 18128: 0.003652435312412407
Position 1064: 0.0033559725528174897
Position 16214: 0.0033212187913066156
Position 2632: 0.0028424359210981543
Position 1938: 0.002493859420589616
Position 2715: 0.0022588600168911145
Position 655: 0.0022351564073449645
Position 1793: 0.0020186155923114946
Position 615: 0.001629974854465481
Position 18434: 0.0013718602868283158
Position 3422: 0.0013508478160807551
Position 628: 0.0013268891449627598
Position 3489: 0.0011950371383469753
Position 838: 0.0011381126042971838
Position 18073: 0.0010321391301613837
Position 1961: 0.0009589584947926784
Position 727: 0.0008007454810363601
Position 2916: 0.000648983499785586
Position 1609: 0.0005282844235268316
Position 2614: 0.0004082099510055135
