Gene = KMO
index = 750
Annotated 5SS: [  365 16765 17641 18911 23527 28619 30199 32925 34479 36514 54605 56699
 57982 58132]
Annotated 3SS: [16694 17542 18820 23477 28530 30032 32852 34356 36365 54546 56615 57879
 58071 59820]
SMsplice 5SS: [  365  3504 16765 17641 17882 18911 23527 30199 34479 54605 56699 57982]
SMsplice 3SS: [ 3412 16694 17542 17772 18820 23477 30032 34356 54546 56615 57879 58071]
top_k =  500
Partition function (log Z): -12.910322085234254

Sorted 5' Splice Sites (High to Low Probability):
Position 16765: 0.9983433227802204
Position 18911: 0.99725945806262
Position 30199: 0.978829415439516
Position 365: 0.9753783892611134
Position 34479: 0.9718438144112607
Position 23527: 0.9540001703006289
Position 17641: 0.9400528855340206
Position 3504: 0.710070583577165
Position 17882: 0.6944145416924714
Position 36514: 0.6152975120523527
Position 3680: 0.3489575471482748
Position 4431: 0.3327885536124404
Position 8333: 0.3150254959953549
Position 3472: 0.26250166201247394
Position 21322: 0.17876971475025155
Position 42299: 0.1502875041609336
Position 40173: 0.11807903399575678
Position 32925: 0.1097113931016842
Position 36533: 0.09362796581828936
Position 10188: 0.09189124278713294
Position 20787: 0.09005374682929113
Position 28650: 0.08066029622064502
Position 10281: 0.07188904970394416
Position 7655: 0.0713709554469064
Position 31558: 0.07051180931585674
Position 32369: 0.06582424029692675
Position 28619: 0.06409575268803462
Position 34867: 0.06223466241898338
Position 1647: 0.047945705083194845
Position 1035: 0.04298710441248373
Position 19634: 0.04266040606648079
Position 21093: 0.04100379080920579
Position 21811: 0.04047072805334802
Position 37874: 0.038871264824206865
Position 18271: 0.03268976939641381
Position 25954: 0.02991697943915359
Position 18245: 0.026611538233394894
Position 17903: 0.02444910342301815
Position 28629: 0.021511743569764468
Position 30162: 0.018117092294698108
Position 960: 0.01737859782896364
Position 28634: 0.016631307091907015
Position 26087: 0.014764372346862453
Position 3886: 0.00757378245346792
Position 574: 0.00702659679012331
Position 2984: 0.0059825680721332175
Position 1554: 0.005419829964152982
Position 2463: 0.0046960670212221394
Position 399: 0.004287189714443329
Position 20024: 0.00422100144655822
Position 423: 0.004058693861942997
Position 36184: 0.003849793872425683
Position 20030: 0.0034454534227422806
Position 1662: 0.0026285449570988286
Position 37721: 0.0023017770344700783
Position 392: 0.0022265108750126584
Position 37807: 0.0020869306077235636
Position 1133: 0.002058448029754734
Position 1001: 0.002042208738961142
Position 1537: 0.0020410944001908087
Position 5423: 0.0016540240482581577
Position 1255: 0.0014041770502536324
Position 20880: 0.0013673845229381061
Position 341: 0.0013402906926639816
Position 85: 0.0012982477147073883
Position 19272: 0.0012937417000400727
Position 1123: 0.0011937275878166423
Position 19337: 0.0008438240434175319
Position 2734: 0.0007521684719644203
Position 819: 0.0007357769983819498
Position 4482: 0.0006560595163137905
Position 4338: 0.0006027230408673324
Position 850: 0.0004981612131690738
Position 31796: 0.00036109422456479824
Position 31528: 0.0003510672840075747
Position 6888: 0.00032816903756013546
Position 20421: 0.00027794630845016753
Position 4648: 0.00024347737903183053
Position 6901: 0.00021599086298729905
Position 3529: 0.0001707681343433006
Position 19464: 0.00015038712404954444
Position 18834: 0.00015011107659734557
Position 3866: 0.00011993352846773162
Position 20320: 0.00011962995592524581
Position 240: 7.113879070780843e-05
Position 455: 7.05023468079313e-05
Position 354: 4.9026689845626994e-05
Position 141: 4.350511596622115e-05
Position 600: 3.7912894468135036e-05
Position 236: 3.344391510487939e-05
Position 19926: 3.12599699129708e-05
Position 79: 2.3819566307434808e-05
Position 396: 2.3350979117736184e-05
Position 20107: 2.1430743686033748e-05
Position 19213: 2.1072231474665787e-05
Position 357: 1.6805289860447398e-05
Position 541: 1.6737460769390157e-05
Position 927: 1.2746161494751075e-05
Position 308: 1.2302452811182264e-05
Position 922: 1.0035493514796669e-05
Position 46: 8.373407220868253e-06
Position 764: 7.231628691164959e-06
Position 121: 4.324491564218775e-06
Position 813: 1.8740392512844387e-06
Position 792: 1.2971667936351311e-06
Position 290: 1.122941060814345e-06
Position 467: 1.1140600466204211e-06
Position 1026: 7.13170644052667e-07
Position 44: 7.099874419134241e-07
Position 214: 6.204312586477118e-07
Position 1226: 2.565081827933392e-07
Position 4660: 2.1743608458813307e-07
Position 1054: 1.4855246117473596e-07
