Gene = RPP14
index = 1207
Annotated 5SS: [  390  4145  4330 10330 10732]
Annotated 3SS: [ 4046  4244 10252 10652 11177]
SMsplice 5SS: [  390  4145  4330 10330 10732]
SMsplice 3SS: [ 4046  4244 10252 10652 11177]
top_k =  500
Partition function (log Z): -2.957753035020641

Sorted 5' Splice Sites (High to Low Probability):
Position 4145: 0.9864910719588883
Position 4330: 0.9860248809859735
Position 390: 0.9802600640366049
Position 10330: 0.8091218696574735
Position 10732: 0.5737420561580274
Position 6141: 0.4708552584456139
Position 10104: 0.46094105003890123
Position 1910: 0.24736760957525197
Position 156: 0.14978659359801466
Position 9743: 0.06075580846898666
Position 240: 0.052203576893833994
Position 9093: 0.03161733391564377
Position 1718: 0.02351889559999813
Position 3930: 0.015890892951071472
Position 3481: 0.012039851142270928
Position 1651: 0.009518043580868522
Position 16568: 0.007579160339163365
Position 1545: 0.006595737964969893
Position 2657: 0.0060066235841485125
Position 5795: 0.005072366096751898
Position 953: 0.003922017334000233
Position 4439: 0.0038093097163101695
Position 124: 0.0032796507568896315
Position 152: 0.00275742052720397
Position 3224: 0.0026153635340839454
Position 10215: 0.0022621551539507845
Position 4371: 0.0022455398611059517
Position 5729: 0.002129532861303183
Position 4487: 0.0019387677817030544
Position 4345: 0.0015997698104428023
Position 1503: 0.0015912976805526496
Position 11206: 0.0013646777420286004
Position 34: 0.0012251287928522743
Position 1847: 0.00106344340953558
Position 4527: 0.0008786546668803074
Position 10723: 0.0007720215826841427
Position 5712: 0.0007461079189149001
Position 11389: 0.0006860370980403163
Position 100: 0.0006034285124634206
Position 1597: 0.0005375315143648697
Position 854: 0.0004626026204662709
Position 1477: 0.00038674148350316265
Position 251: 0.0003704884923270603
Position 160: 0.0003684415612802127
Position 446: 0.00035089303148019157
Position 5020: 0.0003143603451287634
Position 1414: 0.0002515205332755203
Position 5221: 0.00024844638753164874
Position 5588: 0.0001722783444543724
Position 4137: 0.00014402696749486518
Position 4149: 0.00011289451624875194
Position 5738: 0.00010469557010870115
Position 492: 9.626477621283987e-05
Position 1333: 9.45072332430728e-05
Position 5129: 9.356458196711045e-05
Position 1469: 9.003297765392726e-05
Position 766: 8.911442005088851e-05
Position 692: 8.583154159701035e-05
Position 4501: 7.510373835253835e-05
Position 4400: 6.604747647598905e-05
Position 184: 5.938089771784058e-05
Position 2099: 3.243475602750183e-05
Position 590: 3.019975115485865e-05
Position 2184: 2.956047183946025e-05
