Gene = DNLZ
index = 459
Annotated 5SS: [303 801]
Annotated 3SS: [ 660 1608]
SMsplice 5SS: [303]
SMsplice 3SS: [1608]
top_k =  500
Partition function (log Z): -7.015802152371373

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.8657455021022347
Position 801: 0.7234822730060902
Position 1443: 0.06447585744957106
Position 1280: 0.05838528950551692
Position 1300: 0.05117328516202165
Position 524: 0.018709717851151154
Position 1646: 0.011300046230399121
Position 568: 0.008558647005427088
Position 517: 0.008414323525636213
Position 1731: 0.0079368731405032
Position 1249: 0.0056382094804675355
Position 1509: 0.005616999980880756
Position 1170: 0.0046480677711472525
Position 107: 0.004548862932957114
Position 1310: 0.004428829504718883
Position 177: 0.003923677753046992
Position 1002: 0.0029142542159156185
Position 810: 0.00130333712820642
Position 984: 0.0012991690778620406
Position 1208: 0.0012505611690629894
Position 1225: 0.0012401780241776462
Position 339: 0.0012203429873706253
Position 995: 0.0010084396606553877
Position 844: 0.0005968817642433756
Position 1264: 0.0004919686887710598
Position 573: 0.0003422241457633549
Position 661: 0.0002470013346611216
Position 1156: 0.00016496243190458067
Position 474: 0.00013236939304323733
Position 401: 0.00011489965943318853
Position 152: 0.00010907520447175861
Position 115: 0.00010880274016366916
Position 1470: 9.752976168963482e-05
Position 885: 8.779390542477524e-05
Position 120: 5.2877949358354125e-05
Position 1211: 4.668071163554742e-05
Position 1307: 3.6388634445836875e-05
Position 528: 2.5117468428019854e-05
Position 398: 2.1664045434459273e-05
Position 406: 1.1172800671062275e-05
Position 419: 3.1590580612034613e-06
Position 777: 2.5527512410488145e-06
Position 938: 1.2202617084047697e-06
Position 675: 1.121038495888426e-06
Position 879: 1.028361685773877e-06
Position 264: 5.452055317250863e-07
Position 718: 1.7696952545696144e-07
Position 724: 5.770768128104985e-08
Position 169: 1.1027524318769103e-09
Position 288: 6.309329169084315e-11
Position 482: 5.107808152725729e-12
Position 601: 1.9865691487100576e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1608: 0.893253357923679
Position 656: 0.2595064936769386
Position 660: 0.20447505426552073
Position 1097: 0.10663312671413543
Position 633: 0.09203702067994919
Position 1382: 0.07250605203162361
Position 674: 0.051507479558665324
Position 1144: 0.032612425552582903
Position 1718: 0.02470930523868111
Position 744: 0.022555650079532853
Position 1347: 0.015397533146086781
Position 1081: 0.014213117957313733
Position 1030: 0.011664325325910677
Position 1202: 0.00997225429624631
Position 696: 0.006011773167524286
Position 642: 0.005806087614960934
Position 1166: 0.005383255447592121
Position 1874: 0.004199203969310498
Position 1518: 0.0036294782624562995
Position 1817: 0.003053059145983395
Position 712: 0.002363629850236024
Position 1361: 0.00222627268323682
Position 592: 0.0021608231817969443
Position 877: 0.001793526397959539
Position 1248: 0.001663526266109716
Position 566: 0.0014016130497097267
Position 892: 0.0012554561469055555
Position 1820: 0.001054096595575219
Position 684: 0.0008872273303662159
Position 1494: 0.0008169401029621423
Position 1169: 0.0007162064813418606
Position 1148: 0.0005524608722671307
Position 1259: 0.0005148931050683564
Position 1697: 0.00040408303969919176
Position 1752: 0.0003790286796955699
Position 370: 0.000298350654351695
Position 1582: 0.00027758455240509166
Position 613: 0.0002654299688287932
Position 564: 0.00019427551631523367
Position 1429: 0.00017114257198063985
Position 1823: 0.00015477475872041147
Position 884: 0.00015367021614643485
Position 912: 0.00013042643954069117
Position 1762: 0.0001260399847757797
Position 1197: 0.00011770761735817358
Position 1690: 0.00010427682409861264
Position 1456: 9.736701658203395e-05
Position 961: 8.998233915243855e-05
Position 510: 7.863568677192078e-05
Position 572: 5.5036896341245645e-05
Position 818: 5.2510793201824885e-05
Position 1561: 4.729114240849795e-05
Position 223: 4.166136074947086e-05
Position 1431: 2.5300077517787967e-05
Position 412: 1.74412059366019e-05
Position 1727: 1.7332040221360282e-05
Position 392: 1.2749051956553932e-05
Position 174: 8.930857083614317e-06
Position 233: 8.801533119092538e-06
Position 302: 7.46420286247244e-06
Position 406: 6.150997272250657e-06
Position 447: 5.727839489604965e-06
Position 269: 5.595504204850653e-06
Position 930: 5.577660182598742e-06
Position 284: 5.29935039889606e-06
Position 451: 4.891531996346104e-06
Position 516: 3.853669416547614e-06
Position 798: 3.2286352085606068e-06
Position 1199: 2.8974390165139797e-06
Position 334: 1.3566220449502348e-06
Position 230: 8.944699966828261e-07
Position 176: 7.750723551160507e-07
Position 594: 6.561262226537755e-07
Position 966: 5.984656145620413e-07
Position 508: 5.540344586012536e-07
Position 416: 4.4472379246130396e-07
Position 306: 2.8914760144630356e-07
Position 367: 2.796833233180646e-07
Position 456: 2.1694410813300848e-07
Position 832: 2.1398652926063866e-07
Position 582: 1.579599219587278e-07
Position 468: 1.3034623891752516e-07
Position 479: 1.2571349969751071e-07
Position 187: 2.6777481168896474e-08
Position 533: 1.7530120071638573e-08
Position 471: 1.4291300206304403e-08
Position 419: 8.484687019228638e-09
Position 424: 6.8529521813029734e-09
Position 938: 3.5838164507812583e-09
Position 998: 3.240160259871381e-09
