Gene = ABTB1
index = 6
Annotated 5SS: [ 142 1514 1661 3175 3492 3642 4144 4347 4624 4904 7246]
Annotated 3SS: [1450 1604 3029 3331 3595 4026 4227 4524 4735 7044 7328]
SMsplice 5SS: [ 142 1514 1661 3175 3492 3661 4144 4347 4624 4904 7246]
SMsplice 3SS: [1404 1604 3029 3331 3595 4026 4227 4524 4755 7044 7328]
top_k =  500
Partition function (log Z): 23.60158320953878

Sorted 5' Splice Sites (High to Low Probability):
Position 4347: 0.9907354309717258
Position 3492: 0.9647117466552529
Position 3175: 0.9632493641686765
Position 4624: 0.9583689138645072
Position 142: 0.9221867699784508
Position 1514: 0.9165602972142343
Position 4904: 0.9020283435034608
Position 7246: 0.8232436240717949
Position 1661: 0.5965349478265255
Position 4144: 0.5466704836345756
Position 6365: 0.47536639659046953
Position 3661: 0.4411620390016266
Position 3642: 0.3401151336272578
Position 5184: 0.24285506449279162
Position 4131: 0.23653091308577648
Position 2812: 0.2071447809287987
Position 444: 0.18564258759562527
Position 2816: 0.14712550330577318
Position 5295: 0.13258092141693528
Position 1709: 0.12802797654576897
Position 5567: 0.12224336746592035
Position 6642: 0.11308765885928201
Position 5333: 0.10270659991736678
Position 3709: 0.10084379211790899
Position 1687: 0.09903266549472291
Position 2239: 0.09830926318725366
Position 6515: 0.09138257798197981
Position 3947: 0.0910588548972417
Position 2832: 0.08740473430883562
Position 1689: 0.07878825449192603
Position 4121: 0.06944097740510416
Position 369: 0.062301231421064376
Position 1479: 0.05588963685831366
Position 7522: 0.0546784602404443
Position 5468: 0.04830217246443293
Position 7159: 0.04731032353156983
Position 7234: 0.04718205027684009
Position 6511: 0.043844816514561895
Position 4176: 0.03390135255251062
Position 2820: 0.03263288172608205
Position 1693: 0.028828926228412568
Position 4155: 0.028702424505213008
Position 5348: 0.027229047929529036
Position 7449: 0.027045427561448752
Position 3939: 0.025380514398887884
Position 4885: 0.024657805095732673
Position 168: 0.024136763811145514
Position 2007: 0.02190724861401913
Position 7163: 0.021830441031422593
Position 1731: 0.018859311049341736
Position 3222: 0.018378769651519376
Position 484: 0.017699454825850544
Position 4053: 0.017249400896847275
Position 5661: 0.014153006684280144
Position 7531: 0.013992747054975765
Position 2550: 0.013871186522030001
Position 5188: 0.012461515612423821
Position 6254: 0.012229308632811244
Position 1715: 0.011195201822912936
Position 2953: 0.010340650261697051
Position 5069: 0.009927383694777397
Position 5289: 0.007064005474054751
Position 1485: 0.006786555085720767
Position 1451: 0.00662737182397183
Position 2904: 0.006191623425891677
Position 3208: 0.006115304202312145
Position 6740: 0.005810738445251875
Position 3780: 0.00517035403114907
Position 4982: 0.004833667237712208
Position 1639: 0.004810071035071939
Position 137: 0.004576040400557308
Position 3908: 0.004421185606214619
Position 900: 0.004061910339473265
Position 1174: 0.003936063145943189
Position 4362: 0.0039010242770926742
Position 1707: 0.0037200204592794735
Position 3125: 0.0035614970846176257
Position 6505: 0.003301211301935392
Position 5376: 0.0032462736609216343
Position 2042: 0.0032329561118314407
Position 1496: 0.003138915206434277
Position 610: 0.0030356081400349116
Position 1533: 0.0029274607314354875
Position 1312: 0.0027510114694200005
Position 7589: 0.0023855849316769817
Position 3418: 0.0021406360467836425
Position 1808: 0.002079693796924239
Position 3654: 0.0019934305517441057
Position 1123: 0.001975762306740065
Position 1697: 0.001963817757575268
Position 409: 0.001768050854748227
Position 177: 0.0016656450537288908
Position 7264: 0.0015436105409000532
Position 4063: 0.0014306546742137915
Position 4139: 0.0013858828302805572
Position 999: 0.0013746586380735024
Position 69: 0.0012928558779152141
Position 128: 0.0012781862441529296
Position 5139: 0.0012477113617417426
Position 3060: 0.0012347009032891679
