Gene = HSPB11
index = 667
Annotated 5SS: [  375  5945 15891 17558 22026]
Annotated 3SS: [ 5831 15783 17488 21981 24161]
SMsplice 5SS: [  375  5945 22026]
SMsplice 3SS: [ 5831 21981 22940]
top_k =  500
Partition function (log Z): -13.675336083013239

Sorted 5' Splice Sites (High to Low Probability):
Position 5945: 0.9850662415773498
Position 375: 0.8144554686306381
Position 4365: 0.5837129616711533
Position 16084: 0.13848364461396545
Position 344: 0.11918356093607653
Position 15891: 0.10896824900403798
Position 1910: 0.09289302604622993
Position 675: 0.0655941474657138
Position 15712: 0.04435950801755095
Position 3047: 0.03337030341878338
Position 4125: 0.024298048256089087
Position 15854: 0.020857486229187552
Position 4120: 0.019429667859760552
Position 13797: 0.017528736652899952
Position 725: 0.016717771282143384
Position 383: 0.01448287877986694
Position 4086: 0.013810712307776193
Position 391: 0.01289684795084555
Position 328: 0.012886220188812351
Position 413: 0.009866435400275592
Position 2840: 0.009165581226743588
Position 1725: 0.007702995728495355
Position 4374: 0.00562087936929899
Position 4341: 0.003882422364335992
Position 1559: 0.0035138270406769884
Position 1007: 0.003121239220937285
Position 134: 0.002416975462088898
Position 292: 0.0022427740210433683
Position 2877: 0.001617162596543256
Position 8259: 0.0015205494123634244
Position 5985: 0.000939163941486452
Position 75: 0.0005011323759052182
Position 6242: 0.00045287042461606244
Position 55: 0.0004320542229338806
Position 7596: 0.0002983532688885379
Position 900: 0.00027015242095893087
Position 1828: 0.0001733064012414978
Position 823: 0.0001516492322790944
Position 956: 0.00015001185698892543
Position 1033: 0.00014994380016912205
Position 670: 0.0001203143516093065
Position 191: 0.0001194248117649349
Position 1063: 0.00010567142243193376
Position 640: 9.851150790511259e-05
Position 995: 9.62480021906213e-05
Position 694: 5.7659801632079454e-05
Position 529: 5.2056959740703154e-05
Position 29: 3.2165524913090236e-05
Position 67: 2.7254910860144505e-05
Position 1201: 2.4071680377746192e-05
Position 1797: 1.0244219946484825e-05
Position 1847: 6.777878363455277e-06
Position 1980: 6.51383854927506e-06
Position 456: 6.262245040417429e-06
Position 484: 5.4783101615705915e-06
Position 452: 3.552157359450677e-06
Position 307: 3.417862133515552e-06
Position 6800: 2.2954832900198947e-06
Position 1905: 2.2817495286343156e-06
Position 7513: 1.7755393896991016e-06
Position 1148: 9.420030042053685e-07
Position 162: 5.356153775715066e-07
Position 106: 4.949946403340868e-07
Position 831: 2.585980428715871e-07
Position 481: 1.6133749685950883e-07
Position 112: 9.877089927459382e-08
Position 233: 9.32436457985727e-08
Position 205: 7.540001889746393e-08
Position 368: 1.3571081204006493e-08
Position 473: 1.0725556709232354e-08
Position 6283: 1.5382966143377607e-09
Position 115: 2.9746895614853534e-12
Position 214: 4.628988537862643e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5831: 0.9687929751656151
Position 22940: 0.5529028837922717
Position 4225: 0.30332676993553814
Position 15985: 0.28447797649729856
Position 4272: 0.23173466014800165
Position 15783: 0.15668634421261296
Position 557: 0.07297438849859766
Position 1891: 0.06992295805058364
Position 15597: 0.06886835139931341
Position 4025: 0.06809894197598058
Position 13598: 0.046198861932947984
Position 6545: 0.04210144471254296
Position 4303: 0.038425571450611165
Position 15427: 0.02686461960968003
Position 5778: 0.02001120204796443
Position 2696: 0.018875602027733637
Position 10937: 0.01872652597103838
Position 2950: 0.0146009997351405
Position 8023: 0.014331102191639243
Position 8895: 0.010129874124553805
Position 2674: 0.009989854288047686
Position 1815: 0.008615963135000099
Position 16254: 0.00806361466230584
Position 16755: 0.007972573316492095
Position 4190: 0.007679113560585026
Position 17164: 0.007251581913183258
Position 13622: 0.006798559120247199
Position 7551: 0.0060563120896923
Position 13023: 0.005833772439867504
Position 1871: 0.004927442311821588
Position 1618: 0.004891726301543065
Position 8361: 0.004642963893707111
Position 1724: 0.004546905158301264
Position 1797: 0.0038177320733572134
Position 1291: 0.003817429883354865
Position 8045: 0.0035009348647108683
Position 10565: 0.0034471083609880267
Position 11292: 0.003406899198425185
Position 10642: 0.002974376419221887
Position 2734: 0.002714862847955385
Position 10779: 0.002384710499123576
Position 6541: 0.0023498353909139377
Position 10377: 0.0022562029662451734
Position 14013: 0.002172631730280817
Position 14297: 0.0021581593394192407
Position 9718: 0.0018605267799598514
Position 6119: 0.0018582435684195162
Position 6171: 0.001745095581141733
Position 6474: 0.0016311938870424796
Position 7339: 0.0015994718384517862
Position 885: 0.0015968773668340183
Position 4166: 0.0015658699125431852
Position 11894: 0.0014903866504210968
Position 7475: 0.0013868231945394708
Position 5720: 0.00136682353550468
Position 6345: 0.0012952678608524524
Position 8079: 0.0012407586661087196
Position 7388: 0.001197304542188426
Position 6041: 0.0010620381873879107
Position 7813: 0.0010474150117694837
Position 6857: 0.0010302673896313607
Position 7413: 0.0009439820354164266
Position 916: 0.0009348271642271852
Position 1448: 0.0009043131617774258
Position 8826: 0.0008855164055793587
Position 6882: 0.0008345924970301706
Position 9668: 0.0007969674032766378
Position 7736: 0.0005802206388196508
Position 11676: 0.0005742587493403312
Position 1586: 0.0005475361592718508
Position 1583: 0.0005410528942365886
Position 7435: 0.0005273218841405265
Position 1822: 0.000526999602904988
Position 859: 0.0005134632232352933
Position 627: 0.0005068310318080714
Position 10933: 0.0004946217894990975
Position 1671: 0.000493355859239674
Position 6703: 0.000487353913386743
Position 4069: 0.0004481195543059859
Position 11239: 0.0004408684065824629
Position 11312: 0.00043645016536338375
Position 1757: 0.0003797663328065652
Position 7286: 0.0003779943695932455
Position 7761: 0.00036204478050049914
Position 7072: 0.00035541121476422087
Position 7718: 0.00034986531445673993
Position 8195: 0.0003353523643882273
Position 6433: 0.0003346296838413805
Position 10412: 0.00033314353112158236
Position 10444: 0.00032798486276861005
Position 8106: 0.0003278685847576705
Position 4350: 0.00032233107272759345
Position 9975: 0.0002916066661173478
Position 1451: 0.0002909307942316343
Position 6565: 0.00028852320694240077
Position 10143: 0.0002735281615429614
Position 9644: 0.00027168110259821233
Position 9482: 0.0002589486248118863
Position 7929: 0.0002458899351319858
Position 8946: 0.0002242274953557814
Position 9836: 0.0002174168037308259
Position 6706: 0.00021406765994915698
Position 881: 0.0002125120711042482
Position 8517: 0.00017646879728711826
Position 8428: 0.00016032617635638387
Position 8544: 0.00015242118754222217
Position 8320: 0.00012055161512146786
Position 5314: 0.00011519307609145213
Position 8278: 0.00011233682236214923
Position 2789: 8.509329073827954e-05
Position 7949: 7.698804199620074e-05
Position 5599: 6.398254776016458e-05
Position 7239: 6.305586053325162e-05
Position 6932: 5.4064716672574655e-05
Position 3596: 4.700444235613886e-05
Position 4573: 4.6948908760834947e-05
Position 6279: 4.615917905714219e-05
Position 6615: 4.5089659294717136e-05
Position 463: 4.335056001087626e-05
