Gene = ZNHIT6
index = 1626
Annotated 5SS: [  790  1977  2170  2341  6262 27583 29718 31183 50572]
Annotated 3SS: [ 1910  2062  2254  6157 27513 29636 31104 50446 54319]
SMsplice 5SS: [  126  1977  2170  2341  6262 29046 29358 29718 31183 37913 50572 54442]
SMsplice 3SS: [ 1910  2062  2254  6157 28969 29132 29636 31104 37775 50446 54319 54681]
top_k =  500
Partition function (log Z): -14.674632859084774

Sorted 5' Splice Sites (High to Low Probability):
Position 2170: 0.9976718645013462
Position 6262: 0.9850288156893862
Position 1977: 0.9640600009421726
Position 2341: 0.9337249392630181
Position 790: 0.327531919449843
Position 5249: 0.322837881535927
Position 126: 0.32203251864821986
Position 4301: 0.1922534178070447
Position 2764: 0.19090281309071902
Position 393: 0.16660516892396576
Position 2840: 0.087776759880773
Position 557: 0.08428684845532637
Position 527: 0.06350016977563729
Position 569: 0.043820098796026906
Position 5262: 0.042346507721365764
Position 542: 0.040324481661968906
Position 4114: 0.03610249291872356
Position 8814: 0.03375408663006914
Position 3210: 0.027497795511675496
Position 758: 0.02734879279478313
Position 60: 0.023150589941462123
Position 362: 0.014769171650013908
Position 6290: 0.012842436133468832
Position 4978: 0.012425740316755977
Position 4059: 0.01238027812820511
Position 728: 0.012228124249089546
Position 2854: 0.012187826331765031
Position 4497: 0.006421169150035367
Position 935: 0.0060391925669850645
Position 7149: 0.006019974390660642
Position 1985: 0.005664380785759909
Position 406: 0.005141584566710189
Position 197: 0.005131444911530531
Position 3593: 0.004657876870237115
Position 2897: 0.0045982486660441175
Position 4176: 0.0044405480289774115
Position 174: 0.004327664284068941
Position 1524: 0.004306072490402152
Position 44: 0.002928566907549978
Position 2489: 0.0027444525021949853
Position 3371: 0.002263849695951883
Position 10310: 0.0022357350809275468
Position 512: 0.002041984379451519
Position 48: 0.0018934570298409694
Position 4118: 0.0017525032033384894
Position 2550: 0.00140863110099618
Position 8546: 0.0013134820420489502
Position 10: 0.001216782947351768
Position 2698: 0.0010899391234355633
Position 1958: 0.001086082836606769
Position 230: 0.0010731038370910809
Position 4544: 0.0010403154718097987
Position 1105: 0.001017515743235654
Position 5341: 0.0009999706950549075
Position 4475: 0.0008480081360780811
Position 482: 0.000792863382325544
Position 7453: 0.000660851846165215
Position 6543: 0.000643380331532233
Position 1346: 0.0006352858841344382
Position 2367: 0.0005750886339286729
Position 5070: 0.0004997301617824098
Position 1016: 0.00047139515743248317
Position 580: 0.00039937988685947485
Position 6322: 0.0003989960744775505
Position 3172: 0.0003888509132837848
Position 452: 0.0003196963932884014
Position 2858: 0.000291409497083848
