Gene = PPCS
index = 1057
Annotated 5SS: [515 792]
Annotated 3SS: [ 687 3043]
SMsplice 5SS: [515]
SMsplice 3SS: [687]
top_k =  500
Partition function (log Z): -9.627503100638853

Sorted 5' Splice Sites (High to Low Probability):
Position 792: 0.740528230332326
Position 515: 0.6532801139090377
Position 166: 0.23461795743879912
Position 1009: 0.1745022763024182
Position 1769: 0.10048353357956112
Position 255: 0.08040540155764586
Position 70: 0.04386254580530078
Position 50: 0.018168767716617296
Position 25: 0.01805356664456905
Position 145: 0.009590174798797773
Position 1838: 0.007552175947296582
Position 2747: 0.006175287127669348
Position 203: 0.003750414585011143
Position 2994: 0.0030971444756714914
Position 621: 0.002566677460838021
Position 1529: 0.0025015416726086497
Position 951: 0.0014313155357535774
Position 244: 0.0013737116319750638
Position 2238: 0.0010770021707960254
Position 1721: 0.0010305077323730515
Position 1742: 0.0010299606311573
Position 2998: 0.0008132080366158151
Position 445: 0.0006943843071697294
Position 1717: 0.00046271348461928666
Position 530: 0.00032194254086066786
Position 386: 0.00032091960212971986
Position 450: 0.00018113572693721698
Position 1181: 0.00014499319041612704
Position 115: 0.0001382869531388973
Position 842: 0.00011129252363664185
Position 120: 0.00011113187728718158
Position 1460: 0.00010780642492757084
Position 129: 8.549720578550953e-05
Position 312: 4.8797969314514566e-05
Position 124: 3.772025385911097e-05
Position 1470: 3.346654221959175e-05
Position 1213: 1.954422228674057e-05
Position 118: 1.2848645769008528e-05
Position 722: 1.2525772566798634e-05
Position 249: 8.304772641870696e-06
Position 33: 4.378986203726863e-06
Position 519: 2.942375592948586e-07
Position 1013: 2.2582239635661718e-07
Position 480: 1.9979924686372497e-07
Position 646: 1.1664261130730755e-07
Position 770: 7.764005488013872e-10
Position 720: 1.6821085573074208e-13
Position 701: 1.4102670199903666e-13
Position 661: 1.1602232025913415e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 687: 0.9466287017381173
Position 3043: 0.2533278111108663
Position 892: 0.18352724480441707
Position 1594: 0.1694645377244424
Position 3089: 0.08524277655611748
Position 303: 0.06879503043818504
Position 3664: 0.05795780458829382
Position 3023: 0.0550454913966486
Position 864: 0.03947871612258563
Position 2973: 0.0325025909666322
Position 3124: 0.02552985792040176
Position 1983: 0.019659920208542153
Position 2789: 0.015275860260048589
Position 3789: 0.01491917809742446
Position 2648: 0.01444281272672669
Position 2815: 0.013664871842256138
Position 337: 0.010663264966685989
Position 2171: 0.008300188470977804
Position 1891: 0.008267011603902355
Position 1922: 0.006564326010508291
Position 3248: 0.00467339436759281
Position 2541: 0.0044650985345313894
Position 486: 0.004322710768249439
Position 1790: 0.0038718659184793862
Position 898: 0.0036590744512751327
Position 2587: 0.003137824966220536
Position 1623: 0.003108261479332598
Position 2416: 0.0028034183408444146
Position 1145: 0.002781187069231501
