Gene = NCMAP
index = 919
Annotated 5SS: [   59 39402 44914]
Annotated 3SS: [39312 44828 49494]
SMsplice 5SS: [  123 11745 16222 28252 28850 31303 39402 44914]
SMsplice 3SS: [11639 16126 28037 28741 31240 39312 44828 50591]
top_k =  500
Partition function (log Z): -10.219410746922488

Sorted 5' Splice Sites (High to Low Probability):
Position 16222: 0.9999999954403866
Position 28252: 0.9999999284602612
Position 44914: 0.9971600971462116
Position 28850: 0.952121474171769
Position 11745: 0.7589990126431596
Position 123: 0.7494634784569801
Position 31303: 0.683565493204018
Position 39402: 0.27751013443227074
Position 59: 0.24493643751689811
Position 11729: 0.24100098650644594
Position 10550: 0.23071676027258692
Position 2811: 0.21602144952037786
Position 45420: 0.18045511487403446
Position 9319: 0.15790074507021742
Position 12592: 0.14990676932949665
Position 51027: 0.13760621518134847
Position 6744: 0.0928044984585865
Position 7649: 0.09198348692826672
Position 14665: 0.05784912607328371
Position 3329: 0.05537898105969994
Position 6356: 0.05396848065153459
Position 49367: 0.053841205618183445
Position 6998: 0.051155721524962366
Position 28866: 0.04787831719737479
Position 6281: 0.03931738242828621
Position 1172: 0.03729689730373419
Position 49622: 0.03237120245978263
Position 47469: 0.02654340515316581
Position 10732: 0.023545640200292
Position 1902: 0.023108175072637935
Position 3012: 0.01414706019099357
Position 11230: 0.012515452220923528
Position 3077: 0.012100223180455701
Position 47510: 0.010094713175653776
Position 47441: 0.00814610420325726
Position 44980: 0.0024687068216714637
Position 178: 0.002455461372565299
Position 1730: 0.0024092358275443425
Position 1176: 0.00231433447692636
Position 112: 0.0013297904350268403
Position 639: 0.0011725864077229695
Position 1074: 0.001035648212540589
Position 947: 0.0009761168748112945
Position 6018: 0.00085333932164125
Position 2705: 0.0007582549632250384
Position 6322: 0.0007546937078381163
Position 45506: 0.0005214903463953384
Position 2570: 0.0002546422476310429
Position 5009: 0.0001808803120765552
Position 1274: 0.000157316005012499
Position 1040: 7.839283978263298e-05
Position 2022: 6.968063676945208e-05
Position 1270: 5.5233409132671696e-05
Position 234: 3.061684220452109e-05
Position 307: 2.4192869049150857e-05
Position 289: 2.191403811765212e-05
Position 776: 2.1380890831805436e-05
Position 745: 2.024302868059103e-05
Position 264: 1.5821295481408228e-05
Position 951: 1.221218984873109e-05
Position 128: 6.021536961073379e-06
Position 254: 3.520155518448143e-06
Position 22: 3.3456369214066946e-06
Position 191: 2.781376653005695e-06
Position 958: 2.534025536334427e-06
Position 782: 1.916060129036263e-06
Position 848: 1.4957620175774695e-06
Position 31393: 4.153826326055252e-07
Position 250: 6.087512940849675e-08
Position 73: 5.278053422921961e-08
Position 225: 3.287818916447128e-08
Position 463: 1.9699536504519613e-08
Position 261: 1.8155828083316198e-08
Position 544: 1.5565725016273746e-08
Position 647: 1.2195936663287465e-08
Position 582: 7.801338484795324e-09
Position 756: 5.6793367245355606e-09
Position 376: 4.951235507924365e-09
Position 215: 4.44570212824378e-09
Position 293: 3.3370140005154124e-09
Position 82: 1.6750272776769073e-09
Position 310: 8.711621497526556e-10
Position 198: 5.074141061400359e-10
Position 318: 2.373759578501717e-10
Position 11733: 1.1446483712981251e-10
Position 11722: 3.150129939703314e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11639: 0.9999999997240937
Position 16126: 0.9999999965188483
Position 28037: 0.9999999893858896
Position 44828: 0.999964735611723
