Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  500
Partition function (log Z): -4.30811014834214

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9976338120486639
Position 630: 0.6242177726138008
Position 870: 0.07138828920445646
Position 917: 0.03693239681685291
Position 591: 0.036275267460784535
Position 624: 0.026010368136383615
Position 967: 0.017178765243923685
Position 829: 0.011829928566694993
Position 986: 0.0043863801687916894
Position 961: 0.0013785260716510468
Position 1114: 0.0011662422365422925
Position 152: 0.0011245820565856405
Position 678: 0.0005108608044674598
Position 855: 0.00045621045762304707
Position 193: 0.00027175375351683255
Position 77: 0.00020031208886204713
Position 1202: 0.0001957825366378434
Position 606: 0.00019029143793532612
Position 1009: 0.00017745611514223637
Position 564: 0.0001080048267061453
Position 955: 9.472274148504461e-05
Position 921: 9.179805643589904e-05
Position 1118: 2.4514305883635515e-05
Position 1062: 2.2531266268201696e-05
Position 651: 4.9824606123721295e-06
Position 686: 2.4649335235938654e-06
Position 613: 2.2776121351832785e-06
Position 369: 1.992669593843032e-06
Position 338: 1.4201815564630746e-06
Position 715: 8.862837910821088e-07
Position 202: 4.619000240182334e-07
Position 233: 3.61729604379686e-07
Position 4: 7.140181787897532e-08
Position 427: 2.810515055687137e-08
Position 451: 2.0823422796853036e-09
Position 438: 6.380756173021938e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6569371022761398
Position 799: 0.30459362301961246
Position 491: 0.24317270981695074
Position 1167: 0.17982853732292528
Position 727: 0.13654883052314315
Position 1070: 0.07913676767692292
Position 767: 0.05612962441177045
Position 457: 0.05070252057806044
Position 816: 0.029591910152612585
Position 1106: 0.027541514628293278
Position 1295: 0.017549433437482765
Position 1012: 0.012041389806253886
Position 477: 0.010642369183418012
Position 1326: 0.005245364060872174
Position 427: 0.0049740609308551705
Position 1250: 0.003733648985002999
Position 438: 0.003115115201875846
Position 686: 0.0017676244012275696
Position 813: 0.0017349872021717376
Position 1200: 0.0014792350810293139
Position 972: 0.0007000141456906393
Position 1101: 0.0006972350344760835
Position 731: 0.000615649449278397
Position 1347: 0.0005318859220380787
Position 1078: 0.00045513170985492983
Position 819: 0.00036584936243770286
Position 769: 0.0003184154221382779
Position 246: 0.0002571793509105976
Position 1170: 0.00023264456000395543
Position 493: 0.00017250176440742135
Position 184: 0.00012290059479818345
Position 935: 9.579373625412021e-05
Position 938: 9.531190944982801e-05
Position 976: 8.82949931339198e-05
Position 243: 8.73984789998968e-05
Position 1109: 8.36950142624774e-05
Position 528: 7.274768436230851e-05
Position 497: 6.797226145277567e-05
Position 1234: 6.207670860150295e-05
Position 1000: 5.25361977047734e-05
Position 1350: 4.614155356128565e-05
Position 572: 3.936837994621466e-05
Position 1072: 2.911223975533466e-05
Position 223: 2.1874215471783893e-05
Position 824: 1.963431187919787e-05
Position 1352: 1.4589078705190035e-05
Position 156: 1.1438706486130922e-05
Position 534: 7.962105148923291e-06
Position 598: 7.370013127790258e-06
Position 499: 6.00161948903383e-06
Position 329: 5.530118143252233e-06
Position 256: 5.276212229784054e-06
Position 502: 4.2978545419176705e-06
Position 558: 3.943926372180749e-06
Position 202: 3.3419358722958816e-06
Position 537: 2.467098927185078e-06
Position 736: 2.3176288274880393e-06
Position 357: 1.7655232179972931e-06
Position 189: 1.3634026019114724e-06
Position 228: 1.21084813396914e-06
Position 240: 9.622987545103628e-07
Position 251: 8.949344417911335e-07
Position 543: 6.896177081734102e-07
Position 522: 5.164616841152551e-07
Position 603: 3.514995647469916e-07
Position 264: 1.8554535576782994e-07
Position 881: 1.800343974186424e-07
Position 276: 1.6940826719476585e-07
Position 191: 1.6871700322169878e-07
Position 611: 1.2803748951645968e-07
Position 369: 1.2766393835037008e-07
Position 618: 9.446669869975213e-08
Position 274: 7.95532513568599e-08
Position 513: 7.197556845241346e-08
Position 507: 6.786188753736725e-08
Position 509: 6.780672658738219e-08
Position 210: 5.5167875809959835e-08
Position 613: 5.0919134154189296e-08
Position 233: 2.0946677766039463e-08
Position 623: 1.9918058738932358e-08
Position 333: 3.122043138783439e-09
Position 135: 1.3284488109018816e-09
Position 124: 5.863301486359642e-10
Position 115: 4.974638732918933e-10
Position 389: 1.5869551563277175e-10
Position 91: 1.0588443044251257e-10
Position 385: 2.537775436389859e-11
Position 828: 1.2011175751664713e-11
Position 338: 8.274447095873904e-16
Position 382: 1.5893189777592711e-18
Position 380: 1.5229478432428584e-18
