Gene = ATOX1
index = 110
Annotated 5SS: [  130 13987 20829 26254]
Annotated 3SS: [13752 20752 26082 29572]
SMsplice 5SS: [  130 13578 13987 20829 26254]
SMsplice 3SS: [13472 13752 20752 26082 29572]
top_k =  500
Partition function (log Z): -9.997972710666003

Sorted 5' Splice Sites (High to Low Probability):
Position 13987: 0.9211569103532822
Position 130: 0.8966249593938883
Position 20829: 0.8401285570242416
Position 13578: 0.8204804456482905
Position 26254: 0.46720485422278807
Position 26258: 0.36329600362410885
Position 16941: 0.26539674405344094
Position 20833: 0.15370962910814512
Position 27773: 0.138658320778936
Position 834: 0.1033181470567127
Position 27201: 0.08310095958315868
Position 24268: 0.0779176878412808
Position 18992: 0.04481978306857271
Position 22377: 0.038165393725292165
Position 14607: 0.03109113804961178
Position 21111: 0.009262624019781382
Position 26118: 0.008060436025418389
Position 21683: 0.006003726097761913
Position 26458: 0.00566911514997162
Position 24599: 0.003871397639499705
Position 27838: 0.0033151793977244217
Position 29323: 0.003275576271315064
Position 27600: 0.0031122131933134503
Position 28784: 0.002697769572222809
Position 21494: 0.0013074955570775257
Position 21354: 0.0012889101372092508
Position 6843: 0.0010270796341379207
Position 29027: 0.001001223684409316
Position 26834: 0.0009561428037506937
Position 26184: 0.0008691530375003147
Position 956: 2.9937997891606503e-05
Position 91: 2.705434457907057e-05
Position 1589: 5.2826344936982304e-08
Position 6353: 4.459383379985318e-08
Position 4335: 3.712179200466001e-08
Position 1743: 3.4813706261950526e-08
Position 335: 2.2669590274000003e-08
Position 2147: 2.175281415248874e-08
Position 639: 1.198964270949536e-08
Position 1219: 1.1279407386648572e-08
Position 759: 1.0464378110501764e-08
Position 6368: 9.095400674190395e-09
Position 2323: 4.037757019632911e-09
Position 5459: 3.6513224883599683e-09
Position 862: 3.1593676897042824e-09
Position 691: 2.9725547211003152e-09
Position 817: 1.4913602498473893e-09
Position 368: 4.863061700728929e-10
Position 155: 2.4927492267418544e-10
Position 1071: 8.589015725130969e-11
Position 1503: 7.112908503908974e-11
Position 339: 6.976582819595572e-11
Position 1414: 6.800084862442446e-11
Position 1126: 6.522364392380981e-11
Position 1567: 6.488456739251434e-11
Position 1506: 5.826700466271887e-11
Position 548: 5.4853493860845846e-11
Position 1392: 5.1768316782260424e-11
Position 374: 4.0483355310533195e-11
Position 380: 4.01122342455448e-11
Position 779: 3.5839110019559783e-11
Position 1529: 2.9173288048283107e-11
Position 1242: 2.8085060342927935e-11
Position 56: 2.5765743451526987e-11
Position 1123: 1.8809181529522218e-11
Position 980: 1.8794973691569804e-11
Position 1179: 1.5573995185951294e-11
Position 571: 1.2803772540862584e-11
Position 1197: 1.2601802963362105e-11
Position 439: 1.0092389171439136e-11
Position 1289: 7.790476145880306e-12
Position 875: 6.457644802864596e-12
Position 1174: 5.067005871230609e-12
Position 599: 4.033899244376441e-12
Position 1247: 3.687085393373221e-12
Position 1527: 2.3886598216843438e-12
Position 967: 2.3030750419399936e-12
Position 1256: 2.1626478581739297e-12
Position 943: 2.056586869753112e-12
Position 877: 1.3385368977662697e-12
Position 492: 5.603720999604466e-13
Position 457: 4.3071185353458365e-13
Position 628: 4.290833520769162e-13
Position 362: 1.4675962010845054e-13
Position 143: 1.385569058140541e-13
Position 841: 1.0839965147566147e-13
Position 251: 6.882914871765605e-16
Position 585: 2.1923285778779686e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 26082: 0.9814577643490185
Position 20752: 0.9483578759141749
Position 13472: 0.7333068780922435
Position 13752: 0.6370672652901643
Position 29572: 0.5775148305315778
Position 13780: 0.27793318117320825
Position 16820: 0.26539674405344094
Position 13513: 0.0933304534798135
Position 24189: 0.07811377366341593
Position 27687: 0.07776277093518363
Position 28311: 0.05907388652736282
Position 27580: 0.04909752409382685
Position 27015: 0.04814278289366362
Position 20718: 0.045542531323036296
Position 18956: 0.04481978306857271
Position 28052: 0.04407423645926135
Position 14490: 0.03109944565675887
Position 28599: 0.029822306439729718
Position 29239: 0.028616284981904248
