Gene = ICE1
index = 673
Annotated 5SS: [  306 13783 14421 17220 18530 20551 21633 24816 25067 25204 31945 35048
 42533 43809 46295 51055 53386 64126]
Annotated 3SS: [13723 14385 17200 18417 20473 21594 24732 25026 25146 31857 34637 37741
 43639 46133 50863 53278 64026 66454]
SMsplice 5SS: [  306  8806 13783 18530 20551 21665 31945 32684 35048 43809 46295 50807
 51055 53386 64126]
SMsplice 3SS: [ 8714 13723 18417 20473 21594 31857 32543 34985 43676 46133 50613 50917
 53278 64026 64239]
top_k =  500
Partition function (log Z): -18.18212628191157

Sorted 5' Splice Sites (High to Low Probability):
Position 13783: 0.999999999991321
Position 35048: 0.993104009443028
Position 20551: 0.9877670267622212
Position 43809: 0.9764667865541063
Position 25204: 0.8612016541843381
Position 31945: 0.8599068428542778
Position 18530: 0.8189723421731682
Position 306: 0.7816601897069596
Position 46295: 0.7495504232697013
Position 32684: 0.6940469931207366
Position 8806: 0.4993328695772032
Position 21665: 0.4012908344659323
Position 25067: 0.3697797900950158
Position 5196: 0.34880887591748605
Position 34686: 0.30921890100633065
Position 19345: 0.30755079517297823
Position 28030: 0.30469664840959687
Position 21633: 0.2587329585038799
Position 33733: 0.19336769325906275
Position 10368: 0.17766226770547014
Position 2196: 0.14003987616725047
Position 31934: 0.1368628520626196
Position 29374: 0.1352463252140896
Position 3946: 0.12897554122968558
Position 46873: 0.12897390716584753
Position 4855: 0.12853998920891813
Position 21700: 0.11514666870785398
Position 3970: 0.10702289715234704
Position 12541: 0.08847511071308259
Position 9001: 0.08245372098831036
Position 46625: 0.0765669563674696
Position 5749: 0.05975056932866863
Position 9639: 0.04816536679480542
Position 629: 0.04793104197573518
Position 9204: 0.04267903476555472
Position 191: 0.03713180454903813
Position 1278: 0.035960868218333136
Position 10304: 0.03063009607600945
Position 33498: 0.030445817404827474
Position 24816: 0.02924026970874547
Position 5177: 0.028104088046071174
Position 13: 0.02782620739196525
Position 1504: 0.024824394272781138
Position 7978: 0.023559606890797318
Position 559: 0.02322573955403846
Position 32263: 0.023030793064651847
Position 22998: 0.02077739235326255
Position 548: 0.020533062205859348
Position 1176: 0.01947871069426924
Position 644: 0.019262384504213633
Position 625: 0.018724353828888703
Position 1399: 0.014210846312714671
Position 32200: 0.014132099564969157
Position 21684: 0.010664320523438362
Position 4622: 0.0103526745007825
Position 280: 0.009562108251302706
Position 2261: 0.007803878005598432
Position 568: 0.004726224583722435
Position 32623: 0.0029707527253144722
Position 26014: 0.00255382092579165
Position 742: 0.0021723821130341693
Position 7132: 0.0018782068126938865
Position 2515: 0.0007776162641685397
Position 35080: 0.0006934391256192599
Position 403: 0.0006572211053667674
Position 378: 0.000548708306243812
Position 36870: 0.0004765469051240037
Position 35824: 0.00038464711837416307
Position 840: 0.00026398056133510825
Position 964: 0.000205969370205864
Position 633: 0.00018918156080641112
Position 32916: 0.00016687420140934102
Position 989: 0.00014907299984686826
Position 859: 9.631550057360308e-05
Position 21819: 9.630562066212462e-05
Position 22218: 7.375949078439607e-05
Position 1437: 4.361898419241356e-05
Position 908: 3.862436238728063e-05
Position 373: 3.826783824994491e-05
Position 542: 2.8872768963874405e-05
Position 2036: 2.6237458747506917e-05
Position 877: 2.0631334046626575e-05
Position 4180: 1.3835871980972214e-05
Position 852: 1.1281826146186777e-05
Position 706: 1.113452472965945e-05
Position 272: 5.457571213480288e-06
Position 2909: 5.0712767894070896e-06
Position 3994: 3.4796232447039447e-06
Position 3095: 1.6710315522586579e-06
Position 3100: 1.4836129640315546e-06
Position 395: 1.4239019691249031e-06
Position 427: 1.2609625289250865e-06
Position 1151: 5.841293248657971e-07
Position 84: 1.33471374883312e-07
Position 195: 4.3509990469798844e-08
Position 18: 1.7615793690922847e-08
Position 29: 1.671358273176136e-08
Position 444: 3.7001024375357543e-09
Position 518: 2.7245094896867466e-11
Position 472: 2.3935516437888843e-11
