Gene = AUNIP
index = 119
Annotated 5SS: [  133 22000]
Annotated 3SS: [21857 23565]
SMsplice 5SS: [  133 13895 22000]
SMsplice 3SS: [13804 21857 23565]
top_k =  500
Partition function (log Z): -15.402544274059895

Sorted 5' Splice Sites (High to Low Probability):
Position 13895: 0.8735311355286538
Position 22000: 0.782578618420582
Position 133: 0.670489909237545
Position 170: 0.32742570388337383
Position 9110: 0.007320873366276678
Position 4112: 0.0035467213183063523
Position 11219: 0.0018236083932395115
Position 7813: 0.0017375091454157133
Position 185: 0.0015541049329950386
Position 3623: 0.0015011412407732777
Position 2020: 0.0014827857959818502
Position 8690: 0.0010575763602444096
Position 4611: 0.0010480750769950998
Position 13907: 0.0009379525472920909
Position 9048: 0.0007522917368150478
Position 6131: 0.000535613151365235
Position 9168: 0.0005281214332002087
Position 601: 0.0004374435259981003
Position 2380: 0.00013346823501133917
Position 371: 7.857700158686338e-05
Position 5050: 5.558031296013406e-05
Position 400: 5.1789743370309104e-05
Position 908: 4.918313753159509e-05
Position 1145: 4.4235363973363316e-05
Position 5669: 4.2279762557641136e-05
Position 3880: 3.8506424637174565e-05
Position 3823: 3.725264414529259e-05
Position 5520: 3.549309653421974e-05
Position 5630: 2.429132597213462e-05
Position 297: 2.4289290246446927e-05
Position 2565: 2.363080465506509e-05
Position 4212: 2.355517173615292e-05
Position 5420: 1.889092058044221e-05
Position 5459: 1.635481547971619e-05
Position 127: 3.1990606485675692e-06
Position 800: 1.7110595610852932e-06
Position 548: 9.997220911567537e-07
Position 394: 3.667336952635065e-09
Position 286: 2.763941651311239e-09
Position 93: 1.6582334934579032e-09
Position 487: 1.2062532103015242e-09
Position 358: 1.0789281579006125e-09
Position 40: 5.6732944514468e-10
Position 232: 1.9748721800262448e-10
Position 91: 1.5646045343195285e-10
Position 199: 1.4234877425330967e-10
Position 158: 8.555623554561512e-11
Position 422: 7.169139302750787e-11
Position 283: 1.2870682851509207e-14
Position 256: 3.1020924025853428e-15
Position 26: 1.9602567955885201e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 13804: 0.8833857361668512
Position 21857: 0.8267726066373907
Position 23565: 0.40499879384078435
Position 22477: 0.20255596274942708
Position 22849: 0.17502386183037033
Position 12492: 0.0373290124532495
Position 14101: 0.014392741678693009
Position 5824: 0.013199580792053653
Position 16969: 0.012671962713719225
Position 8954: 0.012261108956287754
Position 19063: 0.01051706579358978
Position 12461: 0.008584012949362
Position 16242: 0.007929795958723874
Position 15644: 0.0070906610254995546
Position 10931: 0.006986691917684306
Position 8910: 0.005839738043349668
Position 14452: 0.005122557572367119
Position 17098: 0.004151350296363305
Position 5205: 0.003106093314783317
Position 3957: 0.002926208809934833
Position 16132: 0.0021833359419577538
Position 9205: 0.0018164578346878788
Position 5536: 0.0016807524205989617
Position 1897: 0.0016252062320321237
Position 3984: 0.001575577911774059
Position 10546: 0.0015128606331132836
