Gene = P3H2
index = 993
Annotated 5SS: [   678 125640 126836 132023 133403 134142 136380 137884 146372 147021
 148056 149040 150114 156972]
Annotated 3SS: [125486 126645 131890 133259 134051 136338 137788 146243 146924 147904
 148921 150037 156830 162924]
SMsplice 5SS: [   120    678  12249  14241  16616  24223  27387  61312  72966 125640
 126836 129365 132023 133403 134142 136380 137884 146372 149040 150114
 156972]
SMsplice 3SS: [   562  12203  14094  16526  24102  27254  61200  72855 125486 126645
 129284 131890 133259 134051 136338 137788 146243 148921 150037 156830
 162924]
top_k =  500
Partition function (log Z): -74.18098945491603

Sorted 5' Splice Sites (High to Low Probability):
Position 16616: 0.9915465351788308
Position 678: 0.9658487280637674
Position 12249: 0.9507686686479282
Position 120: 0.6300074075987777
Position 24223: 0.5685667093372966
Position 4350: 0.460800604725794
Position 14241: 0.4294462628118621
Position 1239: 0.3670701597863287
Position 927: 0.26628985011104794
Position 387: 0.17001983730816256
Position 2677: 0.15842856441950526
Position 18669: 0.09514629315493074
Position 14356: 0.07181905278250206
Position 3973: 0.04373766722242964
Position 18584: 0.030374550205650015
Position 145: 0.02914385323744426
Position 2594: 0.0265629148786811
Position 2707: 0.02563443295545312
Position 13657: 0.019099892797461188
Position 1284: 0.0033097175977466445
Position 939: 0.0024174330545732327
Position 167: 0.0015329156601325306
Position 2589: 0.0010375810077481987
Position 40: 0.0007892683836804202
Position 1642: 0.000743912101503769
Position 263: 0.0006737616610173713
Position 1227: 0.0006443098881606435
Position 448: 0.0006374436419614789
Position 1214: 0.0006354234152598211
Position 3323: 0.000623988679591267
Position 2887: 0.0004342979216697882
Position 986: 0.00040796261279319097
Position 3739: 0.0002941253533669856
Position 2211: 0.0002368604048630705
Position 1342: 0.00014491194574846558
Position 1950: 9.812221074731904e-05
Position 618: 9.686059741434558e-05
Position 1431: 9.374194499698733e-05
Position 96: 6.434350994128499e-05
Position 839: 3.8406559750533906e-05
Position 763: 2.9293114521117597e-05
Position 7517: 1.897036053980428e-05
Position 782: 1.2458202021090267e-05
Position 58: 1.1046644409927377e-05
Position 804: 1.081719895142851e-05
Position 565: 9.34919997674305e-06
Position 808: 2.0854094814155484e-06
Position 825: 1.9693182935815886e-06
Position 642: 1.2533513439975697e-06
Position 5038: 1.177888424311153e-06
Position 606: 7.555968200051787e-07
Position 536: 7.312328132809067e-07
Position 173: 6.736391608679073e-07
Position 796: 5.990305027182717e-07
Position 798: 4.079830609041674e-07
Position 2819: 2.0362376077553365e-07
Position 768: 6.724815477024435e-08
Position 2512: 2.304273151641296e-10
Position 2407: 1.6879003845057598e-10
Position 553: 1.3112868325955728e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 16526: 0.9749811556417405
Position 12203: 0.9508252697613482
Position 26119: 0.8448531068010601
Position 562: 0.6643255003412026
Position 24102: 0.6032843071904561
Position 14094: 0.5014109379032423
Position 4222: 0.43337852606746374
Position 887: 0.3686874535102798
Position 1129: 0.2132590881191516
Position 2466: 0.1939298890123652
Position 610: 0.06648324145731843
Position 18417: 0.06357931904547369
