Gene = C1QTNF3-AMACR
index = 151
Annotated 5SS: [   111  88882  91225  95775 100620 103942 118773 125888]
Annotated 3SS: [ 88769  91069  95644 100519 103785 118628 125700 135025]
SMsplice 5SS: [   111  72647  88882  91124  95775 100620 116225 118773 119955 125888
 130581]
SMsplice 3SS: [ 72417  88769  91069  95644 100519 116122 118628 119793 125700 130407
 135025]
top_k =  500
Partition function (log Z): -70.00288661365387

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.5559657486391221
Position 189: 0.28450388520456826
Position 4038: 0.17252812350461985
Position 145: 0.15807521567904048
Position 2399: 0.09351562427489718
Position 15581: 0.0924195423527503
Position 10334: 0.07230092722505392
Position 4031: 0.00450290231108843
Position 3186: 0.002744014833706999
Position 1377: 0.0008922271874815558
Position 2820: 0.000641268440558274
Position 530: 0.0005311152204935158
Position 11386: 0.0004656992753345167
Position 380: 0.0002673991969421148
Position 8426: 0.00023095941002728853
Position 5007: 0.00021253824698929576
Position 499: 0.00019194296025305298
Position 1251: 0.00011002512521471519
Position 372: 8.530134066670207e-05
Position 1558: 7.251977871974625e-05
Position 400: 6.571973834580673e-05
Position 1179: 4.0239403588199704e-05
Position 404: 3.828663827739143e-05
Position 245: 3.710659368989962e-05
Position 769: 2.1308614043931357e-05
Position 1391: 7.744779790353394e-06
Position 1780: 4.349732810150068e-06
Position 831: 2.5487612024950665e-07
Position 991: 1.9322961316944636e-07
Position 672: 1.5639724184512413e-07
Position 988: 1.5335250607101777e-07
Position 567: 1.4159599306917302e-07
Position 1847: 9.826378848441369e-08
Position 862: 7.244308905071088e-08
Position 1336: 6.879389379841743e-08
Position 592: 6.613302351238936e-08
Position 4: 5.519212329251894e-08
Position 274: 5.069185208964176e-08
Position 1183: 3.976130203081366e-08
Position 2796: 3.6287694340565626e-08
Position 1332: 3.194367874685676e-08
Position 1285: 2.525383782612941e-08
Position 2037: 2.3971599536051606e-08
Position 55: 3.6650135442812097e-09
Position 981: 2.36469985748138e-09
Position 577: 1.9961401461863667e-09
Position 378: 3.3412639871862465e-10
Position 174: 2.9022159926316343e-10
Position 384: 2.763856267420005e-10
Position 182: 1.1302517432042458e-10
Position 983: 9.153263809649066e-11
Position 496: 7.97254055223317e-11
Position 35: 7.930014051477249e-11
Position 43: 7.476134855169563e-11
Position 386: 6.043794970249877e-12
Position 235: 2.8162449951416833e-12
Position 764: 1.7179559499374049e-12
Position 762: 1.6249179979181255e-12
Position 476: 1.5093184813018904e-12
Position 454: 8.488477313562678e-13
Position 205: 5.041430325658955e-13
Position 579: 3.8114422944048314e-13
Position 7: 3.0474552393292306e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 21953: 0.8724531363579823
Position 15349: 0.10440730133773635
Position 2268: 0.09140419260823769
Position 3949: 0.09046254125752337
Position 3872: 0.0744420111911083
Position 10164: 0.043723945179197365
Position 14225: 0.031610931527745155
Position 11564: 0.016343594720899433
Position 10237: 0.015505405056111499
Position 10207: 0.014207091625634393
Position 11866: 0.011842783181225771
Position 9558: 0.009294140862065734
Position 3906: 0.007880603818096986
Position 11305: 0.006317935274763797
Position 10534: 0.005888156493986941
Position 1846: 0.005445828437171545
Position 11385: 0.004161159419354324
Position 2249: 0.003394966104942941
Position 3822: 0.003322408978688799
Position 11567: 0.0032426188409826594
Position 8804: 0.0018734218817161564
Position 10467: 0.0017622082916282035
Position 1206: 0.0013229613329246424
Position 10598: 0.0013148889092817367
Position 3045: 0.00131179642061408
Position 13735: 0.0012969889031491809
Position 3592: 0.0010489433109615186
Position 1156: 0.001037573978057667
Position 4133: 0.0010130759289502798
Position 8343: 0.0008969501575684378
Position 2996: 0.0006299500980130501
Position 3702: 0.0006001164762610896
Position 3179: 0.0005970443369527511
Position 2219: 0.0005304344098422429
Position 2701: 0.0005021877500664572
Position 8199: 0.0005014756142516098
Position 3093: 0.00047382148581353646
Position 6579: 0.0004735295587187401
Position 2523: 0.0004285047645341249
Position 878: 0.00040256538043358125
Position 5298: 0.00039976050846758524
Position 4509: 0.0003934189711846206
Position 2105: 0.0003591366854225515
Position 2349: 0.0003358269429478146
Position 2197: 0.00032669432516655534
Position 5715: 0.00029222174754871966
Position 4924: 0.0002873581301940334
Position 2037: 0.00028632030877369163
Position 1615: 0.000269244135022889
Position 1870: 0.00023074247804480777
Position 4959: 0.0002257982301768164
Position 733: 0.00021340894942606487
Position 9293: 0.00020808102034962456
Position 9032: 0.0002071907642347698
Position 4790: 0.0001918371420108336
Position 491: 0.00017946779414119385
Position 2007: 0.00013789502998394352
Position 9084: 0.00013716448368178058
Position 5360: 0.0001333081565513182
Position 1965: 0.00012767421603196492
Position 1416: 0.00011521041994681323
Position 1968: 0.0001079444051809377
Position 4880: 0.00010248828649270624
Position 254: 0.00010172810396255388
Position 4801: 9.958362717159103e-05
Position 3010: 9.82544494118394e-05
Position 3539: 9.548274199180267e-05
Position 1761: 9.456621878364863e-05
Position 2735: 8.870361550516667e-05
Position 2529: 8.360022629483178e-05
Position 3420: 7.013369527522708e-05
Position 6671: 6.685853232732782e-05
Position 1813: 6.631337527948446e-05
Position 1232: 6.021600324096892e-05
Position 1724: 5.5575652874408834e-05
Position 6640: 5.177234435362882e-05
Position 6760: 5.056150365143606e-05
Position 6253: 4.75972580463955e-05
Position 3280: 4.7428117977362485e-05
Position 476: 4.591349165210277e-05
Position 454: 4.5234213802815785e-05
Position 2680: 4.3037973375422346e-05
Position 1351: 3.653756948073228e-05
Position 3431: 3.557693231416191e-05
Position 202: 3.388968466681572e-05
Position 609: 3.2795006930606934e-05
Position 3185: 3.21522819499147e-05
Position 5712: 2.9841374854283828e-05
Position 5682: 2.9457980950439536e-05
Position 4996: 2.7933046555620146e-05
Position 1367: 2.449315125517098e-05
Position 2398: 2.3708487074331e-05
Position 404: 2.099870380292121e-05
Position 1162: 1.808636916025501e-05
Position 1332: 1.7668288860153317e-05
Position 1444: 1.4890436150519934e-05
Position 862: 1.4251718491067653e-05
Position 205: 1.3729070317932055e-05
Position 4184: 1.3606028713557156e-05
Position 2769: 1.3402601616121109e-05
Position 1212: 1.2648109237847478e-05
Position 707: 1.1190796183051774e-05
Position 3295: 9.742037734592014e-06
Position 290: 9.127058354982885e-06
Position 2295: 8.076634270557393e-06
Position 314: 7.609858056162352e-06
Position 1677: 7.058433057014389e-06
Position 1074: 5.040126410832208e-06
Position 2305: 4.829049833882201e-06
Position 422: 3.5690727164001134e-06
Position 174: 3.0501233553185305e-06
Position 2795: 2.78790203277215e-06
