Gene = WLS
index = 1573
Annotated 5SS: [  360 38599 73431 77455 79037 82366 83991 84418 86685 87985 94774]
Annotated 3SS: [ 38325  73305  77292  78899  82196  83892  84353  86540  87900  94619
 106217]
SMsplice 5SS: [  360 11616 38405 41277 73431 73751 77455 82366 82924 83991 84136 84418
 87985 94774 98728]
SMsplice 3SS: [ 11532  38325  41152  73305  73508  77292  82196  82769  83892  84056
  84353  87900  94619  98567 106719]
top_k =  500
Partition function (log Z): -52.47959766961834

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9836908537326056
Position 11616: 0.8645911029683331
Position 4395: 0.4284420269168375
Position 2617: 0.40844089408149026
Position 12978: 0.3747792555077278
Position 8498: 0.23806546360681596
Position 11423: 0.16578968043852688
Position 14013: 0.12720000774074552
Position 4404: 0.06727128243318811
Position 3391: 0.061736277594842036
Position 4333: 0.043473685909674056
Position 9424: 0.040547377271240484
Position 966: 0.040359172724276686
Position 12404: 0.03412227509767528
Position 17532: 0.02201437053415435
Position 2545: 0.020515688438833453
Position 6713: 0.019382784771220872
Position 9192: 0.01932057090925371
Position 987: 0.019004903109133168
Position 11413: 0.017433535560110923
Position 1489: 0.017244429039113683
Position 3023: 0.012656125407391179
Position 13763: 0.012527566558473166
Position 1314: 0.011034560616251089
Position 2472: 0.010942530229713523
Position 7501: 0.009260253455442
Position 2626: 0.009148289324734014
Position 1217: 0.008248309137675358
Position 9174: 0.006346186854803392
Position 181: 0.004929459470946414
Position 9168: 0.004790469535731159
Position 344: 0.0041481817729967585
Position 2335: 0.0016304491506369408
Position 13895: 0.001586261498180146
Position 177: 0.0014557634282541065
Position 992: 0.0012515400109038947
Position 851: 0.0007442019642572836
Position 364: 0.0006590195105970131
Position 854: 0.0005281105323654708
Position 306: 0.00047251939330033107
Position 1738: 0.0004440354189349039
Position 2285: 0.00041894291271700777
Position 2395: 0.0003152509903168608
Position 302: 0.00025229652786576493
Position 890: 0.0001740448815348176
Position 1049: 0.00016713623882308982
Position 581: 0.00013683557909301378
Position 1144: 0.0001005615209490394
Position 1065: 9.284796308356063e-05
Position 139: 7.606435641383052e-05
Position 85: 5.835486235994675e-05
Position 6309: 2.528125040770425e-05
Position 179: 2.0364914712072457e-05
Position 106: 8.690095419752366e-06
Position 443: 5.2923336642654655e-06
Position 669: 2.9387661554658942e-06
Position 1076: 2.0771977952993994e-06
Position 760: 1.2557975465555877e-06
Position 1002: 1.0910112627657407e-06
Position 616: 7.393751829625658e-07
Position 1007: 6.195075762289622e-07
Position 801: 2.4697087836021617e-07
Position 100: 1.5029614941659528e-07
Position 295: 1.3192135616252347e-07
Position 564: 1.2956760296448455e-07
Position 517: 1.195130320438858e-07
Position 8: 7.351285250175917e-08
Position 661: 5.708629077988153e-08
Position 485: 5.600291677886489e-08
Position 474: 1.1932055943302308e-08
Position 537: 1.0733287430719496e-08
Position 867: 9.36030942673428e-09
Position 975: 5.016047636767173e-10
Position 322: 1.5132519965752805e-10
Position 320: 6.8433672414143e-11
Position 396: 5.636411106955436e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11532: 0.971165164196231
Position 4297: 0.4549454156261631
Position 2532: 0.4167865123868611
Position 12896: 0.37413992037101806
Position 18374: 0.21548976973641257
Position 11318: 0.18445044332822225
Position 17441: 0.16345761022794994
Position 8355: 0.13979780575132242
Position 13847: 0.11780427028482067
Position 15975: 0.10132978232730992
Position 8408: 0.10099539791535177
Position 13798: 0.09235208800368418
Position 15838: 0.0605588956867361
Position 14484: 0.04972526055992583
Position 9030: 0.049219207542440004
Position 4214: 0.04642073896791483
Position 3291: 0.043126212429832285
Position 13750: 0.039853065376175376
Position 12268: 0.0367379838190336
Position 9282: 0.03562868644331455
Position 16993: 0.03483260143326131
Position 11824: 0.03459363607555778
Position 744: 0.03135225096550575
Position 2352: 0.02529658938337303
Position 14459: 0.020599711414194945
Position 13701: 0.020382265090259796
Position 4228: 0.020332619891509744
Position 12842: 0.019964505986355022
Position 11745: 0.019591805522356377
Position 6417: 0.016163867509344013
Position 880: 0.015777557445480806
Position 3145: 0.014448931870811421
Position 16463: 0.01396980979418109
Position 1180: 0.011968391927157892
Position 776: 0.010433827900673608
Position 7405: 0.009824610116246645
Position 4046: 0.009820837925678045
Position 1430: 0.007807873574643442
Position 1129: 0.00768159142741997
Position 2930: 0.006929950458917037
Position 6681: 0.006004289789685658
Position 4369: 0.005765627508366105
Position 12678: 0.005725032605204946
Position 2238: 0.0052022962204079865
Position 1216: 0.005074548369274246
Position 10979: 0.004730566536425808
Position 11785: 0.004688143474671632
Position 13679: 0.0037518661755735444
Position 13370: 0.0031652697459953636
Position 12040: 0.0027162904733125967
Position 1206: 0.002514329712853271
Position 2862: 0.0022381696032108007
Position 2769: 0.0020618674608734477
Position 3330: 0.001817776024617834
Position 3188: 0.0015906014290297667
Position 14130: 0.0013912557212965874
Position 4169: 0.001335395401400353
Position 2110: 0.0011185715552703267
Position 2196: 0.0011062811665588084
Position 2576: 0.0010951833381502689
Position 1246: 0.0008489859799575018
Position 4211: 0.0007017641887203293
Position 3148: 0.000624704915636911
Position 2427: 0.0005863222087051112
Position 965: 0.000553177276047747
Position 2424: 0.0005281032013318892
Position 4523: 0.0004536607168548845
Position 2373: 0.0004011204341823007
Position 2825: 0.0003798322781506325
Position 272: 0.00037869845946543164
Position 5091: 0.00036340945799505196
Position 833: 0.00036147910952682126
Position 2284: 0.000337588239482793
Position 5516: 0.00025889295026300217
Position 2751: 0.00024649302232105475
Position 3525: 0.0002464519924675993
Position 2451: 0.0002408374765761434
Position 1686: 0.00022002884400637267
Position 1305: 0.00020030606067628738
Position 443: 0.00019336665741254524
Position 7108: 0.0001638866539533936
Position 1472: 0.00016290797319755326
Position 3377: 0.00015297140701370498
Position 7088: 0.000150110670427684
Position 226: 8.673821610318943e-05
Position 2704: 6.646915691929324e-05
Position 2159: 6.618269605861691e-05
Position 1634: 4.268539926639896e-05
Position 474: 3.6875260663053054e-05
Position 1040: 3.0422093311366908e-05
Position 6191: 2.5281250407704267e-05
Position 5704: 2.5083370869457032e-05
Position 1297: 1.4661916347763371e-05
Position 1319: 1.2811895562735097e-05
Position 785: 1.009174426656676e-05
Position 1194: 9.220591143445665e-06
Position 2377: 9.02948576409415e-06
Position 1183: 8.840131393900978e-06
Position 1223: 8.63295523931058e-06
Position 1261: 8.195562612037831e-06
Position 1075: 7.379927825989449e-06
Position 4394: 5.603789358561256e-06
Position 2001: 4.45927799926078e-06
Position 1891: 3.935020033103946e-06
Position 2300: 2.220602483633774e-06
Position 1660: 2.3326016486750375e-07
Position 1131: 1.2851999794407431e-07
Position 595: 1.8230477646592273e-08
Position 629: 4.975867752032304e-09
Position 292: 4.269768035576773e-09
Position 888: 3.0828159568890197e-09
Position 493: 2.3859052971352773e-09
Position 500: 2.1032720412903545e-09
Position 581: 1.936224658581078e-09
Position 753: 1.8906787353759724e-09
Position 788: 1.889947292248006e-09
Position 821: 1.1954868225488903e-09
Position 600: 7.982620077588826e-10
Position 575: 3.8047593847454125e-10
Position 669: 2.9396240437657367e-10
Position 532: 2.5193640885280476e-10
Position 654: 2.421962219094575e-10
Position 839: 4.4565304421910054e-11
Position 497: 4.133261609389363e-11
Position 650: 4.12560610187993e-11
