Gene = FANCD2OS
index = 539
Annotated 5SS: [ 217 4034]
Annotated 3SS: [ 3448 26699]
SMsplice 5SS: [217]
SMsplice 3SS: [3448]
top_k =  500
Partition function (log Z): -16.22456181865394

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9698105529366617
Position 3658: 0.6887709713637543
Position 13366: 0.6196403854089425
Position 13979: 0.5757641801256634
Position 16686: 0.5107079863972185
Position 13669: 0.0887519775883776
Position 4782: 0.05401666421008828
Position 12022: 0.04487095028703736
Position 3619: 0.04176189110705704
Position 4197: 0.0353678216670057
Position 1791: 0.02746466625389741
Position 3585: 0.021838389885727224
Position 3718: 0.021322598416536193
Position 10808: 0.01658622044193387
Position 9988: 0.01658132942889967
Position 1578: 0.00882089935300155
Position 3209: 0.007218354407832042
Position 713: 0.006955920121312643
Position 12394: 0.005833469282981408
Position 171: 0.005011557394815176
Position 339: 0.003930682989015791
Position 745: 0.0027387678105573127
Position 425: 0.0024982416202396097
Position 1966: 0.0018785821242756063
Position 4034: 0.0015176620713971902
Position 2112: 0.001488962407497784
Position 384: 0.001390779073242752
Position 24: 0.001148678369072772
Position 1401: 0.0010972758699454234
Position 296: 0.001094064024915324
Position 3148: 0.0010122600468708677
Position 3598: 0.0009939676061070347
Position 1651: 0.0009121629223545618
Position 8: 0.0008526886668570867
Position 1088: 0.0007577647006999882
Position 1286: 0.0006110651556643872
Position 868: 0.0005796011392279421
Position 2109: 0.0005688988574634071
Position 343: 0.0005369991618890614
Position 260: 0.0005344872625420524
Position 1645: 0.0005017434894627589
Position 4575: 0.00046613217914524585
Position 3987: 0.000437482776832252
Position 4202: 0.0003955818674374611
Position 1580: 0.0003554227125894636
Position 1427: 0.00028854406781431835
Position 255: 0.0002609933549828459
Position 8951: 0.0002473182117860484
Position 395: 0.00019562355182206205
Position 208: 0.00014688889309248145
Position 62: 0.00014522480616613139
Position 502: 0.00011117120207678105
Position 3942: 0.00010665116977397643
Position 1122: 0.00010193311618259177
Position 164: 9.60945796807226e-05
Position 462: 8.354072104775723e-05
Position 439: 5.903676306642251e-05
Position 3606: 5.6667564227423306e-05
Position 1952: 5.226820637110599e-05
Position 1481: 4.785191293554349e-05
Position 238: 4.73573911487297e-05
Position 1970: 4.5198258735670486e-05
Position 2131: 4.3040334869327114e-05
Position 415: 3.8036783638455226e-05
Position 117: 3.3859769282034744e-05
Position 370: 2.418562211934443e-05
Position 529: 2.334353966616187e-05
Position 2325: 2.0364000566847896e-05
Position 2095: 2.031851174791709e-05
Position 1294: 1.9966066648615583e-05
Position 2194: 1.6363445475564642e-05
Position 1536: 1.6126523615986217e-05
Position 1668: 1.6057199301405365e-05
Position 1563: 1.301687603596474e-05
Position 38: 3.7524009418013213e-06
Position 534: 5.272375520297426e-07
Position 657: 4.91465421328893e-07
Position 466: 3.5228647724091795e-07
Position 1150: 1.690718699846583e-07
Position 1124: 1.5693229255138572e-07
Position 670: 1.464663913307881e-07
Position 262: 1.2790277595690303e-07
Position 1044: 7.197841720918302e-08
Position 1057: 7.3954245793880446e-09
Position 360: 7.10022928894256e-13
Position 363: 2.1996162281126817e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3448: 0.8514749588323668
Position 13860: 0.5970924908452415
Position 13340: 0.5694314885770182
Position 16551: 0.5482816996947428
Position 22991: 0.2770112950909549
Position 19845: 0.1831453717193196
Position 13084: 0.16755658785975505
Position 17899: 0.16593934299967744
Position 16766: 0.12088567304030248
Position 4663: 0.051122808409500516
Position 11970: 0.04670870599196461
Position 4114: 0.02670027614722834
Position 1329: 0.0199905459363824
Position 13437: 0.019259814002561805
Position 9840: 0.017009848470606208
Position 10733: 0.01687226632382881
Position 14314: 0.012535154257282424
Position 17214: 0.009814093598584499
Position 8058: 0.008361602190517759
Position 12635: 0.008211858904698038
Position 4117: 0.007676949676090225
Position 3064: 0.007382025200319166
Position 9134: 0.006781989809486266
Position 12254: 0.006412939060442106
Position 18057: 0.006206762062127972
Position 1668: 0.0040360197005978714
Position 1693: 0.003755946203218608
Position 1604: 0.0036851617874624214
Position 1935: 0.002882911168114113
Position 4659: 0.002540559903612182
Position 4639: 0.0021076735934121744
Position 3978: 0.001985190016999536
Position 617: 0.0015354118342826358
