Gene = RECK
index = 1127
Annotated 5SS: [  666 15891 22469 23723 27448 29192 44206 47130 51529 54911 64111 65798
 68851 71732 73647 76044 80745 82535 84304 85256]
Annotated 3SS: [15831 22393 23685 27361 29143 44171 46931 51260 54730 63897 65660 68709
 71542 73523 75871 80551 82323 84229 85099 86390]
SMsplice 5SS: [  201 15891 22469 27448 28265 29192 30438 32139 32475 47130 48916 51372
 54911 64111 65798 68851 71732 73647 74484 76044 80745 82535 84104 84304
 85256 86496]
SMsplice 3SS: [15831 22355 27361 28131 29143 30355 32015 32366 46931 48832 51260 54730
 63897 65660 68709 71542 73523 74343 75871 80551 82323 83873 84229 85099
 86390 87035]
top_k =  500
Partition function (log Z): -47.57902774800428

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.5325454587262384
Position 366: 0.3622707381878926
Position 594: 0.24345711486677685
Position 4474: 0.2077905613460779
Position 1106: 0.12352879372766076
Position 1846: 0.08780747160914215
Position 7394: 0.07661678310691969
Position 1875: 0.04072322915347895
Position 173: 0.03709204195400063
Position 666: 0.03638371543232936
Position 116: 0.03133535648346519
Position 1048: 0.030915757600320257
Position 9305: 0.03003941487880233
Position 5524: 0.017097927975719022
Position 196: 0.014693145932771424
Position 1137: 0.004500142325812637
Position 7663: 0.0036116070579022413
Position 394: 0.0033337406508025013
Position 68: 0.003143573972510861
Position 3902: 0.002690176425254032
Position 839: 0.0024740949434020484
Position 3031: 0.001708875380657438
Position 408: 0.0016492319144953988
Position 3278: 0.0016125398675325433
Position 1337: 0.0015491690440803312
Position 142: 0.0012690771055460974
Position 3643: 0.0011832986863329572
Position 50: 0.0007368865635778951
Position 750: 0.0006819523235601048
Position 875: 0.0003671976337189751
Position 1003: 0.000271572087534759
Position 252: 0.00024182511515520865
Position 688: 0.00023268095073689243
Position 104: 0.0002291012870128081
Position 884: 0.00020377265158924788
Position 1174: 0.00015395934063590857
Position 1414: 0.00010090487595101639
Position 801: 8.330441465370037e-05
Position 243: 8.317384142369832e-05
Position 897: 7.578540697355279e-05
Position 342: 7.06528290543678e-05
Position 306: 6.721976398630314e-05
Position 972: 6.0291136752167576e-05
Position 1349: 5.263484229864288e-05
Position 635: 4.431597019408028e-05
Position 575: 2.7053515056035907e-05
Position 822: 2.2367272765725294e-05
Position 186: 1.549407510890382e-05
Position 80: 6.525273865882561e-06
Position 205: 6.161321415716284e-06
Position 184: 3.461673678181826e-06
Position 526: 2.470605690896997e-06
Position 11: 1.2404231001575523e-06
Position 2662: 9.912550039669998e-07
Position 24: 4.6176264517676226e-07
Position 22: 5.686312078274064e-08
Position 165: 2.9645980766769974e-08
Position 626: 1.031997849264578e-09
Position 223: 6.686056036750054e-10
Position 314: 1.177703477376016e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 9181: 0.24800459616439915
Position 4168: 0.24634773429222032
Position 272: 0.23464433624159017
Position 7135: 0.18213106238053461
Position 965: 0.16448916231550423
Position 1766: 0.1565851780405962
Position 11856: 0.11736063217275451
Position 9553: 0.10168456941861057
Position 11819: 0.07562088039678005
Position 13653: 0.061095140941487665
Position 7202: 0.04072398958270786
Position 7561: 0.034661984148773105
Position 10537: 0.032919798639467084
Position 7519: 0.025005261234914738
Position 9401: 0.01601357680820197
Position 5312: 0.011615532663819815
Position 6182: 0.010976965100804871
Position 2792: 0.010531487945549884
Position 498: 0.010442464548330886
Position 7803: 0.009488620063416785
Position 5523: 0.009244332041790888
Position 2934: 0.00829732425099026
Position 441: 0.008040537614057626
Position 223: 0.007581396832261509
Position 5420: 0.005738888413791334
Position 5843: 0.005099473624249402
Position 5266: 0.0045425492724348
Position 7926: 0.004016354724198555
Position 3561: 0.0038974078163450062
Position 800: 0.003794571659743763
Position 3146: 0.003496487210543145
Position 507: 0.003326563154337549
Position 5363: 0.0031834627221778754
Position 3784: 0.0029734554746406574
Position 454: 0.0027521455005363633
Position 5333: 0.0026353429504627633
Position 7305: 0.0026010596019717274
Position 3021: 0.0024872979850767674
Position 1631: 0.002461380405019367
