Gene = FCER1G
index = 549
Annotated 5SS: [  74 2781 2980 3427]
Annotated 3SS: [2688 2943 3405 3583]
SMsplice 5SS: [  74 2781 2980 3427]
SMsplice 3SS: [2688 2943 3405 3583]
top_k =  500
Partition function (log Z): 0.7104493780299419

Sorted 5' Splice Sites (High to Low Probability):
Position 74: 0.8804373175100164
Position 3427: 0.7490528451537747
Position 2781: 0.5530526158747423
Position 2980: 0.38116965434604283
Position 2801: 0.29694106425660216
Position 3156: 0.23124614179048567
Position 2459: 0.17786334349247468
Position 3282: 0.17150240483891888
Position 3082: 0.13128504167023142
Position 1899: 0.1300084850256273
Position 2531: 0.12720820837265245
Position 2420: 0.11099814972821405
Position 3258: 0.08889047726020508
Position 3501: 0.08846008324885288
Position 179: 0.07840595125855579
Position 1977: 0.06575665135300343
Position 1862: 0.05468575450573596
Position 3001: 0.03035401222539974
Position 3471: 0.026441532186862404
Position 3303: 0.016232614165583498
Position 1479: 0.016041732365477887
Position 2057: 0.015228588361774122
Position 87: 0.013842213986181906
Position 3213: 0.013479841734659223
Position 158: 0.011248351701092835
Position 183: 0.010587920978974123
Position 1555: 0.009110775429104255
Position 3140: 0.008115627211913091
Position 2367: 0.0064408346443800436
Position 2068: 0.0049768341788230825
Position 2741: 0.004508220112123069
Position 1000: 0.004094520976071711
Position 1358: 0.004050008637335959
Position 1437: 0.003808846331984431
Position 957: 0.0037463985065888483
Position 2796: 0.0031072323883318273
Position 2326: 0.0029860275196305457
Position 3195: 0.002895690735600691
Position 175: 0.002101693153091712
Position 99: 0.0020056217599366557
Position 2063: 0.0019648374346343937
Position 1703: 0.0018963363389446748
Position 3704: 0.001478887617104885
Position 3336: 0.001304686055558904
Position 3526: 0.0012997735409282023
Position 3457: 0.0012022082135158764
Position 439: 0.0011394916275872717
Position 2386: 0.0006718727080838721
Position 3049: 0.0005876585954308481
Position 3643: 0.0004329961555675285
Position 2240: 0.0003573792401121291
Position 3210: 0.0003313819845178889
Position 1443: 0.0003302975502933412
Position 1441: 0.0002737780303583911
Position 3766: 0.0002592253449409909
Position 82: 0.0002546423172273949
Position 1832: 0.00024514488654028957
Position 1776: 0.00024447505648196593
Position 945: 0.00024353407204157727
Position 783: 0.00023051253784727222
Position 2950: 0.00022811937511101675
Position 1884: 0.00022759249825606034
Position 1981: 0.00019937500665770337
Position 823: 0.00019701571898665684
Position 1288: 0.00016070107116084235
Position 1803: 0.0001401523858141287
Position 3686: 0.0001401505723451496
Position 1439: 0.00012839772177564298
Position 3246: 0.00011353754592541575
Position 1169: 0.00010376125906840891
Position 1483: 6.926352073881519e-05
Position 3515: 6.636498451658351e-05
Position 1801: 6.607172055754275e-05
Position 1565: 6.045775814550132e-05
Position 951: 5.752870230363922e-05
Position 1845: 3.675053676745604e-05
Position 134: 3.51849610564217e-05
Position 2453: 3.513482508006551e-05
Position 3663: 3.286822171555848e-05
Position 1583: 2.7636894815295127e-05
Position 3805: 2.5668690740439034e-05
Position 3768: 2.5475377972091277e-05
Position 3789: 2.419997313053765e-05
Position 575: 2.2934214974620605e-05
Position 1447: 1.9833901719319555e-05
Position 573: 1.8485230018586548e-05
Position 778: 1.802805202229867e-05
Position 508: 1.1991192792919256e-05
Position 1422: 9.968971887533126e-06
Position 477: 9.733962172551794e-06
Position 1572: 8.805947643782147e-06
Position 752: 5.361492544702234e-06
Position 463: 1.3228411410858808e-06
Position 832: 1.256504990339565e-06
Position 3431: 1.2625414127084116e-07
Position 468: 7.404146846061884e-08
Position 121: 7.299391026836415e-08
Position 3369: 6.82674075132704e-08
Position 531: 6.04902646122882e-08
Position 488: 5.165805136107836e-08
Position 558: 4.381148242000102e-08
Position 40: 3.564064895686852e-08
Position 61: 2.60867331670712e-08
Position 115: 2.245335997936706e-08
Position 643: 8.613806018273926e-09
Position 423: 7.437708305202443e-09
Position 294: 4.329703667344833e-09
Position 147: 1.8076147057963281e-09
Position 209: 9.114541019307853e-10
Position 391: 8.073793950299637e-10
Position 691: 2.96325410839431e-10
Position 620: 2.631519503553783e-10
Position 37: 1.311301448981426e-10
Position 261: 9.434301701563278e-12
Position 246: 5.383416942871469e-12
Position 322: 6.092909469170091e-13
Position 347: 3.2222369925438385e-13
Position 332: 6.281642872333257e-14
Position 352: 4.30049589022975e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2943: 0.9716167310335019
Position 3405: 0.9465632820550385
Position 3583: 0.7452744996808411
Position 2688: 0.424973559669932
Position 2206: 0.32981006760415216
Position 1774: 0.26799661791173696
Position 2610: 0.18068890663389522
Position 2576: 0.14577643676111007
Position 3900: 0.0834196508234029
Position 2338: 0.0756770987616014
Position 2641: 0.07052588566113839
Position 3241: 0.06049457607446557
Position 3128: 0.040464270613391605
Position 3552: 0.04040208778120596
Position 2591: 0.023751823617588704
Position 3081: 0.01906577784074033
Position 1275: 0.014482227431300223
Position 3695: 0.012874073173119666
Position 1457: 0.009844150113654084
Position 3155: 0.009491522058953197
Position 2226: 0.008718233115361212
Position 2635: 0.008295741292679596
Position 1272: 0.008017159760439482
Position 2477: 0.00622091667784935
Position 725: 0.005259075119427094
Position 3104: 0.004817883496030496
Position 2500: 0.003868011275925319
Position 901: 0.0031332869956743285
Position 1965: 0.002798614312341662
Position 3344: 0.002273215950611628
Position 3851: 0.0016615981178360877
Position 1849: 0.0014560429666043025
Position 2239: 0.0013324183629586518
Position 3257: 0.0013316314240446815
Position 3811: 0.0012923490810895365
