Gene = CH17-140K24.5
index = 365
Annotated 5SS: [166]
Annotated 3SS: [4588]
SMsplice 5SS: [ 166 2415]
SMsplice 3SS: [2330 3005]
top_k =  500
Partition function (log Z): -8.845234614833839

Sorted 5' Splice Sites (High to Low Probability):
Position 4: 0.7767157817078737
Position 2415: 0.6456249123385559
Position 1340: 0.44437292636122894
Position 1769: 0.24252076692725572
Position 812: 0.19597921753853179
Position 1010: 0.07785563497039177
Position 1169: 0.07389397694124729
Position 1721: 0.0479654186948516
Position 2261: 0.03498100835170045
Position 2387: 0.03186697973235759
Position 2000: 0.02493135515232737
Position 3924: 0.01595068009085426
Position 1586: 0.012106194363868512
Position 170: 0.011655200882763466
Position 1977: 0.00941002392978058
Position 2606: 0.008543892278383206
Position 2345: 0.007774975968673347
Position 1816: 0.006268838005248276
Position 2294: 0.0056836781216183
Position 1895: 0.005399337507783045
Position 1781: 0.0025663355878934404
Position 614: 0.0020303950972946276
Position 1856: 0.0019914407614568448
Position 1049: 0.0011320910782728734
Position 1107: 0.0009511314005856812
Position 1079: 0.0008880978797880522
Position 1139: 0.0006725412934391523
Position 1220: 0.0006031270010944551
Position 289: 0.0003278845781020779
Position 497: 0.00027572702250995427
Position 1064: 0.0001354358469036523
Position 996: 0.00012589183555895242
Position 223: 0.00011554852197957661
Position 217: 0.00010217535214944173
Position 454: 0.00010036930323622027
Position 1547: 9.924821355715523e-05
Position 233: 7.734130009532922e-05
Position 1031: 6.207222567409857e-05
Position 780: 5.37657380778353e-05
Position 1504: 3.097661284451682e-05
Position 920: 2.9110235258613254e-05
Position 44: 2.8330545858991717e-05
Position 420: 2.7568398098061577e-05
Position 668: 2.7344010849785098e-05
Position 629: 2.551354061251945e-05
Position 105: 1.9503110476360935e-05
Position 875: 1.8555578809646006e-05
Position 452: 1.6617168521366082e-05
Position 10: 1.4525404767674196e-05
Position 295: 1.4092184903492713e-05
Position 8: 1.310362357129479e-05
Position 1148: 9.720515632358456e-06
Position 199: 9.007806057900762e-06
Position 70: 8.286494740279753e-06
Position 824: 8.219119453365933e-06
Position 853: 5.829882450560052e-06
Position 816: 5.584417863995811e-06
Position 1681: 2.2212792859966037e-06
Position 827: 5.434773932123358e-07
Position 715: 2.4229265686938946e-07
Position 307: 2.158861540209875e-07
Position 911: 2.0292277014956435e-07
Position 1319: 2.5280813643796557e-08
Position 185: 4.484528862794318e-10
Position 31: 3.461973288715507e-10
Position 176: 4.597233807954199e-11
Position 263: 7.587680336981664e-13
