Gene = GFM2
index = 587
Annotated 5SS: [  434  3692  6470  8003  8523 16004 16793 19680 21267 21694 25843 27383
 28870 29054 30576 34350 37112 41431 41732 44993]
Annotated 3SS: [ 3604  6384  7944  8424 15877 16703 19590 21205 21513 25761 27233 28728
 28953 30385 34272 36972 41244 41615 44809 45587]
SMsplice 5SS: [  434  3692  6470  8523 16004 16793 19680 20009 21267 25843 28870 29054
 34143 34350 36770 37112 37362 41431 41732 44993]
SMsplice 3SS: [ 3604  6384  8424 15877 16703 19590 19789 21205 25761 28728 28953 33998
 34272 36595 36972 37258 41244 41615 44809 45642]
top_k =  500
Partition function (log Z): 19.149874259909645

Sorted 5' Splice Sites (High to Low Probability):
Position 28870: 0.9946017943888128
Position 19680: 0.9846001302760675
Position 8523: 0.9697813240397639
Position 37362: 0.9489705713325839
Position 37112: 0.9416652297559792
Position 29054: 0.9414816372726248
Position 25843: 0.9393458668853631
Position 41431: 0.9174990739379941
Position 3692: 0.9059345829337302
Position 16793: 0.9003489558310559
Position 6470: 0.8839977643360022
Position 41732: 0.8509179937407827
Position 36770: 0.8431526281243203
Position 44993: 0.7668019299488094
Position 34350: 0.7208928834350808
Position 434: 0.6940477804398404
Position 21267: 0.6863158016852592
Position 16004: 0.6118888501648533
Position 34143: 0.5556027419708062
Position 30576: 0.508106588625165
Position 20009: 0.4391758305467806
Position 11378: 0.3672185510082695
Position 21087: 0.23906018359564862
Position 34354: 0.21665394333323554
Position 6164: 0.21027801539636315
Position 28548: 0.2005132512868738
Position 42043: 0.19858637743774818
Position 33312: 0.1918198195639661
Position 233: 0.18153574676728942
Position 13196: 0.1588905131786788
Position 42495: 0.1558853771174907
Position 8003: 0.1410543040252609
Position 27383: 0.14023671116887246
Position 41765: 0.1321924136054016
Position 19986: 0.12112561969464633
Position 4574: 0.11704827472907335
Position 2086: 0.10962718653094217
Position 26436: 0.1076011826653494
Position 760: 0.10608925074626406
Position 20107: 0.1044196663597526
Position 26297: 0.10227257279807116
Position 25650: 0.10193051447518263
Position 39033: 0.09814032036793774
Position 2013: 0.09603119080532493
Position 16009: 0.09553563367025542
Position 16321: 0.09086116545937445
Position 38105: 0.08917853188429478
Position 6975: 0.08719873222579815
Position 21694: 0.08184904777146035
Position 255: 0.08056684986341396
Position 17879: 0.08022238033608248
Position 33951: 0.07594260960159818
Position 872: 0.07333782399423983
Position 6699: 0.07299305466537755
Position 273: 0.06558323999404421
Position 39110: 0.062182434866730335
Position 25959: 0.059326845513757186
Position 16887: 0.055842909984905695
Position 398: 0.051229940518013814
Position 24976: 0.05051405063380892
Position 37658: 0.05021982050634979
Position 23254: 0.048740464412869236
Position 30671: 0.04703636536699659
Position 6736: 0.046989442116693876
Position 26914: 0.04371259235299114
Position 23576: 0.04017603213551641
Position 8057: 0.036904809768031614
Position 44997: 0.03682759519236885
Position 2337: 0.03292606701728341
Position 45769: 0.031853872830161875
Position 41450: 0.03111701558591443
Position 9511: 0.028572584365321185
Position 29108: 0.027818155266598046
Position 6970: 0.027393440288243278
Position 5931: 0.02425434450494882
Position 579: 0.02414474447607286
Position 26859: 0.023486679165023172
Position 3175: 0.022301488697699608
Position 36886: 0.02074357853336378
Position 9047: 0.020443385580658887
Position 17315: 0.020290972605841725
Position 17323: 0.019753635391271385
Position 1997: 0.019149933934747385
Position 8086: 0.019042777956779108
Position 28448: 0.018476928947118023
Position 7032: 0.018406686665583115
Position 33272: 0.018108309902523614
Position 43074: 0.018012457141615052
Position 29804: 0.017493683026043233
Position 27011: 0.01704723408228805
Position 21471: 0.016735396826243178
Position 39003: 0.01587638649279618
Position 12474: 0.015549551133349852
Position 4793: 0.015475797863275508
Position 18805: 0.01514158436519
Position 29022: 0.01395760927886035
Position 7672: 0.012202856489312044
Position 19891: 0.01148543090274113
Position 3180: 0.011409763477439482
Position 36197: 0.01048076264428696
Position 17499: 0.010317239889038635
Position 34802: 0.0096121855177439
Position 23345: 0.00917673124156469
Position 20153: 0.00900138217091819
Position 10062: 0.008715747927151941
Position 42071: 0.00830685348111151
Position 20208: 0.00813015251564681
Position 34323: 0.008121793981233468
Position 3678: 0.007979144099870737
Position 19265: 0.007856631494003945
Position 7455: 0.0073243203550359326
Position 37119: 0.007200599887095513
Position 1691: 0.007075735646548394
Position 6140: 0.006743770766636697
Position 29971: 0.006690484797402367
Position 30109: 0.006544523809305357
