Gene = SPRR4
index = 1324
Annotated 5SS: [29]
Annotated 3SS: [1204]
SMsplice 5SS: [29]
SMsplice 3SS: [1204]
top_k =  500
Partition function (log Z): -8.234793473370702

Sorted 5' Splice Sites (High to Low Probability):
Position 29: 0.7141336305631416
Position 1461: 0.17926399186414346
Position 184: 0.12420351876646929
Position 838: 0.08554133232776491
Position 411: 0.08081675083561402
Position 373: 0.07295946970596663
Position 339: 0.046138431484238636
Position 128: 0.022136083413091975
Position 1291: 0.021118949399695667
Position 1589: 0.016347736329561612
Position 224: 0.011507522284459157
Position 397: 0.006407604080426374
Position 1602: 0.004981646992325189
Position 1372: 0.0037242031464718235
Position 1304: 0.003627168837181327
Position 33: 0.0019924411294756786
Position 399: 0.0013873696846918263
Position 639: 0.001335051887846356
Position 248: 0.0006563285935846629
Position 974: 0.0005723127209360201
Position 616: 0.0005526495194424667
Position 1422: 0.00023649949002917627
Position 195: 0.00018186619640546495
Position 651: 0.00016059835669800395
Position 1682: 0.0001457120909678089
Position 1104: 0.00011971738884709518
Position 10: 6.814699511313575e-05
Position 140: 1.7133273358867504e-05
Position 149: 1.255169695138707e-05
Position 805: 9.218826967237868e-06
Position 1111: 5.321435496346042e-06
Position 1076: 3.4288153995315553e-06
Position 1337: 3.3594593224418257e-06
Position 313: 3.1462204877905404e-06
Position 1318: 2.2280631361210876e-06
Position 1361: 1.2361382396158576e-06
Position 278: 8.004815183035113e-07
Position 62: 5.963996768326413e-07
Position 19: 5.480173136092128e-07
Position 828: 1.6788959353145357e-07
Position 47: 1.614100338092699e-08
Position 331: 9.564198626419986e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1204: 0.805318627146227
Position 1545: 0.1762794692992719
Position 261: 0.12389462743086516
Position 1681: 0.08363215715958901
Position 1371: 0.05348509555674169
Position 396: 0.031169969569467215
Position 742: 0.028019021048028326
Position 1220: 0.02374922369277245
Position 1239: 0.013338231516258535
Position 224: 0.007894368923668082
Position 135: 0.007498891696986702
Position 1712: 0.006184585611643527
Position 96: 0.005483853457188389
Position 520: 0.004953377403984129
Position 1242: 0.0031674668790519023
Position 1236: 0.0030938772940655203
Position 442: 0.0026417972183389515
Position 1353: 0.0022325851053934267
Position 1586: 0.002005808648230308
Position 287: 0.001647391203037632
Position 338: 0.001457100617004298
Position 1396: 0.0013443816321756503
Position 699: 0.0011911733938211213
Position 1411: 0.001085912946849182
Position 373: 0.0010629326360906614
Position 284: 0.0009909647706645103
Position 614: 0.0009599116845158263
Position 265: 0.0007414064731473594
Position 599: 0.0005907171283292678
Position 1144: 0.0005335060896063126
Position 103: 0.0005301821603045362
Position 1049: 0.0005108615290758641
Position 268: 0.0004496926913070655
Position 1507: 0.0004171499629155487
Position 1754: 0.0003065539671328377
Position 1330: 0.00029615667084549873
Position 661: 0.0002934895221098909
Position 191: 0.00020585649109085134
Position 487: 0.00017151129060495588
Position 766: 0.00015845078681609674
Position 1272: 0.000145263938012091
Position 410: 0.00014192820290753912
Position 1377: 0.0001366138384326973
Position 1222: 0.00012188516389310612
Position 631: 8.674780932250348e-05
Position 651: 8.594209768165873e-05
Position 545: 7.844180606022996e-05
Position 1245: 6.672940820713876e-05
Position 784: 6.456441462633472e-05
Position 902: 5.9008844032895504e-05
Position 1432: 5.806613475991465e-05
Position 808: 5.7927855165533916e-05
Position 978: 4.550099047355425e-05
Position 1071: 4.13526945266361e-05
Position 316: 3.107780710827012e-05
Position 1332: 2.592813628339117e-05
Position 290: 2.4592472159164307e-05
Position 774: 2.169278085714742e-05
Position 528: 1.853596546266865e-05
Position 566: 1.8239747261130116e-05
Position 634: 1.567510829034883e-05
Position 549: 9.885293037593558e-06
Position 672: 8.729508914790577e-06
Position 1416: 8.080356369796239e-06
Position 377: 7.66756257168997e-06
Position 583: 5.679533004575917e-06
Position 109: 1.0175891538174594e-06
Position 149: 4.3368357383213437e-07
Position 195: 3.935210733988494e-07
Position 298: 2.852210472613536e-07
Position 140: 1.7684843177218139e-07
Position 306: 8.985357143304828e-08
Position 300: 2.297950354217279e-09
Position 326: 1.717806396946322e-09
