Gene = MTERF1
index = 890
Annotated 5SS: [ 64 666]
Annotated 3SS: [ 606 5955]
SMsplice 5SS: [  64 6854]
SMsplice 3SS: [6726 7151]
top_k =  500
Partition function (log Z): -8.301189018942363

Sorted 5' Splice Sites (High to Low Probability):
Position 6854: 0.6950245353570291
Position 3843: 0.631971571613654
Position 64: 0.5716679072902303
Position 6352: 0.3358048978777964
Position 81: 0.3313714451053249
Position 5639: 0.1799498723558445
Position 4732: 0.13915979107096055
Position 4236: 0.08476610986502851
Position 78: 0.059331972596327553
Position 5851: 0.04076540054472605
Position 666: 0.03944949995674795
Position 6126: 0.03615701951513194
Position 5535: 0.03243103442377529
Position 1108: 0.024344798375272102
Position 488: 0.020181116901828174
Position 4872: 0.02012128404271011
Position 733: 0.019328546072568724
Position 6395: 0.015991329170840778
Position 4726: 0.015069642745955915
Position 3796: 0.01322621044234991
Position 4019: 0.01096308727324706
Position 239: 0.005110823325528582
Position 6591: 0.004706184312763786
Position 2011: 0.0042532347027466975
Position 2733: 0.003160385181908236
Position 5383: 0.0021427466808440153
Position 4334: 0.002138726359403939
Position 196: 0.001431409045647525
Position 949: 0.0007562250796497572
Position 6862: 0.0006831620708517575
Position 2518: 0.000678998672793849
Position 1806: 0.0006102028557577655
Position 7548: 0.000583896565198763
Position 277: 0.0003600780435648699
Position 115: 0.0002861928695887785
Position 52: 0.00023952719579858282
Position 57: 0.0001771789162098136
Position 28: 0.00013361027597251967
Position 459: 0.00010314112672006468
Position 219: 6.961491716138681e-05
Position 524: 5.74225062103421e-05
Position 387: 4.384040950401894e-05
Position 967: 4.0516141955918025e-05
Position 119: 3.608358314472955e-05
Position 430: 3.585339534672104e-05
Position 307: 3.0124271619280624e-05
Position 438: 2.040610314659414e-05
Position 125: 2.03323179527611e-05
Position 121: 1.7551458500046003e-05
Position 807: 1.1025613847037368e-05
Position 396: 5.901950698155283e-06
Position 679: 4.230681468009322e-06
Position 89: 4.188757089345412e-06
Position 350: 3.086763382824337e-06
Position 730: 2.4730151805757193e-06
Position 134: 2.0024961565419888e-06
Position 212: 1.7421722884294142e-06
Position 44: 1.5646027047052683e-06
Position 402: 3.9321513335152645e-07
Position 107: 3.201842358203667e-07
