Gene = FYTTD1
index = 570
Annotated 5SS: [  325  6808 18838 20495 23750 24461 27252 28715]
Annotated 3SS: [ 6675 18688 20381 23652 24398 27176 28587 32060]
SMsplice 5SS: [  325  2595  6808 18838 20495 23750 24461 27252 28715]
SMsplice 3SS: [ 2517  6675 18688 20381 23652 24398 27176 28587 32060]
top_k =  500
Partition function (log Z): 5.363418745696869

Sorted 5' Splice Sites (High to Low Probability):
Position 18838: 0.9999999999999986
Position 28715: 0.9982481276544398
Position 6808: 0.9616465635153425
Position 2595: 0.8442767812206965
Position 27252: 0.8268630517617263
Position 23750: 0.8258889263743744
Position 20495: 0.8059690548347579
Position 24461: 0.621914858708595
Position 14241: 0.5298633625264577
Position 23479: 0.5280280843419386
Position 325: 0.4934268233090152
Position 134: 0.3783298952258232
Position 499: 0.37831127566286615
Position 1927: 0.36772166390522276
Position 32525: 0.34935425725876645
Position 1574: 0.29180249660458524
Position 27415: 0.26875094593615545
Position 32293: 0.23915615689558664
Position 1073: 0.22324176299848533
Position 3468: 0.16278572568597155
Position 27054: 0.15983069143162745
Position 16836: 0.13035458786654702
Position 7011: 0.10913271031276726
Position 3364: 0.09266781408047996
Position 7255: 0.09122516154283583
Position 1715: 0.08977555332492132
Position 32160: 0.07549494853612485
Position 32913: 0.056184359130626034
Position 2589: 0.05481450190287145
Position 1511: 0.054142606529831945
Position 18023: 0.053828323306753495
Position 28898: 0.05139301630280081
Position 8718: 0.046712057673304316
Position 29389: 0.04386657135192028
Position 29144: 0.043441621705784854
Position 242: 0.0419219346024475
Position 6821: 0.0380743978225339
Position 6085: 0.03776582260784361
Position 29359: 0.03287008381162481
Position 1545: 0.03268725806032205
Position 4421: 0.031368097719258616
Position 5401: 0.029740104909161298
Position 3108: 0.026747373840465903
Position 5425: 0.022562094097536758
Position 13889: 0.020354657089648075
Position 32774: 0.02025265220012584
Position 27082: 0.0197549805546928
Position 32551: 0.019474117341756702
Position 2093: 0.018380746585673756
Position 2720: 0.017970361129011524
Position 12210: 0.016678610307105685
Position 3771: 0.016314970769643857
Position 19032: 0.015383324700867429
Position 1589: 0.014501672776580644
Position 3231: 0.012791691627695882
Position 597: 0.012247566167317257
Position 27410: 0.011898764148002646
Position 14479: 0.010828080927930986
