Gene = KLF18
index = 748
Annotated 5SS: [2968]
Annotated 3SS: [3619]
SMsplice 5SS: [ 324 2700 2968]
SMsplice 3SS: [2582 2787 3447]
top_k =  500
Partition function (log Z): -3.438771650472073

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9461632781169542
Position 2700: 0.7002826043253689
Position 2391: 0.6663377752868777
Position 2139: 0.6456380606581882
Position 1425: 0.6012343121907613
Position 811: 0.4879069425635165
Position 1803: 0.46267643103376266
Position 555: 0.4181463557119252
Position 1147: 0.3812179598901966
Position 324: 0.37644569888873247
Position 769: 0.22724393840826831
Position 1677: 0.14739617615291545
Position 1567: 0.1464188181148984
Position 1105: 0.14353305983105938
Position 2155: 0.09690195761656868
Position 1189: 0.09366647118352532
Position 1441: 0.072027928371467
Position 607: 0.07029095503188196
Position 2517: 0.06073467285384773
Position 1231: 0.05285986048600952
Position 937: 0.04947641139096226
Position 112: 0.03924324246783787
Position 1819: 0.034619207408795774
Position 979: 0.0329060895893662
Position 1273: 0.03259845299980052
Position 1315: 0.020503378573330375
Position 1063: 0.01918080039174969
Position 3653: 0.01222105788621592
Position 1021: 0.009203009158189002
Position 280: 0.008907443234879608
Position 853: 0.006078712408566184
Position 2281: 0.005907859634521906
Position 2992: 0.004485329303846572
Position 3297: 0.0041681032579778
Position 185: 0.0030448547467451853
Position 895: 0.002142628171576793
Position 727: 0.0014733576885066352
Position 439: 0.0012015983242234878
Position 1483: 0.0008674462492256925
Position 3595: 0.0007348470596712952
Position 565: 0.0005810881033336815
Position 2407: 0.0005673163469869185
Position 589: 0.0003789717326499187
Position 3256: 0.00036949862618597087
Position 526: 0.00032337807925586135
Position 306: 0.0003021885510680149
Position 3586: 0.00030183432063304427
Position 2972: 0.000284373547280166
Position 544: 0.0002706281598984744
Position 1971: 0.00021793314170411187
Position 597: 0.00021437903308698758
Position 463: 0.00015170035526953656
Position 152: 0.0001459543927677726
Position 2533: 7.893329671621162e-05
Position 568: 7.179206182038092e-05
Position 484: 6.597353324538562e-05
Position 1987: 5.880761876375623e-05
Position 228: 1.4936569185147913e-05
Position 921: 4.492286845291176e-06
Position 374: 3.508342034693507e-06
Position 1693: 1.6927289198520672e-06
Position 2323: 7.500244045814853e-07
Position 2365: 7.468288882256178e-07
Position 357: 1.887070723562063e-08
Position 363: 4.891415740271081e-09
Position 10: 7.973755230408693e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2787: 0.46054380578008064
