Gene = C8G
index = 244
Annotated 5SS: [ 198  510  739  932 1306 1429]
Annotated 3SS: [ 372  667  823 1203 1389 1506]
SMsplice 5SS: [ 198  510  739  932 1306]
SMsplice 3SS: [ 426  667  823 1203 1389]
top_k =  500
Partition function (log Z): 6.88204134739295

Sorted 5' Splice Sites (High to Low Probability):
Position 739: 0.975573589926976
Position 932: 0.9617368901927889
Position 510: 0.9534461238486739
Position 1306: 0.9381286445411732
Position 198: 0.8939947205796851
Position 1429: 0.40995963118532713
Position 228: 0.06303391974711964
Position 1301: 0.05222385939992746
Position 322: 0.02274045001134606
Position 1517: 0.022448188503039722
Position 1008: 0.020112249152903133
Position 687: 0.007059784826150445
Position 214: 0.005427276981851615
Position 260: 0.004364582949610165
Position 291: 0.0023634507441431096
Position 490: 0.0022898932912373254
Position 1462: 0.002144230045782553
Position 204: 0.0012674344328247767
Position 1549: 0.0011473461950452346
Position 915: 0.0008152275396218871
Position 1323: 0.0005118554948976657
Position 1509: 0.00046383894591249
Position 246: 0.0003857474319373988
Position 234: 0.0003125518902298351
Position 1218: 0.00015170568953530724
Position 936: 0.0001428188300702327
Position 762: 0.00012889025383650885
Position 891: 9.588970504127023e-05
Position 1237: 9.201357693649845e-05
Position 494: 8.521165756263818e-05
Position 878: 8.18852883004979e-05
Position 361: 4.7583172492667036e-05
Position 463: 3.358680013299204e-05
Position 13: 3.2693244534309726e-05
Position 919: 3.226628351324942e-05
Position 952: 3.1817900427956e-05
Position 1241: 2.8822892806953354e-05
Position 296: 2.8337195903559776e-05
Position 1582: 2.673549781627011e-05
Position 714: 2.4211155049299564e-05
Position 1093: 2.1828461711081726e-05
Position 10: 1.6529278919000784e-05
Position 766: 1.4952574628052412e-05
Position 624: 9.729550156237362e-06
Position 1577: 8.829611998563282e-06
Position 1489: 7.605493413054887e-06
Position 514: 5.889764820699915e-06
Position 266: 5.831105410934266e-06
Position 1254: 4.026996864884812e-06
Position 1230: 3.666435854125293e-06
Position 602: 2.680799201429806e-06
Position 306: 2.392364752320967e-06
Position 1074: 1.9160803294483767e-06
Position 1310: 1.88063784124914e-06
Position 850: 1.8235588381219534e-06
Position 308: 1.5033189246486272e-06
Position 400: 9.926004867914395e-07
Position 237: 9.922561899213419e-07
Position 416: 8.857018000614498e-07
Position 35: 7.754816437456395e-07
Position 645: 6.719361476301436e-07
Position 630: 6.04200189625147e-07
Position 340: 1.8368192136651888e-07
Position 269: 1.5065958277983702e-07
Position 350: 1.4998861342989964e-07
Position 299: 1.3441970139969111e-07
Position 1312: 1.2611918666315708e-07
Position 394: 4.109251321397985e-08
Position 1433: 9.681435338174437e-09
Position 372: 1.868249267154013e-09
Position 642: 9.37710201827418e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9751295959607847
Position 667: 0.9690433008327856
Position 823: 0.9563619341528836
Position 1203: 0.6673015649519217
Position 426: 0.5728989842842
Position 1506: 0.3676526786909904
Position 372: 0.3665154226467092
Position 1150: 0.2952380413901237
Position 1175: 0.02574987740326081
Position 1637: 0.025416707086261977
Position 1666: 0.02536190251937806
Position 829: 0.020448969098066903
Position 1509: 0.017786577727823463
Position 1611: 0.01010909637396723
Position 340: 0.00550499438620924
Position 638: 0.005478152776822663
Position 474: 0.004827505298953456
Position 379: 0.004053614516140911
Position 615: 0.00392715131633819
Position 1668: 0.002708148884690746
Position 1407: 0.002356179980095186
Position 1152: 0.0019467702601423623
Position 429: 0.001751004639190021
Position 1104: 0.0016108715112957783
Position 1183: 0.0015904568659650517
Position 1533: 0.0012334518905708796
Position 686: 0.001184630992649247
Position 556: 0.0009200548544139041
Position 1642: 0.0009081908196142046
Position 432: 0.0008968080054427635
Position 838: 0.0008947060559869376
Position 864: 0.0005457367901606934
Position 1617: 0.0005404795900145463
Position 1440: 0.0005151021676938667
Position 1433: 0.0004928620671514375
Position 1577: 0.0004267302281532708
Position 1137: 0.0003905847137072322
Position 1539: 0.00038885578564829915
Position 1250: 0.00034122304780191497
Position 1222: 0.00025182537509095304
Position 1126: 0.0002329784101203263
Position 1364: 0.00020582213765343212
Position 1400: 0.0001823461025652252
Position 1412: 0.00017315217012246273
Position 311: 0.00014740793562841156
Position 1062: 0.0001252741467076304
Position 876: 0.00010641939071726463
Position 738: 9.960998188642047e-05
Position 1513: 9.607365037686657e-05
Position 1322: 9.117003682426762e-05
Position 711: 9.046093421544683e-05
Position 1059: 8.124871878615723e-05
Position 1673: 7.608994107880845e-05
Position 1549: 6.06042022136894e-05
Position 1301: 4.873997948739452e-05
Position 105: 4.299690143046599e-05
Position 447: 4.212665817316172e-05
Position 507: 3.992164520884523e-05
Position 1237: 3.8547993378381684e-05
Position 1489: 3.537622870342918e-05
