Gene = GOLGB1
index = 608
Annotated 5SS: [  124 18880 19891 20568 22843 27494 30110 31368 33019 34895 47275 49944
 56015 59086 68069 72471 72863 80544 81695 82280 84830]
Annotated 3SS: [18781 19737 20414 22713 27376 30001 31253 32615 34778 47159 49869 50825
 57173 67889 72304 72724 80399 81596 82144 84723 85140]
SMsplice 5SS: [  124 18880 19891 22843 29921 30110 31368 31763 33019 34895 49944 57238
 68069 72471 72863 80544 81695 82280 84830]
SMsplice 3SS: [18781 19737 22713 29815 29986 31253 31618 32615 34778 49869 57173 67889
 72304 72724 80399 81596 82144 84723 85140]
top_k =  500
Partition function (log Z): -10.875229643899221

Sorted 5' Splice Sites (High to Low Probability):
Position 34895: 0.9994323629103508
Position 22843: 0.9985028480544136
Position 31368: 0.9834476798785741
Position 30110: 0.9505614933463875
Position 31763: 0.8741114478309158
Position 29921: 0.7206978693896439
Position 33019: 0.7127106203136655
Position 19891: 0.7059171957992441
Position 124: 0.6790673834568586
Position 11120: 0.6162071995012754
Position 9710: 0.5515714457933247
Position 20568: 0.5375026457670501
Position 18880: 0.5138255106497083
Position 18908: 0.4847429041890171
Position 24725: 0.46198530004792826
Position 41977: 0.46068542272409363
Position 25794: 0.3704472629372736
Position 395: 0.3530356658248257
Position 20841: 0.26904542644568474
Position 30911: 0.25081418830679986
Position 2005: 0.22685829532791005
Position 24080: 0.22051200269653842
Position 32133: 0.2128119993783264
Position 23583: 0.15206646904421495
Position 33497: 0.1325220737039523
Position 4684: 0.11628500427191336
Position 13934: 0.11177254281066426
Position 31989: 0.07654634687695384
Position 9164: 0.07624258691411359
Position 30941: 0.061206245120753976
Position 859: 0.0605414873998064
Position 32831: 0.05919033186948164
Position 25777: 0.053290155161648964
Position 35880: 0.04984675434252617
Position 21938: 0.04724359326816178
Position 20833: 0.032886162066464414
Position 21987: 0.029668934856365424
Position 30070: 0.029320447313763192
Position 24544: 0.028773905036076762
Position 746: 0.02609046665947831
Position 30441: 0.022590246892108805
Position 27494: 0.02128781978458117
Position 30947: 0.020548552407626774
Position 30907: 0.015263834649042504
Position 971: 0.010679742942509896
Position 4742: 0.010172651434391708
