Gene = HMCES
index = 654
Annotated 5SS: [   66  1076 10158 11965 19696 23303]
Annotated 3SS: [  869 10013 11838 19513 23109 25748]
SMsplice 5SS: [   66 10158 11965]
SMsplice 3SS: [10013 11838 25748]
top_k =  500
Partition function (log Z): -14.38203410684602

Sorted 5' Splice Sites (High to Low Probability):
Position 10158: 0.9150756241005568
Position 11965: 0.7808390710274963
Position 1076: 0.684964594421555
Position 66: 0.383943566026493
Position 364: 0.2936616065365571
Position 3714: 0.28050025946288465
Position 14871: 0.15538735959952782
Position 372: 0.09507380132506048
Position 837: 0.07084548591017632
Position 43: 0.06981120223973458
Position 4300: 0.06639850621517476
Position 458: 0.05798370894215956
Position 24: 0.016134110319444776
Position 18256: 0.014753445946946145
Position 14334: 0.007780047379798624
Position 204: 0.006405742153327056
Position 3674: 0.004748211985085444
Position 478: 0.002740031986781011
Position 1003: 0.002196156589764664
Position 15970: 0.0017017701554664438
Position 1142: 0.001459385660707936
Position 11571: 0.0014213034727213478
Position 99: 0.0009454573211814368
Position 2793: 0.0006249455598351585
Position 2241: 0.0006212035339941994
Position 3997: 0.0005449116050026299
Position 465: 0.00040935614954636806
Position 2201: 0.00028747610564223454
Position 482: 0.00028200040952444894
Position 756: 0.0002539620356411129
Position 93: 7.767803286744779e-05
Position 284: 7.483121401902085e-05
Position 780: 5.845066848038801e-05
Position 685: 2.985135143317979e-05
Position 870: 2.7547642379690693e-05
Position 337: 2.1162448189999347e-05
Position 589: 6.192740469086577e-06
Position 521: 5.376689068224857e-06
Position 2670: 2.2824736118413306e-06
Position 33: 3.493521142734305e-08
Position 1999: 2.1719399483924162e-08
Position 1116: 1.3699571966662811e-08
Position 1137: 1.3255613562888878e-08
Position 759: 1.2479384131006111e-08
Position 535: 1.2331685547617936e-08
Position 727: 9.630563529111429e-09
Position 859: 9.39353347313362e-09
Position 227: 5.241018186734307e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 11838: 0.5728658333311448
Position 10013: 0.43607923954111216
Position 869: 0.345505914776118
Position 924: 0.3072327573005134
Position 17200: 0.29909309838246556
Position 9995: 0.2734131992600979
Position 9965: 0.20598848865603706
Position 14754: 0.16593548076334175
Position 25748: 0.16105236815330126
Position 3642: 0.1438768816940134
Position 11878: 0.1332893553196628
Position 3581: 0.12301409265875633
Position 11875: 0.09656015736274647
Position 18371: 0.09275667646714775
Position 21208: 0.06783960529012614
Position 18946: 0.06311993251955463
Position 17949: 0.044357438208141683
Position 17241: 0.0418980855203424
Position 4093: 0.04048578962958946
Position 14775: 0.020772554268449685
Position 16997: 0.019619979856282898
Position 21504: 0.019492295269443845
Position 14147: 0.016117169575688962
Position 12076: 0.015154116750679293
Position 955: 0.014284613902489234
Position 3540: 0.014019576257248636
Position 12049: 0.013711298949169694
Position 20836: 0.012236299885142249
Position 16035: 0.00986649781269655
Position 4197: 0.009545836165659016
Position 12675: 0.009328945236581548
Position 15863: 0.009251631409563045
Position 4219: 0.008352421062053444
Position 926: 0.008313797033250917
Position 19760: 0.007641715587977857
Position 19513: 0.007091591457215079
Position 14750: 0.00672813148977929
Position 12511: 0.00617981964268896
Position 12492: 0.005952822616758496
Position 4169: 0.00491252768297867
Position 15297: 0.004814633530641322
Position 12876: 0.0042431602551011695
Position 18517: 0.004195633962097587
Position 14399: 0.0035272745961875923
Position 3500: 0.0030807760826292046
Position 973: 0.0022024664132759245
Position 11465: 0.0021954425207033256
Position 13677: 0.0021460159705486326
