Gene = UFC1
index = 1527
Annotated 5SS: [ 369 3266 3566 3942 4460]
Annotated 3SS: [3197 3501 3864 4368 4659]
SMsplice 5SS: [ 319 3266 3595 3942 4460]
SMsplice 3SS: [3197 3501 3846 4368 4659]
top_k =  500
Partition function (log Z): 5.824139570420893

Sorted 5' Splice Sites (High to Low Probability):
Position 3942: 0.9567890387296517
Position 3266: 0.9342887582633845
Position 4460: 0.8908523746804813
Position 319: 0.6402298024391316
Position 3595: 0.6070136378002973
Position 3566: 0.33500522181803893
Position 195: 0.21871621114810122
Position 369: 0.12862824893583466
Position 98: 0.052345442296977136
Position 1833: 0.04524636387523786
Position 3740: 0.04347384776002519
Position 3270: 0.03218502710428109
Position 3287: 0.0308230795440614
Position 556: 0.016312633590787422
Position 1474: 0.014846367533287545
Position 1940: 0.013986903156101878
Position 1080: 0.009635466873736261
Position 19: 0.004751140570788672
Position 628: 0.004244765703380202
Position 4148: 0.004194758887588394
Position 2227: 0.003761017115433111
Position 1916: 0.0022239071841500973
Position 1162: 0.001630598985782669
Position 3689: 0.0015966423479445812
Position 106: 0.0015379907948921995
Position 3484: 0.0015038645136961576
Position 1017: 0.0013486768695919731
Position 288: 0.0013479302513231118
Position 3797: 0.0012056981514844273
Position 1320: 0.0011522287623954304
Position 3625: 0.001130459474243616
Position 2596: 0.0011066732346306004
Position 326: 0.0010460040967801476
Position 3936: 0.0009944360133943009
Position 330: 0.000992325280452059
Position 4055: 0.0008763536737771663
Position 3520: 0.0007776116225030986
Position 530: 0.0006654794567559945
Position 2137: 0.0006360204215697926
Position 3294: 0.0005819693555447809
Position 3502: 0.00049244068653427
Position 139: 0.0004885882629997688
Position 651: 0.0004796066924208147
Position 173: 0.000404825676283961
Position 4626: 0.0004008569316264201
Position 2729: 0.00039608494805951
Position 2233: 0.00030713194636016936
Position 2564: 0.00030695262010887347
Position 561: 0.0002813153783204802
Position 2354: 0.0002561067423822274
Position 4074: 0.0002497916841407901
