Gene = CHDH
index = 369
Annotated 5SS: [  308  5462 23085 23900 24744 25917 26859 27453]
Annotated 3SS: [ 5390 22322 23747 24613 25781 26715 27349 28194]
SMsplice 5SS: [  308 23900 24744 25126 25917 26859 27276 27453 33448]
SMsplice 3SS: [23747 24667 25095 25781 26745 27002 27349 33334 33608]
top_k =  500
Partition function (log Z): -22.908177167205807

Sorted 5' Splice Sites (High to Low Probability):
Position 308: 0.738948443962915
Position 720: 0.5489180134612952
Position 4527: 0.2803775953551917
Position 6810: 0.12473537525729092
Position 1678: 0.08222142891759998
Position 2946: 0.06447867322584305
Position 77: 0.04849151914179555
Position 4360: 0.042064516053862626
Position 217: 0.04011558649957535
Position 534: 0.02991917933240606
Position 726: 0.02807348981656456
Position 9088: 0.024673620168065732
Position 157: 0.021644813972819314
Position 5462: 0.01815358912243111
Position 7268: 0.013011047114210882
Position 3488: 0.011182897149429178
Position 782: 0.010286811438030598
Position 1548: 0.009324613101770449
Position 388: 0.009202774313606185
Position 2846: 0.009091599377474937
Position 590: 0.008392922392870516
Position 68: 0.008306219906990138
Position 3910: 0.007413185131508804
Position 1030: 0.005660902871762281
Position 4011: 0.0032008085917871625
Position 3441: 0.002895872555850648
Position 2355: 0.0028657924459482105
Position 1000: 0.001753915622514874
Position 525: 0.0011208354437289752
Position 3008: 0.001105765630716297
Position 2343: 0.0010743759218538498
Position 4849: 0.0009950973263484117
Position 569: 0.0008977339859117879
Position 223: 0.00031688499745015255
Position 1377: 0.0002559765082756599
Position 1180: 0.00023133583509205298
Position 460: 0.00020221487627715672
Position 1532: 0.00012333009418688965
Position 59: 0.00012014416251856257
Position 272: 5.952573545653147e-05
Position 312: 5.466681795534212e-05
Position 281: 1.778913292813644e-05
Position 3: 9.350066626441825e-06
Position 815: 8.922876890610903e-06
Position 1809: 3.427196394753314e-06
Position 667: 2.5914222458008823e-06
Position 298: 2.160963976555152e-06
Position 778: 1.741636898288593e-06
Position 171: 2.3243420407173297e-07
Position 898: 2.014008816721163e-08
Position 540: 2.0916269791270298e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 15209: 0.4000312164129945
Position 560: 0.335982613158332
Position 4272: 0.3357250616111135
Position 9197: 0.17957972472225842
Position 590: 0.14182508726169993
Position 6757: 0.10814125129333585
Position 8340: 0.05637196523867425
Position 14853: 0.0549062657539257
Position 5036: 0.049385923781201956
Position 4410: 0.04841494745102823
Position 6724: 0.04569114950840425
Position 1608: 0.04372857309059954
Position 2835: 0.043598079855297955
Position 8861: 0.039775927417223675
Position 1583: 0.031362937595628325
Position 4755: 0.029524390058402673
Position 4268: 0.026500028752452356
Position 5390: 0.02593371749862054
Position 7202: 0.025823834968160705
Position 624: 0.021025350259098463
Position 2838: 0.02027116270224202
Position 3359: 0.017023937224931746
Position 1449: 0.01345709840792314
Position 2715: 0.01055873788731553
Position 3767: 0.0088318625284471
Position 5302: 0.0073923772797360125
Position 2798: 0.007177740362511248
Position 5890: 0.006559525042905969
Position 594: 0.005756205833738518
Position 5824: 0.005750429777995417
Position 3476: 0.005527152123255881
Position 2090: 0.005394648050002603
Position 1354: 0.005035906822138785
Position 2639: 0.004491712328637287
Position 3932: 0.003589014877416347
Position 2392: 0.003338799263073557
Position 6185: 0.0029208893439951257
Position 2219: 0.0022557891670420835
Position 912: 0.0021386864081821308
Position 3223: 0.00176167627694654
Position 3373: 0.0017461960033632524
Position 603: 0.001658050697006503
Position 1329: 0.0016008743720437092
Position 4100: 0.001369249124713321
Position 950: 0.0013676084810338698
Position 1783: 0.001167352595984319
Position 973: 0.001061541016363012
Position 3080: 0.0010570711523115615
Position 2250: 0.0009217670956876171
Position 1732: 0.0008508148871859554
Position 1217: 0.0007661397074581313
Position 3686: 0.0007449469605098891
Position 4225: 0.0006884884009268201
Position 3564: 0.0006637801658390575
Position 815: 0.0005637259556746894
Position 4679: 0.00047201986978698317
Position 1477: 0.0004522131007180175
Position 3083: 0.0003958707052143093
Position 1087: 0.0003133719192060802
Position 2906: 0.0002695555965527954
Position 1587: 0.0002480067051566095
Position 831: 0.00021244691901874788
Position 343: 0.0001855556134395433
Position 932: 0.00015546946597615757
Position 2535: 0.00013914229250891927
Position 1026: 8.457921028368579e-05
Position 451: 7.917448611890812e-05
Position 690: 4.706572858249576e-05
Position 630: 3.525184206171526e-05
Position 346: 2.087150516069537e-05
Position 857: 1.398756684029562e-05
Position 2772: 1.1835639186012947e-05
Position 1179: 1.1821277578339573e-05
Position 1292: 9.891116760971233e-06
Position 889: 9.324068823326726e-06
Position 845: 9.199659554583769e-06
Position 1376: 7.228626601315246e-06
Position 954: 6.396706483142386e-06
Position 637: 6.263408016719699e-06
Position 1105: 4.356502717917564e-06
Position 667: 3.560540682932838e-06
Position 653: 3.2941566638999926e-06
Position 498: 2.579114110186151e-06
Position 1482: 2.575036761406394e-06
Position 363: 2.5472300378483043e-06
Position 515: 1.4552800063405104e-06
Position 189: 1.3659425958611294e-06
Position 794: 6.3683177854258e-07
Position 1457: 3.928586876732462e-07
Position 470: 2.456045962105311e-07
Position 1707: 2.3752939885752427e-07
Position 809: 1.4641862657705282e-07
Position 223: 8.549733751267137e-08
Position 387: 8.358996446223275e-08
Position 412: 7.057347914380457e-08
Position 529: 5.5387608361780544e-08
Position 712: 2.795335906578461e-08
Position 537: 2.296016636684556e-08
Position 191: 1.936842384917332e-08
Position 502: 7.90131095645034e-09
Position 298: 6.53735005618656e-09
Position 315: 5.85745089858053e-09
Position 480: 1.2663057031159499e-09
Position 370: 1.0707360873537522e-09
Position 372: 7.894537733667823e-10
Position 193: 6.654046469055008e-10
