Gene = IL17RC
index = 689
Annotated 5SS: [  536   637   978  1312  1512  3505  3872  6923  7194 11123 11389 11533
 12800 13052 13362 13846 15606 15761]
Annotated 3SS: [  614   824  1236  1401  3392  3826  6782  7133 11067 11206 11481 12753
 12929 13301 13796 15509 15721 15854]
SMsplice 5SS: [  323   757   978  1312  1512  3505  3716  3872  5584  6923  7194 11123
 11389 12800 13846 15606 15761]
SMsplice 3SS: [  614   824  1236  1401  3392  3583  3792  5446  6782  7133 11067 11206
 12724 13796 15509 15721 15854]
top_k =  500
Partition function (log Z): 26.17361163070536

Sorted 5' Splice Sites (High to Low Probability):
Position 11389: 0.9642732864169852
Position 1312: 0.9378221188963406
Position 3505: 0.9042665470454102
Position 12800: 0.889228725447791
Position 3872: 0.8703790330694915
Position 5584: 0.8618092011622429
Position 15606: 0.8519526971030126
Position 11123: 0.8227650816577382
Position 3716: 0.8170992763511907
Position 13846: 0.7841717290770418
Position 978: 0.7633493548019654
Position 323: 0.7506676124913929
Position 6923: 0.6135304799551538
Position 15761: 0.6115602882678052
Position 7194: 0.5800947295263378
Position 757: 0.5199866245344225
Position 1512: 0.5194806697850791
Position 13362: 0.4405491496508336
Position 1501: 0.42821277730187113
Position 536: 0.41872824844361645
Position 11533: 0.3961254845772948
Position 13052: 0.3051316482750082
Position 14168: 0.2506883231532587
Position 2829: 0.20039258452662403
Position 1014: 0.19164599578090002
Position 13240: 0.15795943603407403
Position 637: 0.1531756172557304
Position 11811: 0.1371635445518807
Position 14175: 0.12721646202260664
Position 9802: 0.12293964999164635
Position 6884: 0.11573480169752684
Position 3467: 0.07979598769403262
Position 3899: 0.07713507258145753
Position 11711: 0.06577216370378997
Position 9842: 0.06470458833399724
Position 13855: 0.05958722012195622
Position 7587: 0.04486525001407446
Position 7297: 0.042030693615357856
Position 3709: 0.0395114969741767
Position 6482: 0.03733187253899898
Position 3687: 0.03180310344563318
Position 11330: 0.03017590079498479
Position 13554: 0.03014425314119378
Position 13271: 0.02484606632992545
Position 7847: 0.021655708365202506
Position 1651: 0.021019883554111975
Position 16083: 0.02049186808626851
Position 3024: 0.01909894681684023
Position 5541: 0.018535550252394013
Position 13617: 0.018290521024261774
Position 12851: 0.017572561961959533
