Gene = TPK1
index = 1472
Annotated 5SS: [    87    494  70174 153145 187247 212888 244631 287563]
Annotated 3SS: [   434  70101 153074 187173 212791 244483 287450 382389]
SMsplice 5SS: [    87  11663  14979  18921  51704  70174  96781  97218  99900 113919
 133078 150695 153145 171519 184115 184373 187247 187567 197185 202994
 212888 229125 244631 287563 296794 304353 304990 320007 320222 377103]
SMsplice 3SS: [ 11559  14778  18819  51573  70101  96655  97106  99799 113774 132917
 150572 153074 171371 183950 184224 187173 187427 197091 202845 212791
 229002 244483 287450 296715 304227 304883 319951 320123 376995 382389]
top_k =  500
Partition function (log Z): -190.1924309785947

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.8729289420325483
Position 1142: 0.4394271859940338
Position 11663: 0.21524879676973624
Position 350: 0.11525761004500719
Position 1502: 0.04570549377560496
Position 8139: 0.04304826323233792
Position 8134: 0.017232388379721925
Position 751: 0.010035642703543408
Position 1937: 0.00753501078586076
Position 1547: 0.007533745665631571
Position 6782: 0.0045993587099908174
Position 6480: 0.003506777009787327
Position 494: 0.0032589449932752443
Position 1447: 0.0031829918369502253
Position 168: 0.00255856733237154
Position 6572: 0.0022802050769005276
Position 556: 0.0022090575085792936
Position 161: 0.002083230771010524
Position 370: 0.0019467887208005237
Position 150: 0.0018650502103181193
Position 3018: 0.001539373786888599
Position 1597: 0.0014879472231576396
Position 91: 0.0014458558674043628
Position 1167: 0.0012805159215913884
Position 1093: 0.0010822070529194511
Position 841: 0.0009122386604205932
Position 1743: 0.0007296256688093738
Position 253: 0.0006188108306809419
Position 702: 0.0006142168212033341
Position 858: 0.000576244665315483
Position 374: 0.0003527239688630149
Position 290: 0.00028986370258421673
Position 1237: 0.00025861417799253515
Position 514: 0.00024086124564018876
Position 625: 0.00020329679239288332
Position 258: 0.00019298546565083412
Position 600: 0.00014855531726630693
Position 1303: 0.00014520406955262756
Position 728: 0.00014250859240010947
Position 320: 0.00012863818547252293
