Gene = ZMAT2
index = 1601
Annotated 5SS: [ 145  579 1796 3658 4238]
Annotated 3SS: [ 484 1671 3583 4091 5278]
SMsplice 5SS: [ 145  579 1796 3658 4238]
SMsplice 3SS: [ 484 1671 3583 4091 5278]
top_k =  500
Partition function (log Z): 8.817562671683259

Sorted 5' Splice Sites (High to Low Probability):
Position 4238: 0.9973714052937779
Position 1796: 0.9923245963960493
Position 145: 0.9701224969001427
Position 579: 0.895498478841656
Position 3658: 0.6248219258137253
Position 3883: 0.22448509209976794
Position 3671: 0.22286662041026742
Position 752: 0.13815839320300752
Position 1579: 0.09537952448404483
Position 2775: 0.0753858363720729
Position 608: 0.018934476497067906
Position 5474: 0.01688561390273576
Position 302: 0.016582696922457608
Position 3707: 0.015763959206382672
Position 5509: 0.011835615949286523
Position 3259: 0.01122770959096135
Position 5476: 0.006719119961975601
Position 5472: 0.006660794723725059
Position 2697: 0.006515536362837316
Position 266: 0.006317889123899919
Position 5480: 0.005866660984763545
Position 5478: 0.005787820419137503
Position 675: 0.00472862592403355
Position 2121: 0.004614567414365491
Position 641: 0.00450748053646113
Position 2113: 0.0036362504044042663
Position 169: 0.003412152194341199
Position 1952: 0.003384266742121667
Position 583: 0.003160840217191116
Position 1324: 0.0029883263829514994
Position 742: 0.002381229602098738
Position 3994: 0.002289984817966861
Position 3769: 0.0019978633756735343
Position 2967: 0.0019361697501380911
Position 1725: 0.0017008314660043253
Position 149: 0.0015770243934277938
Position 1415: 0.0015401300801802973
Position 3136: 0.0015385677667768803
Position 653: 0.0013115154545774845
Position 3725: 0.001299008661003259
Position 5604: 0.0011644840923105881
Position 3384: 0.0010989340219403898
Position 3180: 0.0009876852931207886
Position 1383: 0.000961182134052381
Position 2369: 0.0008373070860265575
Position 3034: 0.000670209672843123
Position 4145: 0.0006476730914506219
Position 4557: 0.0005469815698182448
Position 1483: 0.00046574046518161406
Position 878: 0.0004259440753708628
Position 179: 0.00039171991626787685
Position 1994: 0.00036502073986083023
Position 1879: 0.0003588288350598613
Position 3878: 0.00034614726999985195
Position 4010: 0.0003362497809205426
Position 5210: 0.0002626121118886967
Position 4694: 0.00026022839604145824
Position 4781: 0.0002529332998249998
Position 1151: 0.0002516940015841312
Position 5487: 0.00024622861028754394
Position 4468: 0.000245336847908924
Position 3357: 0.00024021193442280887
Position 2779: 0.0002384761728273877
Position 1302: 0.0002378318177994577
Position 1543: 0.0002336008575312763
Position 5378: 0.00023286755516106368
Position 3778: 0.00022303496233649784
Position 6090: 0.00020517303969310607
Position 282: 0.0001994829129611674
Position 1221: 0.00019069942407128342
Position 260: 0.00018966928325839626
Position 1086: 0.00018231624548511785
Position 2335: 0.0001772124298489155
Position 5484: 0.00017624745824148925
Position 3935: 0.00017117944867615635
Position 2389: 0.00016320335578020453
Position 320: 0.0001414691432707739
Position 5949: 0.00012833957115249118
Position 4019: 0.00012622539950608456
Position 1912: 0.0001221484838215229
Position 1082: 9.360217329628458e-05
Position 3678: 9.207818679303726e-05
Position 4902: 8.020800680274798e-05
Position 5431: 6.524450987474788e-05
Position 151: 6.455144502402394e-05
Position 3966: 6.204883389030041e-05
Position 1465: 5.821081762140074e-05
Position 711: 5.547365943212312e-05
Position 132: 4.5469678465219296e-05
Position 1070: 4.430603329185919e-05
Position 883: 3.9357197463833895e-05
Position 1550: 3.798080530822299e-05
Position 1047: 3.510190874406132e-05
Position 756: 3.204034220316893e-05
Position 838: 3.0524146491436685e-05
Position 329: 2.888926207302139e-05
Position 121: 2.6278223911772527e-05
Position 888: 2.2205596216503883e-05
Position 156: 2.213084498979062e-05
Position 511: 1.9388455869821297e-05
Position 1264: 1.716883842106282e-05
Position 864: 1.5733151931097413e-05
Position 154: 1.272469932665045e-05
Position 673: 1.1198675748343079e-05
Position 2382: 9.03254185873564e-06
Position 690: 8.820272635224108e-06
Position 1024: 8.500586374601178e-06
Position 422: 8.296972009096953e-06
Position 4244: 6.875008370193875e-06
Position 189: 6.211033325507841e-06
Position 306: 6.207113995408907e-06
Position 4163: 6.138547028978523e-06
Position 4603: 4.728526352484219e-06
Position 4341: 4.725263329232473e-06
Position 4763: 2.536914310618254e-06
Position 2586: 1.5684307461705804e-06
Position 1478: 1.2589483258434957e-06
Position 2635: 1.0289918181248357e-06
Position 4723: 8.91990600709979e-07
Position 1149: 8.387132172883983e-07
Position 5110: 3.934348501623595e-07
Position 335: 3.470655198357689e-07
Position 4748: 3.172579151141655e-07
Position 647: 2.3892725094679957e-07
Position 396: 2.2969727937479548e-07
Position 4352: 1.8909434350926063e-07
Position 12: 1.193716992971259e-07
Position 1959: 9.245499705618336e-08
Position 1214: 8.595998643979177e-08
Position 1758: 3.185006457599987e-08
Position 360: 1.4092485003975836e-08
Position 23: 1.1764596640171411e-08
Position 352: 3.961679668312302e-09
Position 365: 1.947247929586269e-09
Position 1869: 4.633250915241787e-10
Position 1623: 1.632325687597668e-10
Position 94: 1.4572818790602234e-12
Position 391: 1.9014842929309846e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1671: 0.9722797998660037
Position 484: 0.9603445905791101
Position 4091: 0.8942343075737478
Position 3583: 0.7855678065325137
Position 5278: 0.6769506724251262
Position 3815: 0.13055623446356046
Position 4144: 0.09570814387949594
Position 4336: 0.09011141403723251
Position 3563: 0.08856624270476246
Position 6161: 0.08348023165961262
Position 710: 0.07784693335390418
Position 3759: 0.07584171120114855
Position 1561: 0.07087428579575179
Position 4391: 0.04572886530790253
Position 6120: 0.033664146781932
Position 2687: 0.03011378872085574
Position 2523: 0.02758019846232446
Position 438: 0.023520264017195334
Position 6190: 0.02174701958948353
Position 5634: 0.02105339061107027
Position 5281: 0.0182259449221407
Position 1322: 0.016738223469756192
Position 4507: 0.015124250780250837
Position 1448: 0.01450492382226586
Position 2527: 0.010356550232942009
Position 6048: 0.009513628858316152
Position 2931: 0.008828185074305467
Position 5983: 0.008536462493824391
Position 4096: 0.008157128781139014
Position 4441: 0.00804047702677805
Position 1415: 0.00632900514327418
Position 1863: 0.005709145402576746
Position 3834: 0.005592591946180176
Position 2658: 0.005482483305094769
Position 1951: 0.005092898800615825
Position 5827: 0.004886674368459119
Position 2620: 0.004283953967876781
Position 2952: 0.0036646075913973836
Position 1178: 0.0032991826858501188
Position 3135: 0.002784433000381214
Position 4875: 0.0026974799983607444
Position 1291: 0.0026547112748943344
