Gene = RP11-544M22.13
index = 1176
Annotated 5SS: [   65 16195 17557 17935 37660 37925 38314 38799 39069 39305 39549 39902]
Annotated 3SS: [16116 17456 17831 37590 37816 38166 38595 38965 39196 39535 39852 40037]
SMsplice 5SS: [   65   394  1032 17557 17935 25119 25446 29121 37660 37925 38314 38799
 39069 39305 39549 39902]
SMsplice 3SS: [  270   788 17456 17831 24993 25213 29009 37590 37816 38166 38595 38965
 39196 39535 39852 40037]
top_k =  500
Partition function (log Z): -21.803537502546977

Sorted 5' Splice Sites (High to Low Probability):
Position 1032: 0.867546551813106
Position 394: 0.8334092833270188
Position 65: 0.6939248766540702
Position 200: 0.2830422441501824
Position 420: 0.04313823137354197
Position 1042: 0.028133541724041228
Position 1527: 0.02639469170258849
Position 1339: 0.023175304959560515
Position 1248: 0.022387645855501473
Position 1229: 0.015879101400792708
Position 1637: 0.012235182670528843
Position 446: 0.00503943719865728
Position 1165: 0.004691940026919073
Position 1314: 0.004206480735926072
Position 1768: 0.0027535034129430543
Position 1151: 0.0026053037871263222
Position 1742: 0.002564153188773859
Position 750: 0.002056991286940648
Position 1659: 0.0018059373999102777
Position 870: 0.0017150985958583188
Position 401: 0.0013098044181696006
Position 336: 0.001208935790197217
Position 971: 0.0010252941747287859
Position 1062: 0.0009314483240743578
Position 5789: 0.0007902904691175861
Position 437: 0.000722073632070014
Position 102: 0.00066073833887464
Position 718: 0.0006044450622093696
Position 93: 0.0004984376410649987
Position 537: 0.0004136885888934563
Position 111: 0.00033308657596663963
Position 715: 0.0002283207071483959
Position 722: 0.00014581079252044775
Position 744: 0.0001246555617868453
Position 1272: 0.00012214579078211136
Position 1471: 9.007239067210454e-05
Position 876: 5.899357512803147e-05
Position 884: 5.864409420432446e-05
Position 423: 2.9235207415385425e-05
Position 503: 2.635983177264504e-05
Position 868: 2.006211685909797e-05
Position 1334: 1.9524399226392733e-05
Position 163: 1.9330870183599863e-05
Position 129: 1.6576133824373995e-05
Position 40: 1.4732237400870394e-05
Position 1531: 1.3108983403826755e-05
Position 279: 1.2444211037939404e-05
Position 134: 1.1547956760788056e-05
Position 1332: 8.333808291473514e-06
Position 1451: 3.509890504534215e-06
Position 1231: 3.389182435596843e-06
Position 588: 3.2753510574214906e-06
Position 1016: 2.944659661164733e-06
Position 698: 1.9765082653142724e-06
