Gene = ZBED8
index = 1588
Annotated 5SS: [459]
Annotated 3SS: [4557]
SMsplice 5SS: [459]
SMsplice 3SS: [1566]
top_k =  500
Partition function (log Z): -12.088014940734551

Sorted 5' Splice Sites (High to Low Probability):
Position 459: 0.49339789204458756
Position 1353: 0.366307902511201
Position 1118: 0.30281569058024727
Position 789: 0.1615416433355252
Position 1104: 0.11085593039538903
Position 512: 0.10705318563689352
Position 388: 0.0544874565607919
Position 463: 0.027205325148780383
Position 82: 0.026112002954674536
Position 2656: 0.02293629862420036
Position 397: 0.02262652431190623
Position 454: 0.013708906503041879
Position 133: 0.005019436710767752
Position 2982: 0.003983704774363191
Position 615: 0.003599669948927011
Position 1766: 0.0035931132655058844
Position 163: 0.0019145781400762424
Position 1158: 0.0015557817028921735
Position 375: 0.0013597448124576764
Position 502: 0.0012605567139260716
Position 203: 0.0009824164575701767
Position 1327: 0.0008305682587900894
Position 353: 0.0007566068815296093
Position 3335: 0.0006535206666043677
Position 704: 0.0006052266111367273
Position 621: 0.0005806607035121491
Position 608: 0.0005104276801651377
Position 1322: 0.000348042115743119
Position 718: 0.0003247046496296306
Position 1172: 0.00018843814951360104
Position 1722: 0.00017479565717044084
Position 1100: 0.00016818674481474324
Position 1410: 0.0001405567797627417
Position 1015: 0.00012047093827716387
Position 1502: 0.00010622840512609526
Position 1023: 9.571035537683572e-05
Position 1108: 7.573910695174259e-05
Position 242: 6.156295336922596e-05
Position 939: 3.4199925947837165e-05
Position 795: 2.8732696746218184e-05
Position 554: 2.7117800910822842e-05
Position 736: 2.6083191201051937e-05
Position 153: 2.4279291887134125e-05
Position 986: 2.283003800732112e-05
Position 85: 1.960118083460388e-05
Position 300: 1.943257913991901e-05
Position 697: 1.766586117324278e-05
Position 1122: 1.552905187873042e-05
Position 1168: 1.4145871098183475e-05
Position 3151: 7.959937256237491e-06
Position 689: 6.083051604722501e-06
Position 539: 5.16369018795883e-06
Position 571: 3.710996382243827e-06
Position 21: 1.17115673765268e-06
Position 411: 1.0442560660927558e-06
Position 1450: 4.592324054257182e-07
Position 516: 3.571236754596044e-07
Position 1110: 1.1502726334399174e-07
Position 1285: 8.585848978564504e-08
Position 1013: 3.2414158093810082e-09
Position 793: 1.8354871997553222e-10
Position 468: 4.443244502512618e-11
Position 330: 4.91957986379626e-12
Position 365: 7.569597200360258e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1566: 0.6499749372189012
Position 1278: 0.37119583499346526
Position 884: 0.2659185713719494
Position 642: 0.08187530516520519
Position 4557: 0.051876095136329355
Position 2737: 0.03879646922468338
Position 3404: 0.03805509544777131
Position 2581: 0.03415546739004248
Position 5354: 0.01717754272455173
Position 1039: 0.016777493332341617
Position 1008: 0.015540372990227314
Position 3250: 0.015143854216342453
Position 2382: 0.012315360395226157
Position 5900: 0.010228200210765339
Position 2401: 0.010171620484328474
Position 986: 0.009033934253107221
Position 1562: 0.008997519868908788
Position 2599: 0.008410604421114057
Position 3052: 0.008367437111907782
Position 5915: 0.006825172197893295
Position 5542: 0.0063858113193394446
Position 675: 0.0052758117362033214
Position 4615: 0.003999984686008749
Position 2642: 0.003466136909057233
Position 5939: 0.0032529704580086987
Position 5835: 0.0027119682605598284
Position 955: 0.002687756360343372
Position 897: 0.002558680721296634
Position 6903: 0.0025143585479850544
Position 2883: 0.002476619008286174
Position 2361: 0.002424982292178554
Position 321: 0.0022347145765786894
Position 5239: 0.002061688138001355
Position 2539: 0.0017663410700063137
Position 1526: 0.0017436527983426696
Position 4132: 0.0016927257561100135
Position 5052: 0.0015741583080412802
Position 717: 0.0014649344340315023
Position 1545: 0.0014159349470276392
Position 2912: 0.0014064482060931049
Position 4383: 0.0013724228323390602
Position 6069: 0.0013661195047531645
Position 4512: 0.001217711977075116
Position 2753: 0.0010319688818434642
Position 1638: 0.0010129764137272298
Position 324: 0.000985845442625379
Position 1843: 0.0009856428273861105
Position 1187: 0.0008302311293043334
Position 2702: 0.0006289519229874863
Position 2227: 0.0004581958646943796
Position 1307: 0.0004316832655044111
Position 458: 0.0004316020542693578
Position 921: 0.0003977350737651691
Position 2282: 0.0003965859036909695
Position 4152: 0.0003478884339469572
Position 1460: 0.00034197907466569524
Position 483: 0.0003326618344349392
Position 1765: 0.0002578084091094484
Position 3127: 0.00024674056017072015
Position 1711: 0.00021510386704976832
Position 375: 0.00017865260509600963
Position 906: 0.00015074527851351123
Position 254: 0.00014319048301823664
Position 1132: 0.00013607423833459219
Position 2019: 0.00012642663714377812
Position 1061: 8.922859628016567e-05
Position 1108: 8.0620441697297e-05
Position 536: 4.816708442177256e-05
Position 1046: 3.263743945299639e-05
Position 462: 2.4402203451136148e-05
Position 711: 1.3070780475225408e-05
Position 516: 1.066549872279911e-05
Position 563: 1.0083060273650378e-05
Position 349: 5.90843723458023e-06
Position 387: 5.5774916411721756e-06
Position 176: 4.675375435584201e-06
Position 267: 4.2244349090678305e-06
Position 491: 3.539058690088309e-06
Position 1066: 3.0073446539176366e-06
Position 725: 2.9934563021599824e-06
Position 793: 2.823746688936946e-06
Position 501: 2.768150641577163e-06
Position 682: 2.1358631051677935e-06
Position 524: 2.020288384520168e-06
Position 190: 1.3805207351205422e-06
Position 552: 1.3232657150110842e-06
