Gene = CAMLG
index = 275
Annotated 5SS: [ 292 3023 5552]
Annotated 3SS: [ 2561  5485 12257]
SMsplice 5SS: [292]
SMsplice 3SS: [13203]
top_k =  500
Partition function (log Z): -7.827205003290922

Sorted 5' Splice Sites (High to Low Probability):
Position 292: 0.9996380315213378
Position 5552: 0.5386808323639435
Position 2702: 0.2454828816081799
Position 10287: 0.08468495196275673
Position 1328: 0.0332378741997706
Position 3023: 0.026678262041590666
Position 1670: 0.010782471816860437
Position 878: 0.009811848685150996
Position 3430: 0.008608665631306604
Position 3455: 0.008337449467059754
Position 615: 0.006062130766808168
Position 1064: 0.00565696921542298
Position 893: 0.00128714964923374
Position 919: 0.0012361529985300216
Position 673: 0.0009702893863105914
Position 887: 0.0007925041114079143
Position 1232: 0.0007680481866596151
Position 1518: 0.000620103713281538
Position 505: 0.0005937312696744169
Position 2436: 0.0004703603534836033
Position 181: 0.0003434459698220964
Position 1672: 0.00011472163537172104
Position 2660: 9.752489575873006e-05
Position 2642: 9.10823556810433e-05
Position 553: 6.284286563332654e-05
Position 680: 4.951928709008923e-05
Position 2652: 2.4636631284127074e-05
Position 2505: 5.899651174440831e-06
Position 797: 1.9461201850412096e-06
Position 315: 1.507122968772407e-07
Position 430: 1.3209380530580605e-07
Position 345: 1.0833206037108671e-07
Position 735: 7.968863486973495e-08
Position 1182: 4.301359365993733e-08
Position 125: 1.4929897249980856e-08
Position 8: 3.9192845820921965e-09
Position 165: 3.1493098658238697e-09
Position 108: 3.0680415760946856e-09
Position 709: 2.0703066584532823e-09
Position 214: 1.4425770016195111e-09
Position 199: 1.4037460698500817e-09
Position 442: 1.0732870132048261e-09
Position 744: 1.0723859433936757e-09
Position 185: 5.94640008490827e-10
Position 15: 5.062886662142066e-10
Position 473: 3.851533293190982e-10
Position 52: 2.3945543176400565e-10
Position 135: 5.733799210400094e-11
Position 695: 4.964366361109166e-11
Position 558: 4.563931117493241e-11
Position 416: 3.4451549783595416e-11
Position 466: 2.5015311320561864e-11
Position 612: 2.25673930761833e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5485: 0.4390431688960308
Position 2561: 0.23506170955694503
Position 13203: 0.22241265812294986
Position 12257: 0.2058635370468964
Position 13224: 0.1429421062092206
Position 12726: 0.11731333763781315
Position 5415: 0.0675206359059865
Position 10164: 0.06365736556948716
Position 8005: 0.052556634231241316
Position 11002: 0.04843008655304494
Position 5394: 0.040748389504716966
Position 10214: 0.029431211607300625
Position 3241: 0.02423231480558002
Position 10189: 0.0203663276260953
Position 10587: 0.019039774097132457
Position 1399: 0.018832975485097436
Position 12943: 0.018416799531260693
Position 2564: 0.01826538142569506
Position 1215: 0.01754406951992495
Position 2964: 0.013578726200295875
Position 1259: 0.013549480724979322
Position 11210: 0.013262440604026145
Position 4922: 0.012687473862039425
Position 462: 0.007232967659735445
Position 531: 0.00649297171550102
Position 2638: 0.006062248684219645
Position 826: 0.005959623513785995
Position 695: 0.005555517163887835
Position 9382: 0.0053346316386410145
Position 582: 0.004064231427461868
Position 8872: 0.004027576343417324
