Gene = RABL3
index = 1110
Annotated 5SS: [   76 11842 32758 36538 44115 48385 52089]
Annotated 3SS: [11749 32627 36422 43963 48312 52049 52648]
SMsplice 5SS: [   76 11126 11842 24006 29996 32758 36538 44115 48385 48812 49046]
SMsplice 3SS: [11021 11749 23907 29819 32627 36422 43963 48312 48676 48903 52648]
top_k =  500
Partition function (log Z): -23.493300982465602

Sorted 5' Splice Sites (High to Low Probability):
Position 11842: 0.9907574674054327
Position 76: 0.9467423755281658
Position 11126: 0.710428039939174
Position 19223: 0.560270661203755
Position 24073: 0.22260490735780916
Position 23039: 0.08161033496217192
Position 8106: 0.05883451074547183
Position 54: 0.051953430064602193
Position 4011: 0.04379047932363842
Position 12496: 0.031547247567253925
Position 779: 0.03063061311710554
Position 13236: 0.028442403137834114
Position 3633: 0.02805332135639173
Position 4876: 0.02218124500155115
Position 1771: 0.017951584303776826
Position 3988: 0.017689274227776983
Position 8408: 0.01744301980459534
Position 1802: 0.015817674685754506
Position 23208: 0.010472257096956436
Position 6006: 0.010236213334300229
Position 9747: 0.009416328968133535
Position 2507: 0.008965977517283263
Position 11977: 0.008126641141314946
Position 12403: 0.007431375918672372
Position 8366: 0.00723539968518337
Position 8606: 0.005995545882645132
Position 14254: 0.004788792135526282
Position 1297: 0.004544009472406261
Position 11628: 0.004380804196067288
Position 15339: 0.003271204778923725
Position 1723: 0.00205202067400631
Position 11291: 0.0016347486047099216
Position 14722: 0.0015850250945831867
Position 15359: 0.001408026634360461
Position 11424: 0.0013935817398429736
Position 13049: 0.0010643982471845036
Position 15138: 0.0005809656254428812
Position 267: 0.0005181900622699061
Position 11836: 0.00039127868527373273
Position 15040: 0.0003782438008438725
Position 8612: 0.0003745407684725947
Position 12524: 0.0003077818820259756
Position 1441: 0.00017906330993177252
Position 13267: 0.00016123950930043563
Position 48: 0.00013640781297322396
Position 676: 9.84566739707285e-05
Position 1095: 7.169530087484427e-05
Position 316: 5.830053265322179e-05
Position 2162: 5.609035764315224e-05
Position 126: 3.479731885412986e-05
Position 3016: 3.112421884212398e-05
Position 1354: 2.9475383631678672e-05
Position 15166: 2.558286329904192e-05
Position 343: 2.5169994265106542e-05
Position 1063: 2.490492544886041e-05
Position 528: 1.0720793006141551e-05
Position 600: 1.043735170410525e-05
Position 12811: 7.403577064690475e-06
Position 287: 7.238222283127455e-06
Position 12791: 4.809355541806022e-06
Position 992: 4.484546605934701e-06
Position 1631: 4.3401432459038555e-06
Position 1680: 3.029324936263832e-06
Position 2243: 2.7177313327530915e-06
Position 273: 2.5792885814414194e-06
Position 1152: 2.2472820970105005e-06
Position 1555: 2.101283234394876e-06
Position 1318: 1.907895574348929e-06
Position 1384: 1.8648579383693786e-06
Position 419: 1.8251762359120393e-06
Position 1688: 1.764374678391609e-06
Position 2200: 1.4248203754827198e-06
Position 585: 1.3687644230511379e-06
Position 505: 1.0423811313494676e-06
Position 427: 8.82467802826034e-07
Position 60: 8.197840460421448e-07
Position 650: 7.623541987075382e-07
Position 398: 5.78267082677693e-07
Position 1479: 5.174477081298591e-07
Position 582: 5.155926783262521e-07
Position 1445: 5.097048361292043e-07
Position 491: 4.711047909414429e-07
Position 760: 4.7076324229733696e-07
Position 1436: 3.592377657049163e-07
Position 393: 3.049545987021077e-07
Position 233: 2.6934425205881195e-07
Position 244: 2.5470680277636957e-07
Position 62: 2.514057340793749e-07
Position 1310: 1.790332711914686e-07
Position 477: 1.2940768149619658e-07
Position 348: 8.71045356313265e-08
Position 231: 7.028838338381826e-08
Position 341: 6.348343478502211e-08
Position 12271: 9.335426417596229e-09
Position 11876: 8.491684166161558e-09
Position 118: 1.814205322996488e-10
Position 184: 1.2251675264209083e-10
Position 431: 8.176629385190724e-11
Position 405: 8.000964873521872e-11
Position 4: 3.23723419527252e-11
Position 35: 8.680366891375358e-13
Position 22: 9.96324657065578e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11749: 0.9022629149321696
Position 11021: 0.710428039939174
Position 23979: 0.2801826192646962
Position 23125: 0.23878715548126458
Position 19060: 0.23162919592884967
Position 30568: 0.22260490735780963
Position 19136: 0.20643035310084562
Position 23907: 0.09710760658076123
Position 11701: 0.08832787482273398
Position 8054: 0.08189478085569389
Position 22911: 0.08161033496217192
Position 19016: 0.07806887023469267
Position 18916: 0.051404004853806785
Position 15019: 0.047213495579605975
Position 20224: 0.039508287743140684
Position 19481: 0.03319178812225762
Position 22393: 0.03234467523800071
Position 575: 0.028667594498556836
Position 3467: 0.028030436226369325
Position 3914: 0.026392315827935015
Position 15249: 0.023910750024580592
Position 1542: 0.02135760892030779
Position 12675: 0.021338064982177066
Position 22147: 0.018565211544895086
Position 3869: 0.01834253395082689
Position 12303: 0.018073376863271887
Position 19343: 0.014932216424082758
Position 16746: 0.01397422916887298
Position 1685: 0.013323401780649244
Position 21819: 0.013094904368722163
Position 13125: 0.012807382655067215
Position 4732: 0.012136183891710643
Position 12610: 0.011862027420791645
Position 21538: 0.011603462980607042
Position 22408: 0.01155150856792646
Position 12263: 0.010736910792170448
Position 12903: 0.009937038688537018
Position 9662: 0.009416328968133568
Position 13169: 0.009326243451957998
Position 3850: 0.009030483547397642
Position 17521: 0.008972467334216722
Position 14070: 0.00873501929620932
Position 2382: 0.008728178541419709
Position 5812: 0.008562613615568851
Position 4692: 0.007724726047922081
Position 21260: 0.0075303144837288866
Position 11230: 0.007499866217691724
Position 12446: 0.007411706229735818
Position 23091: 0.0064060775355694955
Position 8462: 0.006370086651117732
Position 11729: 0.006074383540849918
Position 15796: 0.005772330360627753
Position 13144: 0.004947164168682432
Position 12329: 0.004278929679283819
Position 15665: 0.004066392117312105
Position 1208: 0.003985770678833241
Position 18037: 0.0039770381709097885
Position 19715: 0.0035640932172068367
Position 19758: 0.003529411510353438
Position 19649: 0.003218094011472168
Position 21499: 0.002989670780008411
Position 18388: 0.0028013012713848924
Position 3940: 0.002743191789044545
Position 15459: 0.002470076629422677
Position 17860: 0.0023006547782147167
Position 14985: 0.002120744369920345
Position 14462: 0.002115939973154908
Position 16851: 0.0020518236823024016
Position 13977: 0.002019310559667021
Position 3808: 0.0019510503042353975
Position 11770: 0.001940379068352444
Position 14601: 0.001688632405182118
Position 3899: 0.001655555060760206
Position 12811: 0.0016555098084546007
Position 7865: 0.0016345396627670608
Position 13043: 0.0015758205631437232
Position 11917: 0.0015086212006070676
Position 4773: 0.0014935771484965142
Position 16080: 0.0013485148686731418
Position 18807: 0.0012700438856656081
Position 13048: 0.0011718805351809162
Position 1596: 0.0011704552992871
Position 12377: 0.001060149336959238
Position 5826: 0.000843854057673992
Position 4630: 0.0008267579134219393
Position 15546: 0.0008163686955207903
Position 11863: 0.0007694815729725375
Position 5778: 0.0007677052081115172
Position 12382: 0.0007030535237657836
Position 3777: 0.000700682036492213
Position 14923: 0.0006928851283778166
Position 18334: 0.0006838706140745624
Position 3928: 0.0006268386654508431
Position 17632: 0.0006243245827789764
Position 14395: 0.0006041188207829559
Position 14997: 0.0005733939295731398
Position 15285: 0.0005306481284149804
Position 16270: 0.0005091257618591077
Position 466: 0.0005012425668139437
Position 14819: 0.0004689384769710276
Position 14015: 0.00044869177011840923
Position 16698: 0.0004413378638595013
Position 12641: 0.00042008990941962935
Position 756: 0.0004158875681230183
Position 13548: 0.0003755529597032135
Position 1026: 0.000333353204112464
Position 417: 0.0003022285194433873
Position 14160: 0.0002948589027921332
Position 15685: 0.0002928613889268075
Position 15213: 0.0002692933332362639
Position 1234: 0.0002690056702976007
Position 15410: 0.00026817611980571056
Position 13663: 0.00026000064482346977
Position 2416: 0.00023672806900785527
Position 554: 0.00022365536353161276
Position 15039: 0.00021995876755254913
Position 11976: 0.00021911815164638555
Position 15141: 0.0002163878124471048
Position 12091: 0.00013867243507304208
Position 13999: 0.00013696047052150705
Position 12738: 0.00013601414724253338
Position 13380: 0.00013540373780977113
Position 1296: 0.00013471085068515192
Position 14845: 0.00012909754836472147
Position 14253: 0.00012615938070860544
Position 13853: 0.00011788672186970182
Position 12270: 0.00011542122631537404
Position 867: 8.804782873153818e-05
Position 13709: 8.688824597203096e-05
Position 11930: 6.919038552019843e-05
Position 12866: 6.801503624005632e-05
Position 12916: 6.26228536237551e-05
Position 5649: 6.20404529458722e-05
Position 141: 3.820617157773896e-05
Position 3667: 3.710236927267059e-05
Position 2100: 3.633749752713943e-05
Position 12031: 3.466454273936421e-05
Position 184: 3.441690227015999e-05
Position 12191: 3.0540403758595624e-05
Position 12460: 2.8379314745676578e-05
Position 2968: 2.833780126651245e-05
Position 3418: 2.592587375937874e-05
Position 217: 2.4774288067959413e-05
Position 935: 1.226040540204833e-05
Position 194: 1.1949735959128838e-05
Position 1801: 1.0884170224676471e-05
Position 650: 1.0316251945664256e-05
Position 2384: 9.866823888028257e-06
Position 982: 8.290047129589604e-06
Position 629: 7.764866935924459e-06
Position 664: 7.738339392082847e-06
Position 424: 7.6012535777492125e-06
Position 449: 5.7440645264443705e-06
Position 13046: 5.214309082590735e-06
Position 2596: 4.026216336514942e-06
Position 2026: 3.896149042427205e-06
Position 1348: 2.815882539114507e-06
Position 1142: 2.661315817502246e-06
Position 1340: 2.5780829348096636e-06
Position 2049: 2.472486706972011e-06
Position 470: 2.284860646908168e-06
Position 550: 2.123435348230346e-06
Position 1921: 2.000103454880579e-06
Position 1883: 1.9093280985537293e-06
Position 610: 1.8748630149671023e-06
Position 1179: 1.7606845568829952e-06
