Gene = SNTN
index = 1293
Annotated 5SS: [ 130 2129 7197]
Annotated 3SS: [ 2093  7056 11268]
SMsplice 5SS: [ 130 2129 7197]
SMsplice 3SS: [ 2093  7056 11268]
top_k =  500
Partition function (log Z): -6.598526682019758

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9932882138962182
Position 7197: 0.6989767231815355
Position 2129: 0.6097356472437361
Position 6336: 0.3432537339162437
Position 3565: 0.33079121755832164
Position 2228: 0.2866074125695452
Position 6793: 0.19170108969415875
Position 5508: 0.16105995238023812
Position 3242: 0.10969543503923683
Position 936: 0.10308814264204579
Position 7135: 0.0598762469255068
Position 6998: 0.033001201514086066
Position 11119: 0.03142872957295944
Position 2586: 0.030449439192197145
Position 1403: 0.015419820509505584
Position 1672: 0.015323809271772976
Position 1501: 0.015193431029171723
Position 1804: 0.014817814096684033
Position 6830: 0.012903117138336445
Position 797: 0.010765383583801176
Position 10124: 0.010677951450676895
Position 11164: 0.008695779173157394
Position 4474: 0.004901262720392979
Position 1282: 0.004656923190380625
Position 6687: 0.0044977563739914735
Position 1702: 0.004480766281879436
Position 1240: 0.002893938410563387
Position 7276: 0.0024387458730138535
Position 9553: 0.0021565654334737773
Position 2631: 0.0012748081893946327
Position 1885: 0.001204987246808784
Position 1465: 0.0010159982936873415
Position 4316: 0.0007635068973496687
Position 2850: 0.000739036844347501
Position 6287: 0.0006942969113352161
Position 384: 0.0005623086024277104
Position 754: 0.0004965316693539848
Position 1889: 0.0004238304984355962
Position 877: 0.00039712989171659263
Position 814: 0.00030508213805956354
Position 836: 0.0002551458511991085
Position 325: 0.00023937915524807667
Position 370: 0.00023833832024694964
Position 565: 0.00021990060000939715
Position 824: 0.00021486187028601667
Position 1394: 0.00013567189316457395
Position 1315: 0.00013087851257460558
Position 30: 9.384402619758031e-05
Position 2553: 8.182894705779216e-05
Position 746: 6.44898237351609e-05
Position 314: 6.327543841716858e-05
Position 1266: 3.606959017061742e-05
Position 628: 3.573352631554922e-05
Position 880: 3.450724070123165e-05
Position 460: 2.495710719086675e-05
Position 709: 1.5844710820106862e-05
Position 465: 1.2725230117416651e-05
Position 220: 1.1783657477412563e-05
Position 235: 1.018089924673215e-05
Position 39: 8.726350306777796e-06
Position 2151: 7.76625398553941e-06
Position 2302: 6.85915742103471e-06
Position 2188: 4.133301804710331e-06
Position 2186: 2.2971315102361614e-06
Position 400: 1.780689648750411e-06
