Gene = UBIAD1
index = 1520
Annotated 5SS: [855]
Annotated 3SS: [12437]
SMsplice 5SS: [  116  2107 12527]
SMsplice 3SS: [ 2043 12437 14357]
top_k =  500
Partition function (log Z): -10.395765639816597

Sorted 5' Splice Sites (High to Low Probability):
Position 2107: 0.8584927798951649
Position 12527: 0.7114819282868214
Position 855: 0.44717216815457256
Position 116: 0.3954417111275435
Position 230: 0.28059721378741637
Position 8890: 0.1663073773121724
Position 618: 0.13315126349009998
Position 9182: 0.12386788263123195
Position 944: 0.1088937576095146
Position 280: 0.10233467649812818
Position 724: 0.07626655333252517
Position 578: 0.05771838263311019
Position 5533: 0.020498638680781285
Position 123: 0.01809002526825874
Position 9101: 0.013720138283685379
Position 341: 0.01324521506165262
Position 2574: 0.005965035380365455
Position 1046: 0.005580795224407505
Position 157: 0.004838447555702549
Position 12639: 0.00425314629921742
Position 755: 0.004073119449207878
Position 12451: 0.003410276805998042
Position 986: 0.0022033593973445563
Position 3083: 0.0015991409558330006
Position 4716: 0.0014069760011791127
Position 2543: 0.0012541653134376606
Position 1031: 0.0012027948875941818
Position 555: 0.00117673141652496
Position 918: 0.0011389191266141408
Position 3018: 0.0006754292261789841
Position 460: 0.0005623058957945152
Position 2581: 0.0005474717830775839
Position 2479: 0.0003862503300233161
Position 6145: 0.00031088161244554376
Position 2731: 0.0002958460692547914
Position 3277: 0.0002725900243932749
Position 518: 0.00023426595367557207
Position 126: 0.00023011569696744242
Position 70: 0.0002154528736817468
Position 4674: 0.00018053484497296824
Position 274: 0.00012602703667460028
Position 745: 6.98914288487562e-05
Position 759: 5.1898888919000274e-05
Position 582: 4.9059711778945956e-05
Position 626: 4.887584012588869e-05
Position 2760: 4.598368174578228e-05
Position 2745: 4.489346136466521e-05
Position 2244: 4.002799367934034e-05
Position 2116: 3.846049460830993e-05
Position 2736: 3.7888446991523745e-05
Position 2226: 3.520627001643101e-05
Position 3119: 3.0384717190539337e-05
Position 557: 2.0430643581244615e-05
Position 315: 1.7042004361118153e-05
Position 716: 1.1464089553789556e-05
Position 300: 1.0334146469308685e-05
Position 150: 8.036045405584126e-06
Position 155: 6.511827581719579e-06
Position 731: 6.14937692527551e-06
Position 719: 5.862186844590879e-06
Position 367: 5.341261888755304e-06
Position 672: 4.913463674021767e-06
Position 462: 4.617979090698278e-06
Position 475: 4.122619891798022e-06
Position 2889: 1.3787869837004481e-06
Position 885: 7.541523164867899e-07
Position 531: 6.58502067064604e-07
Position 501: 2.719743007927262e-07
Position 473: 1.76938189445229e-07
Position 417: 6.325777739602637e-08
Position 926: 4.824489462423862e-08
Position 173: 2.164738143146983e-08
Position 206: 4.729676052534445e-09
Position 1236: 2.2154592205559307e-09
Position 990: 1.9423995388642325e-09
Position 585: 3.152485949590447e-12
Position 380: 2.6143019281904108e-12
Position 284: 2.342903319809772e-13
Position 253: 5.6627624710018945e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2043: 0.7976836071846399
Position 12437: 0.7967752558969908
Position 652: 0.3335202696151643
Position 14357: 0.3283903287824097
Position 8799: 0.1980074726580699
Position 13354: 0.19081844962006564
Position 9000: 0.1358287488684996
Position 851: 0.13033984305154642
Position 5431: 0.06361155318990787
Position 12612: 0.05816940956790444
Position 14097: 0.05379403453229743
Position 884: 0.05151836570876046
Position 546: 0.043520573450417856
